no,id,text,label
1,2065192194277818396,if u dress up i will love u forever. Come experience the most bananas drive-thru ever. https://t.co/FDvzC4JTr1,affiliative
2,2064726596179706275,"Her: Gimme 10
Me: minutes or nuggets?",aggressive
8,2060405944735957384,rich asf craving the new Ice Spicy Meal on DoorDash https://t.co/kVe28gJjYt,self-enhancing
9,2060393163458498982,28 and 10? Fine. Free FRENCH fries in the app with $5 purchase for everybody (including aliens 👽),aggressive
11,2059459943040753916,"It’s giving fan behavior but I’m a fan of me too, so I get it! https://t.co/ecpi4sU0kz",self-enhancing
16,2057589742649192842,it's not roasting if it's true 😌 @Jeopardy https://t.co/Da3mvCbEFB,aggressive
45,2041272778461258077,The Bourbon Bacon Cheeseburger and Pretzel Bacon Pub Burger have made it to our championship! Get your votes in to decide who will be crowned the winner and end up back on the menu https://t.co/VIgjuIMDNF,affiliative
49,2041187699764163013,woke up thinking about who’s gonna dunk in the national championship game tonight to unlock a free small fry and Frosty for America tomorrow,affiliative
56,2039789214120996993,Congrats to these Official Wendy’s Dunk Team athletes on making it to the Final Four. You dunked into hoops. You dunked into Frosty. You dunked into our hearts. https://t.co/b6IeqJW8YD,affiliative
68,2035444365800214846,"On and off the court, Coen Carr can’t stop (won’t stop) dunking. https://t.co/pvLNEM1zSj",affiliative
70,2035415108646490534,I hope Yaxel doesn’t dunk his fries in his Frosty this violently https://t.co/l75Yp2p6YX,aggressive
80,2031884901557965271,What the fries at the bottom of my biggie bag see when I go scavenging for them https://t.co/qO9JGCgaXs,self-defeating
81,2031738937870364955,travis gonna love the drive thru at his mom's house https://t.co/ssjGEuifjO,aggressive
84,2030030060720164942,.@GenoSmith3 in case things don’t work out in free agency we’re looking for a Chief Tasting Officer…,self-enhancing
99,2015935710449009033,kind of seems like you just wanted a reason to eat nothing but wendys chili for a month?,self-enhancing
102,2012261535259726070,"CLOWNS ARE GOIN DOWN. We’re live right now over on
https://t.co/P0GZ7DIn5g",affiliative
103,2012226909820621147,TENDYS VS CLOWNS. WHO U GOT? Streaming some College Football ‘26 later today on twitch https://t.co/FJANT6bsl5,aggressive
104,2009777266847363171,life is so crazy bc wdym i’m giving out bogo dave’s singles or doubles on doordash just bc some lady asked where’s the beef 42 years ago,self-enhancing
106,2001787208093614204,DMing myself 75% off an energy drink rn lol,affiliative
108,2001787068914225487,"Attn insomniacs

drop your sleep score below &amp; i’ll give you an energy drink deal based on how much your score sucks (but hurry bc you have to share it by 12/22)",aggressive
113,1988671571091980633,.@fibulaa said we’re Tendy’s now and who are we to argue? Try our new chicken tendys today! https://t.co/8FccP5qRR5,affiliative
114,1980393481068831176,ok so maybe don’t hang it in the louvre,aggressive
115,1976057070555132086,Canceling my hair appointment at angie’s 1.5 salons,aggressive
118,1965414892438958172,Here comes the sun with SVG's @Wendys car lighting up Saturday's race with a breakfast worth getting up for. https://t.co/Im0FWviGot,affiliative
