id,tweet_url,text,created_year,created_month,created_day,created_time,created_hour,created_date,year_month,year_quarter,pred_humor_final_050,p_humor_final_tfidf_logreg,reply_count,favorite_count,retweet_count,quote_count,bookmark_count,view_count,engagement_total,engagement_favorite_retweet,log1p_engagement_total,log1p_engagement_favorite_retweet,log1p_favorite_count,log1p_retweet_count,log1p_reply_count,log1p_quote_count,log1p_bookmark_count,log1p_view_count,humor_intensity_month,humor_intensity_quarter,humor_intensity_month_loo,humor_intensity_quarter_loo,month_total_posts,month_humor_posts,month_non_humor_posts,humor_frequency_month,humor_proportion_month,humor_proportion_month_loo,quarter_total_posts,quarter_humor_posts,quarter_non_humor_posts,humor_frequency_quarter,humor_proportion_quarter,humor_proportion_quarter_loo,pred_humor_type_group_model,p_type_aggressive_model,p_type_other_humor_model,pred_humor_type_group_model_050,is_aggressive_humor,is_other_humor,is_non_humor,is_predicted_humor,quarter_aggressive_posts,quarter_other_humor_posts,quarter_predicted_humor_posts,aggressive_humor_frequency_quarter,other_humor_frequency_quarter,aggressive_humor_proportion_quarter,other_humor_proportion_quarter,aggressive_humor_proportion_quarter_loo,other_humor_proportion_quarter_loo,aggressive_share_among_humor_quarter,aggressive_share_among_humor_quarter_loo,in_h3_aggressive_filtered,no,final_humor_binary,final_humor_source,final_humor_label_available,model_humor,p_humor,p_humor_ml,log1p_p_humor_final_tfidf_logreg,prediction_set,text_length,hashtag_count,mention_count,emoji_count
2065192194277818396,https://x.com/Wendys/status/2065192194277818396,if u dress up i will love u forever. Come experience the most bananas drive-thru ever. https://t.co/FDvzC4JTr1,2026,6,11,21:59:23,21,2026-06-11,2026-06,2026-Q2,1,0.689021,37,401,69,9,54,43444,570,470,6.347389,6.154858,5.996452,4.248495,3.637586,2.302585,4.007333,10.679251,0.6,0.59322,0.5,0.586207,5,3,2,3,0.6,0.5,59,35,24,35,0.59322,0.586207,other_humor,0.4599,0.5401,other_humor,0,1,0,1,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.43103448,0.25714286,0.26470588,1,1,1,human,1,1,0.6370,0.357664,0.524149,labeled,110,0,0,0
2064726596179706275,https://x.com/Wendys/status/2064726596179706275,"Her: Gimme 10
Me: minutes or nuggets?",2026,6,10,15:09:15,15,2026-06-10,2026-06,2026-Q2,1,0.536777,83,507,40,8,11,40600,649,547,6.476972,6.306275,6.230481,3.713572,4.430817,2.197225,2.484907,10.611548,0.6,0.59322,0.5,0.586207,5,3,2,3,0.6,0.5,59,35,24,35,0.59322,0.586207,aggressive,0.6184,0.3816,aggressive,1,0,0,1,9,26,35,9,26,0.15254237,0.44067797,0.13793103,0.44827586,0.25714286,0.23529412,1,2,1,human,1,1,0.6379,0.755204,0.429688,labeled,37,0,0,0
2064504139749417369,https://x.com/Wendys/status/2064504139749417369,What does one wear to meet a minion,2026,6,10,00:25:18,00,2026-06-10,2026-06,2026-Q2,0,0.445943,75,411,26,7,15,44746,534,437,6.282267,6.082219,6.021023,3.295837,4.330733,2.079442,2.772589,10.70878,0.6,0.59322,0.75,0.603448,5,3,2,3,0.6,0.75,59,35,24,35,0.59322,0.603448,non_humor,0.4188,0.5812,non_humor,0,0,1,0,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.44827586,0.25714286,0.25714286,1,3,0,human,1,0,0.4224,0.40964,0.368762,labeled,35,0,0,0
2063002561263640786,https://x.com/Wendys/status/2063002561263640786,"The KPIs, ROIs, and LOLs are about to go off the charts.
Congratulations to our NEW Chief Tasting Officer Amber Luster 🎉🎉🎉 We can’t wait to see all the incredible things you do with your title. 

And thank you to all our fans who submitted an application❤️ https://t.co/WxU0LzL72Z",2026,6,5,20:58:33,20,2026-06-05,2026-06,2026-Q2,1,0.502508,46,209,16,1,13,47924,285,225,5.655992,5.420535,5.347108,2.833213,3.850148,0.693147,2.639057,10.777393,0.6,0.59322,0.5,0.586207,5,3,2,3,0.6,0.5,59,35,24,35,0.59322,0.586207,other_humor,0.3944,0.6056,other_humor,0,1,0,1,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.43103448,0.25714286,0.26470588,1,4,0,human,1,0,0.4526,0.43746,0.407136,labeled,280,0,0,2
2061565494453555359,https://x.com/Wendys/status/2061565494453555359,"Came for a Frosty, stayed for the door to the backrooms https://t.co/0BMCyHc7XK",2026,6,1,21:48:10,21,2026-06-01,2026-06,2026-Q2,0,0.443588,76,650,52,11,30,66225,819,702,6.709304,6.555357,6.47851,3.970292,4.343805,2.484907,3.433987,11.100828,0.6,0.59322,0.75,0.603448,5,3,2,3,0.6,0.75,59,35,24,35,0.59322,0.603448,non_humor,0.3345,0.6655,non_humor,0,0,1,0,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.44827586,0.25714286,0.25714286,1,5,1,human,1,1,0.5767,0.495033,0.367132,labeled,79,0,0,0
2060433958609813857,https://x.com/Wendys/status/2060433958609813857,"Y’all nearly crashed the system with all your applications, but we’ve finally made our top selections. Stay tuned for an announcement coming real soon 👀👀👀 https://t.co/f6wqnO0yeF",2026,5,29,18:51:51,18,2026-05-29,2026-05,2026-Q2,1,0.514636,62,152,21,7,9,39657,251,173,5.529429,5.159055,5.030438,3.091042,4.143135,2.079442,2.302585,10.588048,0.695652,0.59322,0.681818,0.586207,23,16,7,16,0.695652,0.681818,59,35,24,35,0.59322,0.586207,other_humor,0.3932,0.6068,other_humor,0,1,0,1,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.43103448,0.25714286,0.26470588,1,6,1,human,1,1,0.5960,0.267665,0.415175,labeled,178,0,0,1
2060406022825554333,https://x.com/Wendys/status/2060406022825554333,50% off on Sat &amp; Sun too 💅,2026,5,29,17:00:50,17,2026-05-29,2026-05,2026-Q2,1,0.543407,10,48,8,0,1,22076,67,56,4.219508,4.043051,3.89182,2.197225,2.397895,0.0,0.693147,10.002292,0.695652,0.59322,0.681818,0.586207,23,16,7,16,0.695652,0.681818,59,35,24,35,0.59322,0.586207,other_humor,0.4775,0.5225,other_humor,0,1,0,1,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.43103448,0.25714286,0.26470588,1,7,,,0,1,0.5290,0.430035,0.433992,unlabeled,30,0,0,1
2060405944735957384,https://x.com/Wendys/status/2060405944735957384,rich asf craving the new Ice Spicy Meal on DoorDash https://t.co/kVe28gJjYt,2026,5,29,17:00:32,17,2026-05-29,2026-05,2026-Q2,1,0.500335,59,157,28,4,4,59705,252,185,5.533389,5.225747,5.062595,3.367296,4.094345,1.609438,1.609438,10.997188,0.695652,0.59322,0.681818,0.586207,23,16,7,16,0.695652,0.681818,59,35,24,35,0.59322,0.586207,other_humor,0.3923,0.6077,other_humor,0,1,0,1,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.43103448,0.25714286,0.26470588,1,8,1,human,1,1,0.5726,0.25546,0.405689,labeled,75,0,0,0
2060393163458498982,https://x.com/Wendys/status/2060393163458498982,28 and 10? Fine. Free FRENCH fries in the app with $5 purchase for everybody (including aliens 👽),2026,5,29,16:09:45,16,2026-05-29,2026-05,2026-Q2,1,0.658472,16,170,16,3,6,49054,211,186,5.356586,5.231109,5.141664,2.833213,2.833213,1.386294,1.94591,10.800697,0.695652,0.59322,0.681818,0.586207,23,16,7,16,0.695652,0.681818,59,35,24,35,0.59322,0.586207,aggressive,0.5523,0.4477,aggressive,1,0,0,1,9,26,35,9,26,0.15254237,0.44067797,0.13793103,0.44827586,0.25714286,0.23529412,1,9,1,human,1,1,0.6065,0.306152,0.505897,labeled,97,0,0,1
2059700189909111001,https://x.com/Wendys/status/2059700189909111001,Big star energy. Pocket-sized legends. https://t.co/oNQdB0s9Mn,2026,5,27,18:16:07,18,2026-05-27,2026-05,2026-Q2,1,0.513319,32,303,45,2,25,45120,407,348,6.011267,5.855072,5.717028,3.828641,3.496508,1.098612,3.258097,10.717103,0.695652,0.59322,0.681818,0.586207,23,16,7,16,0.695652,0.681818,59,35,24,35,0.59322,0.586207,other_humor,0.4224,0.5776,other_humor,0,1,0,1,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.43103448,0.25714286,0.26470588,1,10,1,human,1,1,0.6034,0.08009,0.414305,labeled,62,0,0,0
