id,tweet_url,created_year,created_month,created_day,created_time,text,humor_score,log1p_humor_score,p_humor_ml,log1p_p_humor_ml,weak_humor_label,weak_label_source,dominant_topic,dominant_topic_weight,review_priority,human_humor_label,human_notes
1205531387975090177,https://x.com/Wendys/status/1205531387975090177,2019,12,13,16:54:15,Wendy’s cups should be square but no one wants to poke that tiger,0.0,0.0,0.467222,0.383371,,unlabeled,2,0.155066,false_negative_candidate,,
1801112110136500397,https://x.com/Wendys/status/1801112110136500397,2024,6,13,04:39:24,Like this tweet (no one will see it),0.0,0.0,0.430382,0.357942,,unlabeled,5,0.089163,false_negative_candidate,,
1340008979494301696,https://x.com/Wendys/status/1340008979494301696,2020,12,18,19:00:11,"First we wake, then we BACONATE! @MMATAband, you ready?",0.0,0.0,0.467293,0.383419,,unlabeled,1,0.082532,false_negative_candidate,,
1233563046875926528,https://x.com/Wendys/status/1233563046875926528,2020,2,29,01:22:03,That’s why we’re sliding into first place.,0.0,0.0,0.40964,0.343334,,unlabeled,5,0.006789,false_negative_candidate,,
1315790897695666176,https://x.com/Wendys/status/1315790897695666176,2020,10,12,23:06:10,the first thing you order when you leave the bubble,0.0,0.0,0.43666,0.362321,,unlabeled,5,0.024517,false_negative_candidate,,
1258082734414663685,https://x.com/Wendys/status/1258082734414663685,2020,5,6,17:14:32,Ya'll did it again. Found the codes so fast. Maybe the ones at 3 ET will be even harder.,0.0,0.0,0.437063,0.362601,,unlabeled,5,0.043094,false_negative_candidate,,
1646139417172783117,https://x.com/Wendys/status/1646139417172783117,2023,4,12,13:13:15,Play the full clip 😉,0.0,0.0,0.40964,0.343334,,unlabeled,5,0.010131,false_negative_candidate,,
1641560467918270465,https://x.com/Wendys/status/1641560467918270465,2023,3,30,21:58:08,"Your hour starts now!

From now until 7 PM EDT get up to ❗️$30 off❗️ when you add a Biggie Bag to your Wendy's DoorDash order. DON'T FORGET: make sure your cart has at least a $12 subtotal before you apply the code. 

Promo code BIGGIE",0.0,0.0,0.477499,0.390351,,unlabeled,2,0.042922,false_negative_candidate,,
1285956361189240832,https://x.com/Wendys/status/1285956361189240832,2020,7,22,15:14:23,"yes. we bought ad space on every single clock, twice a day, just for this reason. don't let us down.",0.0,0.0,0.41582,0.347709,,unlabeled,5,0.081637,false_negative_candidate,,
1448326668599320576,https://x.com/Wendys/status/1448326668599320576,2021,10,13,16:36:01,Wendy’s is _____,0.0,0.0,0.467222,0.383371,,unlabeled,2,0.411527,false_negative_candidate,,
1440059703296348161,https://x.com/Wendys/status/1440059703296348161,2021,9,20,21:06:02,Mid donalds,0.0,0.0,0.40964,0.343334,,unlabeled,0,0.0,false_negative_candidate,,
1864373989759471899,https://x.com/Wendys/status/1864373989759471899,2024,12,4,18:19:32,@laufey 🥹,0.0,0.0,0.467293,0.383419,0,score=0 and (plain_promotion or url_only),1,0.397325,false_negative_candidate,,
1491487068584824843,https://x.com/Wendys/status/1491487068584824843,2022,2,9,19:00:02,Soggy fries where? I don’t have any.,0.0,0.0,0.446982,0.36948,,unlabeled,5,0.053662,false_negative_candidate,,
2060406022825554333,https://x.com/Wendys/status/2060406022825554333,2026,5,29,17:00:50,50% off on Sat &amp; Sun too 💅,0.0,0.0,0.430035,0.357699,,unlabeled,1,0.006007,false_negative_candidate,,
1506347581982613504,https://x.com/Wendys/status/1506347581982613504,2022,3,22,19:10:24,Update: they added goats to Fortnite,0.0,0.0,0.40964,0.343334,,unlabeled,5,0.009251,false_negative_candidate,,
1604921931530207236,https://x.com/Wendys/status/1604921931530207236,2022,12,19,19:29:41,"RT @youngbucks: Dave’s Double, No Cheese.",0.0,0.0,0.419805,0.35052,,unlabeled,1,0.080912,false_negative_candidate,,
1293256222922203138,https://x.com/Wendys/status/1293256222922203138,2020,8,11,18:41:25,"Hope your server maintenance is as active as your twitter 😉

(and make sure the crowns aren’t paper)",0.0,0.0,0.455632,0.37544,,unlabeled,5,0.022248,false_negative_candidate,,
1826436504614273198,https://x.com/Wendys/status/1826436504614273198,2024,8,22,01:49:30,“Horrible Sauces “,0.0,0.0,0.40964,0.343334,,unlabeled,1,0.0032,false_negative_candidate,,
2054257059399389281,https://x.com/Wendys/status/2054257059399389281,2026,5,12,17:47:03,Did you know? One cookie dough frosty is the equivalent of 12 dancing fruit videos?,0.0,0.0,0.493219,0.400934,,unlabeled,7,0.169042,false_negative_candidate,,
1212819812331720705,https://x.com/Wendys/status/1212819812331720705,2020,1,2,19:35:51,Did you forget to write “tastes like” in the middle?,0.0,0.0,0.466405,0.382814,,unlabeled,5,0.042309,false_negative_candidate,,
1321830152662327297,https://x.com/Wendys/status/1321830152662327297,2020,10,29,15:04:01,Need a set of eyes on those costumes before Halloween? Reply to this tweet with a pic and we’ll let you know what we think.,0.0,0.0,0.442921,0.36667,,unlabeled,5,0.047043,false_negative_candidate,,
1360007619256209416,https://x.com/Wendys/status/1360007619256209416,2021,2,11,23:27:38,lol a true national treasure,0.0,0.0,0.445344,0.368347,,unlabeled,5,0.01358,false_negative_candidate,,
1248681442474889216,https://x.com/Wendys/status/1248681442474889216,2020,4,10,18:37:09,@Wendys i was ghosted twice by a guy who worked at mcdonalds his name was jordan,0.0,0.0,0.418146,0.34935,,unlabeled,1,0.068952,false_negative_candidate,,
1920237379442397554,https://x.com/Wendys/status/1920237379442397554,2025,5,7,22:00:42,.@TSA do I still need a real id if I have a Frosty key tag,0.0,0.0,0.477176,0.390132,,unlabeled,7,0.166745,false_negative_candidate,,
1248715156521172992,https://x.com/Wendys/status/1248715156521172992,2020,4,10,20:51:07,@Wendys A girl and I bonded on agreeing crocs are a necessary fashion evil and pineapple on pizza is ehhhhhh. She said it was good enough to send out the save the dates. And then I was ghosted.,0.0,0.0,0.424918,0.354114,,unlabeled,1,0.049934,false_negative_candidate,,
1781022004847522155,https://x.com/Wendys/status/1781022004847522155,2024,4,18,18:08:30,"I really loved that book that they turned into a show with Kerry Washington, Little Fries Everywhere",0.0,0.0,0.426013,0.354882,,unlabeled,5,0.040762,false_negative_candidate,,
1441107722926104591,https://x.com/Wendys/status/1441107722926104591,2021,9,23,18:30:30,"Don’t you ever take the fries at the bottom of the bag for granted. One day, they may not be there (emotional).",0.0,0.0,0.442172,0.36615,,unlabeled,5,0.101278,false_negative_candidate,,
1874116245085446380,https://x.com/Wendys/status/1874116245085446380,2024,12,31,15:31:46,"2025 = 45^2

It's a perfect square.  It will probably be the only perfect square year you ever get to live in.

The last time that occurred was in 1936.  The next will be in 2116.

So, make 2025 a perfect year for you.",0.0,0.0,0.442315,0.366249,,unlabeled,5,0.021356,false_negative_candidate,,
1301144281281974274,https://x.com/Wendys/status/1301144281281974274,2020,9,2,13:05:45,"Get a little breakfast, and then double it for a dollar. We’re talking buy one get one for $1 breakfast goodness.",0.0,0.0,0.437541,0.362934,,unlabeled,5,0.104548,false_negative_candidate,,
1456269198896680968,https://x.com/Wendys/status/1456269198896680968,2021,11,4,14:36:47,How many fingers am I holding up? Just one… for the $1 hot &amp; buttery Breakfast Biscuit.,0.0,0.0,0.444382,0.367682,,unlabeled,3,0.07494,false_negative_candidate,,
1316371848960061440,https://x.com/Wendys/status/1316371848960061440,2020,10,14,13:34:40,"You put in the work, now it’s time for your reward. Head to @UberEats now and get up to 30% off breakfast today through Friday morning with code: WENDYS30",0.0,0.0,0.437618,0.362988,,unlabeled,5,0.083894,false_negative_candidate,,
1650820225728741378,https://x.com/Wendys/status/1650820225728741378,2023,4,25,11:13:07,Hey @Wendys..... what's happening on your fb,0.0,0.0,0.421056,0.3514,,unlabeled,1,0.077178,false_negative_candidate,,
1379243596214329349,https://x.com/Wendys/status/1379243596214329349,2021,4,6,01:24:33,"RT @marchmadness: #FinalFour Twitter Live presented by @Wendys is LIVE!
 
Watch @BaylorMBB &amp; @ZagMBB battle it out for the #NationalChampio…",0.0,0.0,0.471955,0.386591,,unlabeled,1,0.181087,false_negative_candidate,,
1453805031463993346,https://x.com/Wendys/status/1453805031463993346,2021,10,28,19:25:04,Changing name to Meat,0.0,0.0,0.40964,0.343334,,unlabeled,5,0.000611,false_negative_candidate,,
1224780999906775040,https://x.com/Wendys/status/1224780999906775040,2020,2,4,19:45:20,Everyone's about to be on 3/2 #WendysBreakfast,0.0,0.0,0.40964,0.343334,,unlabeled,5,0.002789,false_negative_candidate,,
1503438625672937479,https://x.com/Wendys/status/1503438625672937479,2022,3,14,18:31:15,"RT @Wendys: Wendy’s Pick ‘Em is BACK, baby! 

Hit the ❤️, and we’ll hit you up when it’s time to make your picks for EVERY round of March M…",0.0,0.0,0.478652,0.391131,,unlabeled,2,0.048227,false_negative_candidate,,
1293228415823347718,https://x.com/Wendys/status/1293228415823347718,2020,8,11,16:50:56,"@Wendys apparently you're really good at twitter, do you have any tips lol",0.0,0.0,0.438441,0.36356,,unlabeled,1,0.072659,false_negative_candidate,,
1198286207198924800,https://x.com/Wendys/status/1198286207198924800,2019,11,23,17:04:29,"RT @CFBONFOX: Time for the biggest game of the day: @PennStateFball vs @OhioStateFBall
Come hang out with @LaVarArrington &amp; @BeanieWells26…",0.0,0.0,0.476993,0.390008,,unlabeled,1,0.200832,false_negative_candidate,,
1957893154453041344,https://x.com/Wendys/status/1957893154453041344,2025,8,19,19:51:18,Today is the most important day on the calendar (national baked potato day),0.0,0.0,0.404908,0.339972,,unlabeled,5,0.076736,false_negative_candidate,,
1268327435206111232,https://x.com/Wendys/status/1268327435206111232,2020,6,3,23:43:19,"In the coming days, we’ll be using our Twitter account to amplify Black voices. Because what’s the point of this big platform if we don’t use it for what matters during times like these?",0.0,0.0,0.484774,0.395263,,unlabeled,5,0.060596,false_negative_candidate,,
1481306650132848645,https://x.com/Wendys/status/1481306650132848645,2022,1,12,16:46:41,"For something that pretends to be a sport, your ""athletes"" sure suck at rounding bases.
#NationalRoastDay",0.5,0.4054651081081644,0.718485,0.541443,1,humor_score>=0.60 or strong_cue,5,0.022034,high_confidence_humor,,
1255937272907776001,https://x.com/Wendys/status/1255937272907776001,2020,4,30,19:09:14,Come and see the Wendy-est Mortys in the entire multiverse. We’re playing with Wendy Morty and Breakfast Morty in Pocket Mortys! Check out our stream right now: https://t.co/sQfjVH1iaa,0.71,0.5364933705145685,0.709943,0.53646,1,humor_score>=0.60 or strong_cue,2,0.116938,high_confidence_humor,,
2056803537636467033,https://x.com/Wendys/status/2056803537636467033,2026,5,19,18:25:51,might change my name to Wemby’s and only serve french fries after last night’s game,0.743,0.5556077665378838,0.714933,0.539374,1,humor_score>=0.60 or strong_cue,5,0.047126,high_confidence_humor,,
1359577880326524935,https://x.com/Wendys/status/1359577880326524935,2021,2,10,19:00:01,"#NationalRoastDay is tomorrow.
If you didn’t know, now you know. Either way, you’re a jabroni.",0.5,0.4054651081081644,0.703043,0.532417,1,humor_score>=0.60 or strong_cue,5,0.054836,high_confidence_humor,,
1359919274958196736,https://x.com/Wendys/status/1359919274958196736,2021,2,11,17:36:35,Congrats on being the world’s first stale flavored chip.  #NationalRoastDay,0.5,0.4054651081081644,0.716877,0.540507,1,humor_score>=0.60 or strong_cue,5,0.024747,high_confidence_humor,,
1359932399870738433,https://x.com/Wendys/status/1359932399870738433,2021,2,11,18:28:45,Please stop ruining cookies. #NationalRoastDay,0.5,0.4054651081081644,0.768265,0.569999,1,humor_score>=0.60 or strong_cue,7,0.016849,high_confidence_humor,,
1359920580439457799,https://x.com/Wendys/status/1359920580439457799,2021,2,11,17:41:47,@Wendys Roast me.,0.5,0.4054651081081644,0.744773,0.556624,1,humor_score>=0.60 or strong_cue,6,0.582973,high_confidence_humor,,
1485407829506904069,https://x.com/Wendys/status/1485407829506904069,2022,1,24,00:23:18,Tune in for the cool and crispy moves on the Knuckle Huck while crushing some of those hot and crispy Official Fries of X Games Aspen. (That’s our fries),0.703,0.5323914016805512,0.745827,0.557228,1,humor_score>=0.60 or strong_cue,5,0.039263,high_confidence_humor,,
1359902805901910026,https://x.com/Wendys/status/1359902805901910026,2021,2,11,16:31:09,"Dude, your eyes need to start practicing some social distancing. #NationalRoastDay",0.56,0.44468582126144574,0.709193,0.536021,1,humor_score>=0.60 or strong_cue,5,0.025993,high_confidence_humor,,
1359905095396323335,https://x.com/Wendys/status/1359905095396323335,2021,2,11,16:40:15,How are you a verified account when you're not even verified cheese? #NationalRoastDay,0.5,0.4054651081081644,0.719255,0.541891,1,humor_score>=0.60 or strong_cue,5,0.02193,high_confidence_humor,,
1266084754832719872,https://x.com/Wendys/status/1266084754832719872,2020,5,28,19:11:42,"#NationalRoastDay starts right here tomorrow at 11am ET. For everyone that’s said “Roast Me Wendy’s,”...Tomorrow’s lookin’ good.  
Let’s roll, jabronis.",0.5,0.4054651081081644,0.71616,0.540089,1,humor_score>=0.60 or strong_cue,6,0.116801,high_confidence_humor,,
1359215493626949637,https://x.com/Wendys/status/1359215493626949637,2021,2,9,19:00:01,"rOaSt Me WeNdY’s
Fine. Come back on Thursday cause we’re roasting everyone on Thursday cause Thursday is #NationalRoastDay",0.5,0.4054651081081644,0.713754,0.538686,1,humor_score>=0.60 or strong_cue,6,0.084024,high_confidence_humor,,
1359895187464613889,https://x.com/Wendys/status/1359895187464613889,2021,2,11,16:00:52,"Time for everybody’s favorite made up social media holiday. It’s #NationalRoastDay, like right now.
Drop a “Roast Me” below and feel the burn.",0.5,0.4054651081081644,0.721976,0.543472,1,humor_score>=0.60 or strong_cue,6,0.114203,high_confidence_humor,,
1481299289582231566,https://x.com/Wendys/status/1481299289582231566,2022,1,12,16:17:26,"Dang, your hair didn't even show up to your birthday party. #NationalRoastDay",0.5,0.4054651081081644,0.700261,0.530782,1,humor_score>=0.60 or strong_cue,5,0.025377,high_confidence_humor,,
1359919021202825223,https://x.com/Wendys/status/1359919021202825223,2021,2,11,17:35:35,@Wendys We're ready... maybe... ROAST US,0.61,0.4762341789963716,0.731149,0.548785,1,humor_score>=0.60 or strong_cue,6,0.206904,high_confidence_humor,,
2057589742649192842,https://x.com/Wendys/status/2057589742649192842,2026,5,21,22:29:57,it's not roasting if it's true 😌 @Jeopardy https://t.co/Da3mvCbEFB,1.0,0.6931471805599453,0.742053,0.555064,1,humor_score>=0.60 or strong_cue,1,0.161941,high_confidence_humor,,
1359923876583645184,https://x.com/Wendys/status/1359923876583645184,2021,2,11,17:54:52,Not even a Sarah MacLachlan track would make me want you. #NationalRoastDay,0.5,0.4054651081081644,0.709086,0.535959,1,humor_score>=0.60 or strong_cue,5,0.03552,high_confidence_humor,,
1359903118033620994,https://x.com/Wendys/status/1359903118033620994,2021,2,11,16:32:23,@Wendys ROAST US PLEASE VVENDY,0.61,0.4762341789963716,0.783273,0.57845,1,humor_score>=0.60 or strong_cue,6,0.582973,high_confidence_humor,,
1488512462223667201,https://x.com/Wendys/status/1488512462223667201,2022,2,1,14:00:00,Hot or cold? Doesn’t matter because any drank in a Wendy’s cup is free when you grab one of our breakfast sammies.,0.67,0.5128236264286637,0.708254,0.535472,1,humor_score>=0.60 or strong_cue,5,0.07855,high_confidence_humor,,
1522284287239897092,https://x.com/Wendys/status/1522284287239897092,2022,5,5,18:37:11,"Shout out to all the zero like ratio tweets out there just existing, living the life they want instead of the one they were told to.",0.819,0.5982868995359851,0.737862,0.552656,1,humor_score>=0.60 or strong_cue,5,0.06105,high_confidence_humor,,
1359944987291627520,https://x.com/Wendys/status/1359944987291627520,2021,2,11,19:18:46,@Wendys do you have any two for one roast me deals?,0.5,0.4054651081081644,0.744773,0.556624,1,humor_score>=0.60 or strong_cue,6,0.482535,high_confidence_humor,,
1359931378826027009,https://x.com/Wendys/status/1359931378826027009,2021,2,11,18:24:41,"@Wendys One roast, please",0.5,0.4054651081081644,0.744773,0.556624,1,humor_score>=0.60 or strong_cue,6,0.582973,high_confidence_humor,,
1224709867753168899,https://x.com/Wendys/status/1224709867753168899,2020,2,4,15:02:41,"Hey @McDonalds, roast us.",0.5,0.4054651081081644,0.709569,0.536241,1,humor_score>=0.60 or strong_cue,6,0.447587,high_confidence_humor,,
1481342165573906443,https://x.com/Wendys/status/1481342165573906443,2022,1,12,19:07:48,@Wendys roast us,0.61,0.4762341789963716,0.783273,0.57845,1,humor_score>=0.60 or strong_cue,6,0.582973,high_confidence_humor,,
1359967792624238592,https://x.com/Wendys/status/1359967792624238592,2021,2,11,20:49:23,For those who don’t mind pulling out a QR code on a date on a Tuesday. #NationalRoastDay,0.5,0.4054651081081644,0.715207,0.539534,1,humor_score>=0.60 or strong_cue,5,0.043771,high_confidence_humor,,
1237381359347339265,https://x.com/Wendys/status/1237381359347339265,2020,3,10,14:14:40,@Wendys when is #NationalRoastDay? Or did I miss it,0.5,0.4054651081081644,0.71296,0.538223,1,humor_score>=0.60 or strong_cue,1,0.093295,high_confidence_humor,,
1481395069823471618,https://x.com/Wendys/status/1481395069823471618,2022,1,12,22:38:02,@Wendys Roast me! :),0.5,0.4054651081081644,0.744773,0.556624,1,humor_score>=0.60 or strong_cue,6,0.582973,high_confidence_humor,,
