"id","tweet_url","text","final_humor_binary","final_humor_source","oof_p_humor_final_tfidf_logreg","oof_pred_humor_final_050","error_type","model_humor","p_humor","p_humor_ml"
"2065192194277818396","https://x.com/Wendys/status/2065192194277818396","if u dress up i will love u forever. Come experience the most bananas drive-thru ever. https://t.co/FDvzC4JTr1","1","human","0.582393","1","true_positive","1","0.6370","0.357664"
"2064726596179706275","https://x.com/Wendys/status/2064726596179706275","Her: Gimme 10
Me: minutes or nuggets?","1","human","0.528160","1","true_positive","1","0.6379","0.755204"
"2064504139749417369","https://x.com/Wendys/status/2064504139749417369","What does one wear to meet a minion","0","human","0.588448","1","false_positive","0","0.4224","0.40964"
"2063002561263640786","https://x.com/Wendys/status/2063002561263640786","The KPIs, ROIs, and LOLs are about to go off the charts.
Congratulations to our NEW Chief Tasting Officer Amber Luster 🎉🎉🎉 We can’t wait to see all the incredible things you do with your title. 

And thank you to all our fans who submitted an application❤️ https://t.co/WxU0LzL72Z","0","human","0.633707","1","false_positive","0","0.4526","0.43746"
"2061565494453555359","https://x.com/Wendys/status/2061565494453555359","Came for a Frosty, stayed for the door to the backrooms https://t.co/0BMCyHc7XK","1","human","0.295733","0","false_negative","1","0.5767","0.495033"
"2060433958609813857","https://x.com/Wendys/status/2060433958609813857","Y’all nearly crashed the system with all your applications, but we’ve finally made our top selections. Stay tuned for an announcement coming real soon 👀👀👀 https://t.co/f6wqnO0yeF","1","human","0.358814","0","false_negative","1","0.5960","0.267665"
"2060405944735957384","https://x.com/Wendys/status/2060405944735957384","rich asf craving the new Ice Spicy Meal on DoorDash https://t.co/kVe28gJjYt","1","human","0.355711","0","false_negative","1","0.5726","0.25546"
"2060393163458498982","https://x.com/Wendys/status/2060393163458498982","28 and 10? Fine. Free FRENCH fries in the app with $5 purchase for everybody (including aliens 👽)","1","human","0.616321","1","true_positive","1","0.6065","0.306152"
"2059700189909111001","https://x.com/Wendys/status/2059700189909111001","Big star energy. Pocket-sized legends. https://t.co/oNQdB0s9Mn","1","human","0.285909","0","false_negative","1","0.6034","0.08009"
"2059459943040753916","https://x.com/Wendys/status/2059459943040753916","It’s giving fan behavior but I’m a fan of me too, so I get it! https://t.co/ecpi4sU0kz","1","human","0.480531","0","false_negative","1","0.6529","0.08009"
"2059351523583311924","https://x.com/Wendys/status/2059351523583311924","Be there. Seaport Square.","0","human","0.627877","1","false_positive","0","0.4293","0.40964"
"2057593602490970314","https://x.com/Wendys/status/2057593602490970314","Hi @KenJennings","0","human","0.424898","0","true_negative","0","0.3606","0.467293"
"2057590511653794039","https://x.com/Wendys/status/2057590511653794039","This isn’t my living room btw I was at a friends house","1","human","0.629943","1","true_positive","1","0.6340","0.44814"
"2057590262373785937","https://x.com/Wendys/status/2057590262373785937","@James_Holzhauer","0","human","0.369425","0","true_negative","0","0.2870","0.467293"
"2057589742649192842","https://x.com/Wendys/status/2057589742649192842","it's not roasting if it's true 😌 @Jeopardy https://t.co/Da3mvCbEFB","1","human","0.415655","0","false_negative","1","0.6061","0.742053"
"2057509387422380064","https://x.com/Wendys/status/2057509387422380064","From one redheaded baddie to another, we just wanted to formally invite you to compete in our Wendy’s look-alike contest this weekend for #worldredheadday

https://t.co/Plz0ZCapd2","1","human","0.462537","0","false_negative","1","0.5960","0.300047"
"2056803537636467033","https://x.com/Wendys/status/2056803537636467033","might change my name to Wemby’s and only serve french fries after last night’s game","1","human","0.712330","1","true_positive","1","0.6561","0.714933"
"2056485781707821429","https://x.com/Wendys/status/2056485781707821429","If you have flaming locks of auburn hair and a face card that never declines, we have the perfect contest for you 😉
Wendy’s Look-Alike Contest is 3:30-5:30pm May 26th at Seaport Square in NYC! https://t.co/sEUa15Db7G","0","human","0.679216","1","false_positive","0","0.4413","0.349927"
