no,id,text,true_label,oof_pred,error_type,p_aggressive,p_affiliative,p_self-enhancing,p_self-defeating
1,2065192194277818396,if u dress up i will love u forever. Come experience the most bananas drive-thru ever. https://t.co/FDvzC4JTr1,affiliative,aggressive,false_aggressive,0.3398,0.3105,0.1757,0.1740
2,2064726596179706275,"Her: Gimme 10
Me: minutes or nuggets?",aggressive,aggressive,correct,0.3067,0.2678,0.3011,0.1244
8,2060405944735957384,rich asf craving the new Ice Spicy Meal on DoorDash https://t.co/kVe28gJjYt,self-enhancing,aggressive,false_aggressive,0.2881,0.2869,0.2820,0.1429
9,2060393163458498982,28 and 10? Fine. Free FRENCH fries in the app with $5 purchase for everybody (including aliens 👽),aggressive,affiliative,false_non_aggressive,0.2508,0.2907,0.2544,0.2042
11,2059459943040753916,"It’s giving fan behavior but I’m a fan of me too, so I get it! https://t.co/ecpi4sU0kz",self-enhancing,affiliative,inter_other_confusion,0.2586,0.3746,0.2312,0.1356
16,2057589742649192842,it's not roasting if it's true 😌 @Jeopardy https://t.co/Da3mvCbEFB,aggressive,self-enhancing,false_non_aggressive,0.2786,0.2733,0.2858,0.1623
45,2041272778461258077,The Bourbon Bacon Cheeseburger and Pretzel Bacon Pub Burger have made it to our championship! Get your votes in to decid,affiliative,affiliative,correct,0.2852,0.3085,0.1829,0.2233
49,2041187699764163013,woke up thinking about who’s gonna dunk in the national championship game tonight to unlock a free small fry and Frosty ,affiliative,aggressive,false_aggressive,0.3225,0.2618,0.2982,0.1175
56,2039789214120996993,Congrats to these Official Wendy’s Dunk Team athletes on making it to the Final Four. You dunked into hoops. You dunked ,affiliative,affiliative,correct,0.1964,0.3355,0.2965,0.1716
68,2035444365800214846,"On and off the court, Coen Carr can’t stop (won’t stop) dunking. https://t.co/pvLNEM1zSj",affiliative,affiliative,correct,0.2883,0.3558,0.2475,0.1084
70,2035415108646490534,I hope Yaxel doesn’t dunk his fries in his Frosty this violently https://t.co/l75Yp2p6YX,aggressive,affiliative,false_non_aggressive,0.2826,0.3083,0.2297,0.1793
80,2031884901557965271,What the fries at the bottom of my biggie bag see when I go scavenging for them https://t.co/qO9JGCgaXs,self-defeating,affiliative,inter_other_confusion,0.1782,0.4209,0.2312,0.1698
81,2031738937870364955,travis gonna love the drive thru at his mom's house https://t.co/ssjGEuifjO,aggressive,affiliative,false_non_aggressive,0.2936,0.3812,0.2017,0.1236
84,2030030060720164942,.@GenoSmith3 in case things don’t work out in free agency we’re looking for a Chief Tasting Officer…,self-enhancing,aggressive,false_aggressive,0.3719,0.3153,0.2233,0.0895
99,2015935710449009033,kind of seems like you just wanted a reason to eat nothing but wendys chili for a month?,self-enhancing,aggressive,false_aggressive,0.3199,0.3189,0.2247,0.1365
102,2012261535259726070,"CLOWNS ARE GOIN DOWN. We’re live right now over on
https://t.co/P0GZ7DIn5g",affiliative,affiliative,correct,0.2794,0.3439,0.2227,0.1541
103,2012226909820621147,TENDYS VS CLOWNS. WHO U GOT? Streaming some College Football ‘26 later today on twitch https://t.co/FJANT6bsl5,aggressive,affiliative,false_non_aggressive,0.2955,0.3218,0.1942,0.1886
104,2009777266847363171,life is so crazy bc wdym i’m giving out bogo dave’s singles or doubles on doordash just bc some lady asked where’s the b,self-enhancing,aggressive,false_aggressive,0.4317,0.1462,0.3384,0.0837
106,2001787208093614204,DMing myself 75% off an energy drink rn lol,affiliative,aggressive,false_aggressive,0.3138,0.2256,0.3075,0.1530
108,2001787068914225487,"Attn insomniacs

drop your sleep score below &amp; i’ll give you an energy drink deal based on how much your score suc",aggressive,affiliative,false_non_aggressive,0.2859,0.3347,0.2393,0.1401
113,1988671571091980633,.@fibulaa said we’re Tendy’s now and who are we to argue? Try our new chicken tendys today! https://t.co/8FccP5qRR5,affiliative,affiliative,correct,0.1738,0.4162,0.3008,0.1093
114,1980393481068831176,ok so maybe don’t hang it in the louvre,aggressive,self-enhancing,false_non_aggressive,0.2893,0.2368,0.3265,0.1474
115,1976057070555132086,Canceling my hair appointment at angie’s 1.5 salons,aggressive,affiliative,false_non_aggressive,0.2583,0.3544,0.1926,0.1947
118,1965414892438958172,Here comes the sun with SVG's @Wendys car lighting up Saturday's race with a breakfast worth getting up for. https://t.c,affiliative,self-enhancing,inter_other_confusion,0.2355,0.2687,0.4282,0.0676
131,1914824035609027011,Can't get Daniel to stop doing swirls in his Talladega @Wendys car https://t.co/o7I4ijkleN,affiliative,affiliative,correct,0.2391,0.3750,0.2578,0.1281
