var1,var2,n_valid,pearson_r,pearson_p,spearman_r,spearman_p,severity,sample
created_year,created_month,597,-0.3035,0.0,-0.2793,0.0,OK,primary_n597
created_year,created_hour,597,-0.0261,0.5242,0.0796,0.0519,OK,primary_n597
created_year,quarter_total_posts,597,-0.3431,0.0,-0.3146,0.0,OK,primary_n597
created_year,month_total_posts,597,-0.1661,0.0,-0.224,0.0,OK,primary_n597
created_year,text_length,597,-0.0973,0.0174,-0.1278,0.0018,OK,primary_n597
created_year,url_count,597,0.119,0.0036,0.1197,0.0034,OK,primary_n597
created_year,mention_count,597,-0.0402,0.3271,-0.0169,0.6811,OK,primary_n597
created_year,hashtag_count,597,-0.0879,0.0318,-0.079,0.0536,OK,primary_n597
created_year,emoji_count,597,0.0664,0.1051,0.0782,0.0562,OK,primary_n597
created_year,log1p_view_count,597,0.8392,0.0,0.7658,0.0,serious,primary_n597
created_month,created_hour,597,0.0522,0.2032,0.0066,0.8729,OK,primary_n597
created_month,quarter_total_posts,597,-0.2169,0.0,-0.1962,0.0,OK,primary_n597
created_month,month_total_posts,597,-0.2581,0.0,-0.1851,0.0,OK,primary_n597
created_month,text_length,597,-0.0444,0.2786,-0.0523,0.2024,OK,primary_n597
created_month,url_count,597,-0.0247,0.5464,-0.0112,0.7844,OK,primary_n597
created_month,mention_count,597,0.0583,0.1548,0.0494,0.2282,OK,primary_n597
created_month,hashtag_count,597,-0.0596,0.146,-0.1012,0.0133,OK,primary_n597
created_month,emoji_count,597,-0.1187,0.0037,-0.103,0.0118,OK,primary_n597
created_month,log1p_view_count,597,-0.189,0.0,-0.1827,0.0,OK,primary_n597
created_hour,quarter_total_posts,597,0.0188,0.6467,0.0096,0.8141,OK,primary_n597
created_hour,month_total_posts,597,0.0129,0.7533,-0.0184,0.6541,OK,primary_n597
created_hour,text_length,597,0.0225,0.5835,0.0459,0.2627,OK,primary_n597
created_hour,url_count,597,0.0286,0.4862,0.0388,0.3435,OK,primary_n597
created_hour,mention_count,597,-0.1038,0.0112,-0.0463,0.2582,OK,primary_n597
created_hour,hashtag_count,597,0.0637,0.1201,0.0149,0.7165,OK,primary_n597
created_hour,emoji_count,597,-0.0607,0.1384,-0.0443,0.2803,OK,primary_n597
created_hour,log1p_view_count,597,-0.0356,0.3859,0.0399,0.3307,OK,primary_n597
quarter_total_posts,month_total_posts,597,0.8264,0.0,0.7884,0.0,serious,primary_n597
quarter_total_posts,text_length,597,0.2564,0.0,0.2463,0.0,OK,primary_n597
quarter_total_posts,url_count,597,-0.0315,0.4429,-0.035,0.3935,OK,primary_n597
quarter_total_posts,mention_count,597,-0.0698,0.0885,-0.063,0.1244,OK,primary_n597
quarter_total_posts,hashtag_count,597,0.0569,0.1648,0.0827,0.0433,OK,primary_n597
quarter_total_posts,emoji_count,597,0.0364,0.3747,0.0665,0.1046,OK,primary_n597
quarter_total_posts,log1p_view_count,597,-0.431,0.0,-0.4556,0.0,OK,primary_n597
month_total_posts,text_length,597,0.2096,0.0,0.2155,0.0,OK,primary_n597
month_total_posts,url_count,597,0.0131,0.7493,-0.0115,0.7801,OK,primary_n597
month_total_posts,mention_count,597,-0.0892,0.0293,-0.0457,0.2654,OK,primary_n597
month_total_posts,hashtag_count,597,0.0726,0.0765,0.1193,0.0035,OK,primary_n597
month_total_posts,emoji_count,597,0.0536,0.1906,0.0893,0.0291,OK,primary_n597
month_total_posts,log1p_view_count,597,-0.2717,0.0,-0.3702,0.0,OK,primary_n597
text_length,url_count,597,0.2069,0.0,0.179,0.0,OK,primary_n597
text_length,mention_count,597,0.2553,0.0,0.2318,0.0,OK,primary_n597
text_length,hashtag_count,597,0.2013,0.0,0.234,0.0,OK,primary_n597
text_length,emoji_count,597,0.1191,0.0036,0.1237,0.0025,OK,primary_n597
text_length,log1p_view_count,597,-0.1425,0.0005,-0.1811,0.0,OK,primary_n597
url_count,mention_count,597,0.1245,0.0023,0.1371,0.0008,OK,primary_n597
url_count,hashtag_count,597,0.0553,0.1773,0.0199,0.6275,OK,primary_n597
url_count,emoji_count,597,0.0191,0.6408,0.0586,0.1525,OK,primary_n597
url_count,log1p_view_count,597,0.1393,0.0006,0.16,0.0001,OK,primary_n597
mention_count,hashtag_count,597,0.1351,0.0009,0.1854,0.0,OK,primary_n597
mention_count,emoji_count,597,0.213,0.0,0.1539,0.0002,OK,primary_n597
mention_count,log1p_view_count,597,-0.0119,0.7714,-0.0123,0.7646,OK,primary_n597
hashtag_count,emoji_count,597,0.0288,0.4824,0.0272,0.5068,OK,primary_n597
hashtag_count,log1p_view_count,597,-0.1309,0.0014,-0.1209,0.0031,OK,primary_n597
emoji_count,log1p_view_count,597,0.0032,0.9386,0.0222,0.5879,OK,primary_n597
