variable,variable_group,sample,n_total,non_missing_n,missing_n,missing_rate,unique_n,mean,std,min,max,zero_count,zero_rate,warnings
final_humor_binary,binary_iv,primary_n597,597,597,0,0.0,2,0.5176,0.5001,0.0,1.0,288,0.4824,OK
final_humor_binary,binary_iv,full_n978,978,597,381,0.3896,3,0.5176,0.5001,0.0,1.0,288,0.4824,missing_rate>0.2
created_year,time,primary_n597,597,597,0,0.0,8,2022.7119,2.1373,2019.0,2026.0,0,0.0,OK
created_year,time,full_n978,978,978,0,0.0,9,2022.0153,2.1243,2009.0,2026.0,0,0.0,OK
created_month,time,primary_n597,597,597,0,0.0,12,5.9162,3.3347,1.0,12.0,0,0.0,OK
created_month,time,full_n978,978,978,0,0.0,12,5.8793,3.2532,1.0,12.0,0,0.0,OK
created_hour,time,primary_n597,597,597,0,0.0,20,16.2848,5.7428,0.0,23.0,21,0.0352,OK
created_hour,time,full_n978,978,978,0,0.0,22,16.1544,5.5387,0.0,23.0,27,0.0276,OK
quarter_total_posts,posting_intensity,primary_n597,597,597,0,0.0,26,44.1005,23.0781,8.0,110.0,0,0.0,OK
quarter_total_posts,posting_intensity,full_n978,978,978,0,0.0,27,50.773,27.3041,1.0,110.0,0,0.0,OK
month_total_posts,posting_intensity,primary_n597,597,597,0,0.0,28,17.675,11.4961,1.0,50.0,0,0.0,OK
month_total_posts,posting_intensity,full_n978,978,978,0,0.0,28,20.3497,13.2256,1.0,50.0,0,0.0,OK
text_length,post_format,primary_n597,597,597,0,0.0,207,95.737,63.7178,5.0,359.0,0,0.0,OK
text_length,post_format,full_n978,978,978,0,0.0,243,101.3415,65.2832,1.0,359.0,0,0.0,OK
url_count,post_format,primary_n597,597,597,0,0.0,4,0.5477,0.582,0.0,3.0,296,0.4958,OK
url_count,post_format,full_n978,978,978,0,0.0,4,0.5481,0.6106,0.0,3.0,501,0.5123,OK
mention_count,post_format,primary_n597,597,597,0,0.0,7,0.2764,0.7321,0.0,8.0,483,0.809,OK
mention_count,post_format,full_n978,978,978,0,0.0,8,0.3344,0.7861,0.0,8.0,750,0.7669,OK
hashtag_count,post_format,primary_n597,597,597,0,0.0,4,0.1256,0.3608,0.0,3.0,527,0.8827,OK
hashtag_count,post_format,full_n978,978,978,0,0.0,5,0.1544,0.4429,0.0,5.0,849,0.8681,OK
emoji_count,post_format,primary_n597,597,597,0,0.0,5,0.2094,0.5322,0.0,4.0,500,0.8375,OK
emoji_count,post_format,full_n978,978,978,0,0.0,5,0.1912,0.523,0.0,4.0,834,0.8528,OK
is_quote_status,post_format,primary_n597,597,597,0,0.0,2,0.1977,0.3986,0.0,1.0,479,0.8023,OK
is_quote_status,post_format,full_n978,978,978,0,0.0,2,0.1943,0.3958,0.0,1.0,788,0.8057,OK
is_retweet_text,post_format,primary_n597,597,597,0,0.0,2,0.0168,0.1284,0.0,1.0,587,0.9832,zero_rate>0.9_SPARSE
is_retweet_text,post_format,full_n978,978,978,0,0.0,2,0.0266,0.1609,0.0,1.0,952,0.9734,zero_rate>0.9_SPARSE
log1p_view_count,exposure_robustness,primary_n597,597,597,0,0.0,289,5.9984,6.3602,0.0,17.6076,309,0.5176,OK
log1p_view_count,exposure_robustness,full_n978,978,978,0,0.0,345,4.3844,6.0515,0.0,17.6076,634,0.6483,OK
