model_set,sample,variable,vif,vif_severity
A_time_only,primary_n597,_const,inf,infinite_FAIL
A_time_only,primary_n597,final_humor_binary,1.0582,acceptable
A_time_only,primary_n597,created_year,1.162,acceptable
A_time_only,primary_n597,created_month,1.1073,acceptable
A_time_only,primary_n597,created_hour,1.0056,acceptable
A_time_only,full_n978,_const,inf,infinite_FAIL
A_time_only,full_n978,final_humor_binary,1.0337,acceptable
A_time_only,full_n978,created_year,1.0866,acceptable
A_time_only,full_n978,created_month,1.0521,acceptable
A_time_only,full_n978,created_hour,1.0032,acceptable
B_time_posting_intensity,primary_n597,_const,inf,infinite_FAIL
B_time_posting_intensity,primary_n597,final_humor_binary,1.0686,acceptable
B_time_posting_intensity,primary_n597,created_year,1.4511,acceptable
B_time_posting_intensity,primary_n597,created_month,1.2726,acceptable
B_time_posting_intensity,primary_n597,created_hour,1.0062,acceptable
B_time_posting_intensity,primary_n597,quarter_total_posts,3.7656,acceptable
B_time_posting_intensity,primary_n597,month_total_posts,3.3295,acceptable
B_time_posting_intensity,full_n978,_const,inf,infinite_FAIL
B_time_posting_intensity,full_n978,final_humor_binary,1.0351,acceptable
B_time_posting_intensity,full_n978,created_year,1.515,acceptable
B_time_posting_intensity,full_n978,created_month,1.2564,acceptable
B_time_posting_intensity,full_n978,created_hour,1.0087,acceptable
B_time_posting_intensity,full_n978,quarter_total_posts,4.753,acceptable
B_time_posting_intensity,full_n978,month_total_posts,4.0674,acceptable
C_time_posting_format,primary_n597,_const,inf,infinite_FAIL
C_time_posting_format,primary_n597,final_humor_binary,1.1815,acceptable
C_time_posting_format,primary_n597,created_year,1.4947,acceptable
C_time_posting_format,primary_n597,created_month,1.3289,acceptable
C_time_posting_format,primary_n597,created_hour,1.0282,acceptable
C_time_posting_format,primary_n597,quarter_total_posts,3.8914,acceptable
C_time_posting_format,primary_n597,month_total_posts,3.3797,acceptable
C_time_posting_format,primary_n597,text_length,1.3153,acceptable
C_time_posting_format,primary_n597,url_count,1.2128,acceptable
C_time_posting_format,primary_n597,mention_count,1.2533,acceptable
C_time_posting_format,primary_n597,hashtag_count,1.0893,acceptable
C_time_posting_format,primary_n597,emoji_count,1.0895,acceptable
C_time_posting_format,primary_n597,is_quote_status,1.1698,acceptable
C_time_posting_format,primary_n597,is_retweet_text,1.0808,acceptable
C_time_posting_format,full_n978,_const,inf,infinite_FAIL
C_time_posting_format,full_n978,final_humor_binary,1.1074,acceptable
C_time_posting_format,full_n978,created_year,1.5643,acceptable
C_time_posting_format,full_n978,created_month,1.2931,acceptable
C_time_posting_format,full_n978,created_hour,1.022,acceptable
C_time_posting_format,full_n978,quarter_total_posts,4.9615,acceptable
C_time_posting_format,full_n978,month_total_posts,4.1034,acceptable
C_time_posting_format,full_n978,text_length,1.3981,acceptable
C_time_posting_format,full_n978,url_count,1.2349,acceptable
C_time_posting_format,full_n978,mention_count,1.324,acceptable
C_time_posting_format,full_n978,hashtag_count,1.1643,acceptable
C_time_posting_format,full_n978,emoji_count,1.0586,acceptable
C_time_posting_format,full_n978,is_quote_status,1.1497,acceptable
C_time_posting_format,full_n978,is_retweet_text,1.1562,acceptable
D_exposure_robustness,primary_n597,_const,inf,infinite_FAIL
D_exposure_robustness,primary_n597,final_humor_binary,1.1296,acceptable
D_exposure_robustness,primary_n597,created_year,3.675,acceptable
D_exposure_robustness,primary_n597,created_month,1.1277,acceptable
D_exposure_robustness,primary_n597,created_hour,1.0063,acceptable
D_exposure_robustness,primary_n597,text_length,1.0318,acceptable
D_exposure_robustness,primary_n597,log1p_view_count,3.6828,acceptable
D_exposure_robustness,full_n978,_const,inf,infinite_FAIL
D_exposure_robustness,full_n978,final_humor_binary,1.085,acceptable
D_exposure_robustness,full_n978,created_year,3.7691,acceptable
D_exposure_robustness,full_n978,created_month,1.0765,acceptable
D_exposure_robustness,full_n978,created_hour,1.0045,acceptable
D_exposure_robustness,full_n978,text_length,1.0379,acceptable
D_exposure_robustness,full_n978,log1p_view_count,3.8092,acceptable
