metric,value
total_rows_input,978
total_rows_analysis,978
humor_score_zero_count,739
humor_score_zero_share,0.7556
log1p_humor_score_min,0.000000
log1p_humor_score_mean,0.059935
log1p_humor_score_median,0.000000
log1p_humor_score_max,0.693147
engagement_total_min,4
engagement_total_mean,9430.49
engagement_total_median,1452.5
engagement_total_max,931445

dv,n_nonmissing,n_missing,mean,median,min,max
log1p_engagement_total,978,0,7.4138,7.2817,1.6094,13.7445
log1p_favorite_count,978,0,7.0930,7.0929,0.0000,13.5878
log1p_retweet_count,978,0,4.4687,4.2836,0.0000,11.6345
log1p_reply_count,978,0,4.5934,4.7449,0.0000,9.8662
log1p_quote_count,978,0,2.9027,2.7726,0.0000,9.3291
log1p_bookmark_count,978,0,2.6270,2.3979,0.0000,9.9658
