metric,value
full_n,978
primary_n,597
full_predicted_humor_1,564
full_predicted_humor_0,414
human_humor_1,309
human_humor_0,288
merge_key,id
merged_n,978
unmatched_h3,0
unmatched_fast,0
duplicate_key_any,False
full_n_maintained,True
primary_n_maintained,True
text_length_missing,0
hashtag_count_missing,0
mention_count_missing,0
emoji_count_used,False
url_count_used,False
is_quote_status_used,False
is_retweet_text_used,False
sample_reduced_by_post_format,False
rank_deficient_any,False
se_type,conventional_MSE
url_count_used,False
emoji_count_used,False
is_quote_status_used,False
is_retweet_text_used,False
view_count_used,False
year_quarter_fe_used,False
day_of_week_created,False
image_video_vars_used,False
H2_performed,False
H3_performed,False
new_vars_created,False
original_posts_json_modified,False
fb_M0_time_fe_only_beta,0.4677
fb_M0_time_fe_only_p,0.0
fb_M0_time_fe_only_flag,supports_H1
fp_M0_time_fe_only_beta,1.0666
fp_M0_time_fe_only_p,0.0027
fp_M0_time_fe_only_flag,supports_H1
hv_M0_time_fe_only_beta,0.3306
hv_M0_time_fe_only_p,0.0283
hv_M0_time_fe_only_flag,supports_H1
fb_M1_text_length_beta,0.5134
fb_M1_text_length_p,0.0
fb_M1_text_length_flag,supports_H1
fp_M1_text_length_beta,1.5082
fp_M1_text_length_p,0.0
fp_M1_text_length_flag,supports_H1
hv_M1_text_length_beta,0.3805
hv_M1_text_length_p,0.0099
hv_M1_text_length_flag,supports_H1
fb_M2_hashtag_beta,0.4601
fb_M2_hashtag_p,0.0
fb_M2_hashtag_flag,supports_H1
fp_M2_hashtag_beta,1.125
fp_M2_hashtag_p,0.0015
fp_M2_hashtag_flag,supports_H1
hv_M2_hashtag_beta,0.3529
hv_M2_hashtag_p,0.0193
hv_M2_hashtag_flag,supports_H1
fb_M3_mention_beta,0.2285
fb_M3_mention_p,0.0402
fb_M3_mention_flag,supports_H1
fp_M3_mention_beta,0.4463
fp_M3_mention_p,0.197
fp_M3_mention_flag,positive_not_significant
hv_M3_mention_beta,0.257
hv_M3_mention_p,0.0812
hv_M3_mention_flag,weak_support
fb_M4_text_hashtag_beta,0.5039
fb_M4_text_hashtag_p,0.0
fb_M4_text_hashtag_flag,supports_H1
fp_M4_text_hashtag_beta,1.4994
fp_M4_text_hashtag_p,0.0
fp_M4_text_hashtag_flag,supports_H1
hv_M4_text_hashtag_beta,0.3893
hv_M4_text_hashtag_p,0.0085
hv_M4_text_hashtag_flag,supports_H1
fb_M5_text_mention_beta,0.2898
fb_M5_text_mention_p,0.0092
fb_M5_text_mention_flag,supports_H1
fp_M5_text_mention_beta,0.8274
fp_M5_text_mention_p,0.0191
fp_M5_text_mention_flag,supports_H1
hv_M5_text_mention_beta,0.3116
hv_M5_text_mention_p,0.033
hv_M5_text_mention_flag,supports_H1
fb_M6_hashtag_mention_beta,0.2377
fb_M6_hashtag_mention_p,0.0329
fb_M6_hashtag_mention_flag,supports_H1
fp_M6_hashtag_mention_beta,0.5017
fp_M6_hashtag_mention_p,0.1486
fp_M6_hashtag_mention_flag,positive_not_significant
hv_M6_hashtag_mention_beta,0.2723
hv_M6_hashtag_mention_p,0.0658
hv_M6_hashtag_mention_flag,weak_support
fb_M7_all_three_beta,0.2918
fb_M7_all_three_p,0.0088
fb_M7_all_three_flag,supports_H1
fp_M7_all_three_beta,0.8404
fp_M7_all_three_p,0.0175
fp_M7_all_three_flag,supports_H1
hv_M7_all_three_beta,0.3171
hv_M7_all_three_p,0.0307
hv_M7_all_three_flag,supports_H1
