metric,value
primary_n,597
full_n,978
primary_humor_1,309
primary_humor_0,288
full_predicted_humor_1,564
full_predicted_humor_0,414
primary_year_unique,8
primary_year_values,"['2019', '2020', '2021', '2022', '2023', '2024', '2025', '2026']"
primary_month_unique,12
primary_hour_unique,20
full_year_unique,9
full_year_values,"['2009', '2019', '2020', '2021', '2022', '2023', '2024', '2025', '2026']"
full_month_unique,12
full_hour_unique,22
sample_reduced_by_missing,no
rank_deficient_any,False
se_type,conventional_MSE
view_count_used,False
post_format_vars_used,False
posting_intensity_used,False
year_quarter_fe_used,False
day_of_week_created,False
H2_performed,False
H3_performed,False
new_vars_created,False
original_posts_json_modified,False
primary_M0_baseline_beta,0.5043
primary_M0_baseline_p_value,0.0004
primary_M0_baseline_flag,supports_H1
primary_M1_year_fe_beta,0.3442
primary_M1_year_fe_p_value,0.02
primary_M1_year_fe_flag,supports_H1
primary_M2_month_fe_beta,0.4348
primary_M2_month_fe_p_value,0.002
primary_M2_month_fe_flag,supports_H1
primary_M3_hour_fe_beta,0.4991
primary_M3_hour_fe_p_value,0.0006
primary_M3_hour_fe_flag,supports_H1
primary_M4_year_month_fe_beta,0.2848
primary_M4_year_month_fe_p_value,0.0522
primary_M4_year_month_fe_flag,weak_support
primary_M5_year_hour_fe_beta,0.3726
primary_M5_year_hour_fe_p_value,0.0137
primary_M5_year_hour_fe_flag,supports_H1
primary_M6_month_hour_fe_beta,0.4395
primary_M6_month_hour_fe_p_value,0.0022
primary_M6_month_hour_fe_flag,supports_H1
primary_M7_year_month_hour_fe_beta,0.3306
primary_M7_year_month_hour_fe_p_value,0.0283
primary_M7_year_month_hour_fe_flag,supports_H1
