sample_type,model_name,dv,iv,n,coefficient,p_value,r_squared,adj_r_squared,aic,bic,included_time_fe,number_of_time_variables,interpretation_flag
fullsample_binary_n978,M0_baseline,log1p_engagement_total,pred_humor_final_050,978,0.5008,0.0,0.0197,0.0187,1092.9491,1102.7201,none,0,supports_H1
fullsample_binary_n978,M1_year_fe,log1p_engagement_total,pred_humor_final_050,978,0.4207,0.0003,0.0573,0.0485,1070.7353,1119.5904,year_FE,1,supports_H1
fullsample_binary_n978,M2_month_fe,log1p_engagement_total,pred_humor_final_050,978,0.5085,0.0,0.0992,0.088,1032.2964,1095.808,month_FE,1,supports_H1
fullsample_binary_n978,M3_hour_fe,log1p_engagement_total,pred_humor_final_050,978,0.5027,0.0,0.0651,0.0436,1088.5713,1200.9381,hour_FE,1,supports_H1
fullsample_binary_n978,M4_year_month_fe,log1p_engagement_total,pred_humor_final_050,978,0.443,0.0001,0.129,0.1108,1015.3759,1117.9716,year_FE+month_FE,2,supports_H1
fullsample_binary_n978,M5_year_hour_fe,log1p_engagement_total,pred_humor_final_050,978,0.4368,0.0002,0.1002,0.0717,1067.1334,1218.5842,year_FE+hour_FE,2,supports_H1
fullsample_binary_n978,M6_month_hour_fe,log1p_engagement_total,pred_humor_final_050,978,0.5182,0.0,0.1377,0.1075,1031.5371,1197.6444,month_FE+hour_FE,2,supports_H1
fullsample_binary_n978,M7_year_month_hour_fe,log1p_engagement_total,pred_humor_final_050,978,0.4677,0.0,0.1646,0.128,1016.5058,1221.6972,year_FE+month_FE+hour_FE,3,supports_H1
fullsample_binary_n978,M0_baseline,log1p_engagement_favorite_retweet,pred_humor_final_050,978,0.518,0.0,0.0205,0.0195,1119.6497,1129.4207,none,0,supports_H1
fullsample_binary_n978,M1_year_fe,log1p_engagement_favorite_retweet,pred_humor_final_050,978,0.4253,0.0003,0.0631,0.0544,1092.1681,1141.0231,year_FE,1,supports_H1
fullsample_binary_n978,M2_month_fe,log1p_engagement_favorite_retweet,pred_humor_final_050,978,0.5248,0.0,0.1002,0.089,1058.6442,1122.1558,month_FE,1,supports_H1
fullsample_binary_n978,M3_hour_fe,log1p_engagement_favorite_retweet,pred_humor_final_050,978,0.522,0.0,0.0663,0.0448,1114.793,1227.1597,hour_FE,1,supports_H1
fullsample_binary_n978,M4_year_month_fe,log1p_engagement_favorite_retweet,pred_humor_final_050,978,0.4466,0.0001,0.1343,0.1162,1036.834,1139.4297,year_FE+month_FE,2,supports_H1
fullsample_binary_n978,M5_year_hour_fe,log1p_engagement_favorite_retweet,pred_humor_final_050,978,0.4452,0.0001,0.1062,0.0779,1088.0554,1239.5062,year_FE+hour_FE,2,supports_H1
fullsample_binary_n978,M6_month_hour_fe,log1p_engagement_favorite_retweet,pred_humor_final_050,978,0.5367,0.0,0.1392,0.1091,1057.2942,1223.4015,month_FE+hour_FE,2,supports_H1
fullsample_binary_n978,M7_year_month_hour_fe,log1p_engagement_favorite_retweet,pred_humor_final_050,978,0.4751,0.0,0.1702,0.1339,1037.3963,1242.5877,year_FE+month_FE+hour_FE,3,supports_H1
fullsample_binary_n978,M0_baseline,log1p_favorite_count,pred_humor_final_050,978,0.6314,0.0,0.0225,0.0215,1415.4524,1425.2234,none,0,supports_H1
fullsample_binary_n978,M1_year_fe,log1p_favorite_count,pred_humor_final_050,978,0.563,0.0,0.0495,0.0406,1404.0514,1452.9064,year_FE,1,supports_H1
fullsample_binary_n978,M2_month_fe,log1p_favorite_count,pred_humor_final_050,978,0.6299,0.0,0.0931,0.0819,1364.0545,1427.5661,month_FE,1,supports_H1
fullsample_binary_n978,M3_hour_fe,log1p_favorite_count,pred_humor_final_050,978,0.6308,0.0,0.0624,0.0408,1416.6402,1529.0069,hour_FE,1,supports_H1
fullsample_binary_n978,M4_year_month_fe,log1p_favorite_count,pred_humor_final_050,978,0.5806,0.0,0.1169,0.0985,1354.0415,1456.6372,year_FE+month_FE,2,supports_H1
fullsample_binary_n978,M5_year_hour_fe,log1p_favorite_count,pred_humor_final_050,978,0.5754,0.0,0.0866,0.0577,1407.0983,1558.5491,year_FE+hour_FE,2,supports_H1
fullsample_binary_n978,M6_month_hour_fe,log1p_favorite_count,pred_humor_final_050,978,0.6391,0.0,0.1271,0.0966,1368.7675,1534.8748,month_FE+hour_FE,2,supports_H1
fullsample_binary_n978,M7_year_month_hour_fe,log1p_favorite_count,pred_humor_final_050,978,0.6036,0.0,0.1474,0.11,1361.7435,1566.9349,year_FE+month_FE+hour_FE,3,supports_H1
fullsample_binary_n978,M0_baseline,log1p_retweet_count,pred_humor_final_050,978,0.258,0.0273,0.005,0.004,1154.9894,1164.7604,none,0,supports_H1
fullsample_binary_n978,M1_year_fe,log1p_retweet_count,pred_humor_final_050,978,0.2436,0.0419,0.0329,0.0239,1143.1956,1192.0506,year_FE,1,supports_H1
fullsample_binary_n978,M2_month_fe,log1p_retweet_count,pred_humor_final_050,978,0.2777,0.0151,0.0732,0.0616,1107.5822,1171.0938,month_FE,1,supports_H1
fullsample_binary_n978,M3_hour_fe,log1p_retweet_count,pred_humor_final_050,978,0.2692,0.0215,0.0524,0.0306,1149.2521,1261.6188,hour_FE,1,supports_H1
