sample_type,model_name,dv,iv,n,coefficient,p_value,r_squared,adj_r_squared,aic,bic,included_time_fe,number_of_time_variables,interpretation_flag
primary_human_n597,M0_baseline,log1p_engagement_total,final_humor_binary,597,0.5043,0.0004,0.0208,0.0192,656.9391,665.7229,none,0,supports_H1
primary_human_n597,M1_year_fe,log1p_engagement_total,final_humor_binary,597,0.3442,0.02,0.1083,0.0962,615.065,654.5923,year_FE,1,supports_H1
primary_human_n597,M2_month_fe,log1p_engagement_total,final_humor_binary,597,0.4348,0.002,0.0917,0.0731,634.0585,691.1534,month_FE,1,supports_H1
primary_human_n597,M3_hour_fe,log1p_engagement_total,final_humor_binary,597,0.4991,0.0006,0.0587,0.026,671.3708,763.601,hour_FE,1,supports_H1
primary_human_n597,M4_year_month_fe,log1p_engagement_total,final_humor_binary,597,0.2848,0.0522,0.1743,0.1472,591.1327,678.971,year_FE+month_FE,2,weak_support
primary_human_n597,M5_year_hour_fe,log1p_engagement_total,final_humor_binary,597,0.3726,0.0137,0.1365,0.0956,633.8696,756.8432,year_FE+hour_FE,2,supports_H1
primary_human_n597,M6_month_hour_fe,log1p_engagement_total,final_humor_binary,597,0.4395,0.0022,0.1243,0.0762,650.2673,790.8086,month_FE+hour_FE,2,supports_H1
primary_human_n597,M7_year_month_hour_fe,log1p_engagement_total,final_humor_binary,597,0.3306,0.0283,0.1968,0.1421,612.6974,783.9822,year_FE+month_FE+hour_FE,3,supports_H1
primary_human_n597,M0_baseline,log1p_engagement_favorite_retweet,final_humor_binary,597,0.5176,0.0004,0.0212,0.0195,677.8904,686.6742,none,0,supports_H1
primary_human_n597,M1_year_fe,log1p_engagement_favorite_retweet,final_humor_binary,597,0.3413,0.0228,0.1152,0.1032,631.6053,671.1325,year_FE,1,supports_H1
primary_human_n597,M2_month_fe,log1p_engagement_favorite_retweet,final_humor_binary,597,0.4473,0.0018,0.0908,0.0721,655.83,712.9249,month_FE,1,supports_H1
primary_human_n597,M3_hour_fe,log1p_engagement_favorite_retweet,final_humor_binary,597,0.512,0.0005,0.0589,0.0262,692.445,784.6753,hour_FE,1,supports_H1
primary_human_n597,M4_year_month_fe,log1p_engagement_favorite_retweet,final_humor_binary,597,0.2806,0.0593,0.1795,0.1525,608.5448,696.3832,year_FE+month_FE,2,weak_support
primary_human_n597,M5_year_hour_fe,log1p_engagement_favorite_retweet,final_humor_binary,597,0.3726,0.015,0.1427,0.1021,650.7284,773.7021,year_FE+hour_FE,2,supports_H1
primary_human_n597,M6_month_hour_fe,log1p_engagement_favorite_retweet,final_humor_binary,597,0.4522,0.002,0.1229,0.0747,672.4119,812.9532,month_FE+hour_FE,2,supports_H1
primary_human_n597,M7_year_month_hour_fe,log1p_engagement_favorite_retweet,final_humor_binary,597,0.33,0.031,0.2011,0.1467,630.6273,801.9121,year_FE+month_FE+hour_FE,3,supports_H1
primary_human_n597,M0_baseline,log1p_favorite_count,final_humor_binary,597,0.6144,0.0001,0.0243,0.0227,798.7937,807.5775,none,0,supports_H1
primary_human_n597,M1_year_fe,log1p_favorite_count,final_humor_binary,597,0.4613,0.0058,0.1044,0.0922,761.6682,801.1955,year_FE,1,supports_H1
primary_human_n597,M2_month_fe,log1p_favorite_count,final_humor_binary,597,0.5359,0.0008,0.0829,0.0641,783.8032,840.8981,month_FE,1,supports_H1
primary_human_n597,M3_hour_fe,log1p_favorite_count,final_humor_binary,597,0.6303,0.0001,0.0631,0.0306,812.5341,904.7644,hour_FE,1,supports_H1
primary_human_n597,M4_year_month_fe,log1p_favorite_count,final_humor_binary,597,0.3932,0.0187,0.1586,0.1309,746.4034,834.2418,year_FE+month_FE,2,supports_H1
primary_human_n597,M5_year_hour_fe,log1p_favorite_count,final_humor_binary,597,0.5109,0.0028,0.1339,0.0928,779.6836,902.6573,year_FE+hour_FE,2,supports_H1
primary_human_n597,M6_month_hour_fe,log1p_favorite_count,final_humor_binary,597,0.5652,0.0005,0.1168,0.0683,799.3588,939.9002,month_FE+hour_FE,2,supports_H1
primary_human_n597,M7_year_month_hour_fe,log1p_favorite_count,final_humor_binary,597,0.4629,0.007,0.1831,0.1275,766.715,937.9998,year_FE+month_FE+hour_FE,3,supports_H1
primary_human_n597,M0_baseline,log1p_retweet_count,final_humor_binary,597,0.3265,0.0237,0.0086,0.0069,675.2323,684.0161,none,0,supports_H1
primary_human_n597,M1_year_fe,log1p_retweet_count,final_humor_binary,597,0.2682,0.0791,0.0639,0.0512,654.9465,694.4737,year_FE,1,weak_support
primary_human_n597,M2_month_fe,log1p_retweet_count,final_humor_binary,597,0.2716,0.0575,0.0761,0.0572,655.091,712.1859,month_FE,1,weak_support
primary_human_n597,M3_hour_fe,log1p_retweet_count,final_humor_binary,597,0.3167,0.0313,0.0456,0.0124,690.5159,782.7461,hour_FE,1,supports_H1
primary_human_n597,M4_year_month_fe,log1p_retweet_count,final_humor_binary,597,0.223,0.1408,0.1355,0.107,629.4568,717.2951,year_FE+month_FE,2,positive_not_significant
primary_human_n597,M5_year_hour_fe,log1p_retweet_count,final_humor_binary,597,0.2793,0.073,0.0961,0.0533,672.0255,794.9992,year_FE+hour_FE,2,weak_support
primary_human_n597,M6_month_hour_fe,log1p_retweet_count,final_humor_binary,597,0.2727,0.0625,0.1044,0.0553,674.539,815.0804,month_FE+hour_FE,2,weak_support
primary_human_n597,M7_year_month_hour_fe,log1p_retweet_count,final_humor_binary,597,0.2538,0.1026,0.1586,0.1013,651.2899,822.5747,year_FE+month_FE+hour_FE,3,positive_not_significant
primary_human_n597,M0_baseline,log1p_reply_count,final_humor_binary,597,0.4266,0.0009,0.0185,0.0169,529.306,538.0898,none,0,supports_H1
primary_human_n597,M1_year_fe,log1p_reply_count,final_humor_binary,597,0.3464,0.0103,0.0794,0.0668,505.0923,544.6195,year_FE,1,supports_H1
primary_human_n597,M2_month_fe,log1p_reply_count,final_humor_binary,597,0.3589,0.0048,0.0788,0.0599,513.4558,570.5507,month_FE,1,supports_H1
primary_human_n597,M3_hour_fe,log1p_reply_count,final_humor_binary,597,0.396,0.0022,0.0754,0.0433,531.6494,623.8796,hour_FE,1,supports_H1
