sample_type,model_name,dv,iv,n,coefficient,p_value,r_squared,adj_r_squared,aic,bic,included_time_fe,interpretation_flag
primary_human_n597,M1_baseline,log1p_engagement_total,final_humor_binary,597,0.5043,0.0004,0.0208,0.0192,656.9391,665.7229,none,supports_H1
primary_human_n597,M2_year_fe,log1p_engagement_total,final_humor_binary,597,0.3442,0.02,0.1083,0.0962,615.065,654.5923,year_FE,supports_H1
primary_human_n597,M3_year_month_fe,log1p_engagement_total,final_humor_binary,597,0.2848,0.0522,0.1743,0.1472,591.1327,678.971,year_FE+month_FE,weak_support
primary_human_n597,M4_year_month_hour_fe,log1p_engagement_total,final_humor_binary,597,0.3306,0.0283,0.1968,0.1421,612.6974,783.9822,year_FE+month_FE+hour_FE,supports_H1
primary_human_n597,M1_baseline,log1p_engagement_favorite_retweet,final_humor_binary,597,0.5176,0.0004,0.0212,0.0195,677.8904,686.6742,none,supports_H1
primary_human_n597,M2_year_fe,log1p_engagement_favorite_retweet,final_humor_binary,597,0.3413,0.0228,0.1152,0.1032,631.6053,671.1325,year_FE,supports_H1
primary_human_n597,M3_year_month_fe,log1p_engagement_favorite_retweet,final_humor_binary,597,0.2806,0.0593,0.1795,0.1525,608.5448,696.3832,year_FE+month_FE,weak_support
primary_human_n597,M4_year_month_hour_fe,log1p_engagement_favorite_retweet,final_humor_binary,597,0.33,0.031,0.2011,0.1467,630.6273,801.9121,year_FE+month_FE+hour_FE,supports_H1
primary_human_n597,M1_baseline,log1p_favorite_count,final_humor_binary,597,0.6144,0.0001,0.0243,0.0227,798.7937,807.5775,none,supports_H1
primary_human_n597,M2_year_fe,log1p_favorite_count,final_humor_binary,597,0.4613,0.0058,0.1044,0.0922,761.6682,801.1955,year_FE,supports_H1
primary_human_n597,M3_year_month_fe,log1p_favorite_count,final_humor_binary,597,0.3932,0.0187,0.1586,0.1309,746.4034,834.2418,year_FE+month_FE,supports_H1
primary_human_n597,M4_year_month_hour_fe,log1p_favorite_count,final_humor_binary,597,0.4629,0.007,0.1831,0.1275,766.715,937.9998,year_FE+month_FE+hour_FE,supports_H1
primary_human_n597,M1_baseline,log1p_retweet_count,final_humor_binary,597,0.3265,0.0237,0.0086,0.0069,675.2323,684.0161,none,supports_H1
primary_human_n597,M2_year_fe,log1p_retweet_count,final_humor_binary,597,0.2682,0.0791,0.0639,0.0512,654.9465,694.4737,year_FE,weak_support
primary_human_n597,M3_year_month_fe,log1p_retweet_count,final_humor_binary,597,0.223,0.1408,0.1355,0.107,629.4568,717.2951,year_FE+month_FE,positive_not_significant
primary_human_n597,M4_year_month_hour_fe,log1p_retweet_count,final_humor_binary,597,0.2538,0.1026,0.1586,0.1013,651.2899,822.5747,year_FE+month_FE+hour_FE,positive_not_significant
primary_human_n597,M1_baseline,log1p_reply_count,final_humor_binary,597,0.4266,0.0009,0.0185,0.0169,529.306,538.0898,none,supports_H1
primary_human_n597,M2_year_fe,log1p_reply_count,final_humor_binary,597,0.3464,0.0103,0.0794,0.0668,505.0923,544.6195,year_FE,supports_H1
primary_human_n597,M3_year_month_fe,log1p_reply_count,final_humor_binary,597,0.2865,0.034,0.1304,0.1018,493.0431,580.8815,year_FE+month_FE,supports_H1
primary_human_n597,M4_year_month_hour_fe,log1p_reply_count,final_humor_binary,597,0.3009,0.0283,0.1731,0.1168,500.9853,672.2701,year_FE+month_FE+hour_FE,supports_H1
primary_human_n597,M1_baseline,log1p_quote_count,final_humor_binary,597,0.3533,0.0203,0.009,0.0074,738.9845,747.7684,none,supports_H1
primary_human_n597,M2_year_fe,log1p_quote_count,final_humor_binary,597,0.2282,0.1575,0.0599,0.0471,721.536,761.0633,year_FE,positive_not_significant
primary_human_n597,M3_year_month_fe,log1p_quote_count,final_humor_binary,597,0.196,0.2237,0.1198,0.0909,704.1781,792.0165,year_FE+month_FE,positive_not_significant
primary_human_n597,M4_year_month_hour_fe,log1p_quote_count,final_humor_binary,597,0.2464,0.1363,0.1448,0.0866,724.9874,896.2722,year_FE+month_FE+hour_FE,positive_not_significant
primary_human_n597,M1_baseline,log1p_bookmark_count,final_humor_binary,597,-0.1803,0.2136,0.0026,0.0009,682.4468,691.2306,none,not_support
primary_human_n597,M2_year_fe,log1p_bookmark_count,final_humor_binary,597,0.1029,0.5013,0.0652,0.0525,657.7303,697.2576,year_FE,positive_not_significant
primary_human_n597,M3_year_month_fe,log1p_bookmark_count,final_humor_binary,597,0.05,0.7433,0.1233,0.0944,641.4538,729.2921,year_FE+month_FE,positive_not_significant
primary_human_n597,M4_year_month_hour_fe,log1p_bookmark_count,final_humor_binary,597,0.1163,0.4569,0.1529,0.0952,658.9496,830.2343,year_FE+month_FE+hour_FE,positive_not_significant
