"dv","comparison","n_aggressive","n_comparison_type","mean_aggressive","mean_comparison_type","diff_aggressive_minus_comparison","t_stat","p_value_raw","p_value_bonferroni","p_value_fdr","cohens_d","effect_size_label","significance_raw","significance_fdr","h2_direction","h2_preliminary_support","sample_size_warning"
"log1p_engagement_total","aggressive vs affiliative","95","106","8.3411","7.6505","0.6906","2.8902","0.0043","0.1032","0.0103","0.4109","small","**","*","positive","H2 4-type decomposition 예비적 지지",""
"log1p_engagement_total","aggressive vs self-enhancing","95","62","8.3411","7.4835","0.8576","3.3910","0.0009","0.0214","0.0039","0.5250","medium","***","**","positive","H2 4-type decomposition 예비적 지지",""
"log1p_engagement_total","aggressive vs self-defeating","95","15","8.3411","8.1366","0.2045","0.4158","0.6823","1.0000","0.7443","0.1150","negligible","","","positive","H2 방향성 지지","n<20: 결과 매우 제한적"
"log1p_engagement_favorite_retweet","aggressive vs affiliative","95","106","8.2120","7.5193","0.6927","2.8303","0.0052","0.1237","0.0112","0.4025","small","**","*","positive","H2 4-type decomposition 예비적 지지",""
"log1p_engagement_favorite_retweet","aggressive vs self-enhancing","95","62","8.2120","7.3344","0.8776","3.4087","0.0008","0.0201","0.0039","0.5262","medium","***","**","positive","H2 4-type decomposition 예비적 지지",""
"log1p_engagement_favorite_retweet","aggressive vs self-defeating","95","15","8.2120","8.0597","0.1523","0.3051","0.7636","1.0000","0.7968","0.0836","negligible","","","positive","H2 방향성 지지","n<20: 결과 매우 제한적"
"log1p_favorite_count","aggressive vs affiliative","95","106","8.1418","7.4013","0.7405","2.9052","0.0041","0.0982","0.0103","0.4110","small","**","*","positive","H2 4-type decomposition 예비적 지지",""
"log1p_favorite_count","aggressive vs self-enhancing","95","62","8.1418","7.2810","0.8608","3.3612","0.0010","0.0236","0.0039","0.5179","medium","***","**","positive","H2 4-type decomposition 예비적 지지",""
"log1p_favorite_count","aggressive vs self-defeating","95","15","8.1418","7.7103","0.4315","0.6212","0.5431","1.0000","0.6206","0.2224","small","","","positive","H2 방향성 지지","n<20: 결과 매우 제한적"
"log1p_retweet_count","aggressive vs affiliative","95","106","5.4009","4.6083","0.7927","3.1706","0.0018","0.0428","0.0053","0.4525","small","**","**","positive","H2 4-type decomposition 예비적 지지",""
"log1p_retweet_count","aggressive vs self-enhancing","95","62","5.4009","4.2158","1.1851","4.1013","0.0001","0.0016","0.0016","0.6505","medium","***","**","positive","H2 4-type decomposition 예비적 지지",""
"log1p_retweet_count","aggressive vs self-defeating","95","15","5.4009","5.2829","0.1180","0.2550","0.8012","1.0000","0.8012","0.0628","negligible","","","positive","H2 방향성 지지","n<20: 결과 매우 제한적"
"log1p_reply_count","aggressive vs affiliative","95","106","5.3120","4.9095","0.4025","1.9146","0.0570","1.0000","0.0978","0.2717","small",".",".","positive","H2 방향성 지지",""
"log1p_reply_count","aggressive vs self-enhancing","95","62","5.3120","5.0267","0.2853","1.2501","0.2133","1.0000","0.3412","0.1968","negligible","","","positive","H2 방향성 지지",""
"log1p_reply_count","aggressive vs self-defeating","95","15","5.3120","4.8439","0.4681","1.1249","0.2746","1.0000","0.3661","0.3049","small","","","positive","H2 방향성 지지","n<20: 결과 매우 제한적"
"log1p_quote_count","aggressive vs affiliative","95","106","3.8651","3.0211","0.8440","3.1743","0.0018","0.0423","0.0053","0.4531","small","**","**","positive","H2 4-type decomposition 예비적 지지",""
"log1p_quote_count","aggressive vs self-enhancing","95","62","3.8651","3.0485","0.8166","2.7261","0.0072","0.1726","0.0144","0.4277","small","**","*","positive","H2 4-type decomposition 예비적 지지",""
"log1p_quote_count","aggressive vs self-defeating","95","15","3.8651","3.4020","0.4631","0.8895","0.3844","1.0000","0.4613","0.2296","small","","","positive","H2 방향성 지지","n<20: 결과 매우 제한적"
"log1p_bookmark_count","aggressive vs affiliative","95","106","3.3405","2.5443","0.7962","3.6278","0.0004","0.0088","0.0031","0.5136","medium","***","**","positive","H2 4-type decomposition 예비적 지지",""
"log1p_bookmark_count","aggressive vs self-enhancing","95","62","3.3405","2.3461","0.9944","3.6501","0.0004","0.0093","0.0031","0.6068","medium","***","**","positive","H2 4-type decomposition 예비적 지지",""
"log1p_bookmark_count","aggressive vs self-defeating","95","15","3.3405","2.8403","0.5002","1.1362","0.2702","1.0000","0.3661","0.3162","small","","","positive","H2 방향성 지지","n<20: 결과 매우 제한적"
"log1p_view_count","aggressive vs affiliative","95","106","4.1605","2.3172","1.8433","2.3639","0.0191","0.4596","0.0354","0.3379","small","*","*","positive","H2 4-type decomposition 예비적 지지",""
"log1p_view_count","aggressive vs self-enhancing","95","62","4.1605","3.1988","0.9617","1.0007","0.3188","1.0000","0.4027","0.1618","negligible","","","positive","H2 방향성 지지",""
"log1p_view_count","aggressive vs self-defeating","95","15","4.1605","2.4721","1.6884","1.1532","0.2620","1.0000","0.3661","0.2845","small","","","positive","H2 방향성 지지","n<20: 결과 매우 제한적"
