metric,value
model_based_humor_only_n,564
model_based_aggressive_n,200
model_based_other_humor_n,364
human_validation_n,278
human_aggressive_n,95
human_other_humor_n,183
non_humor_in_mb,0
non_humor_in_hv,0
sample_reduced_by_missing,no
rank_deficient_any,False
log1p_view_count_used,False
post_format_controls_used,False
year_quarter_fe_used,False
new_vars_created,False
H1_performed,False
H3_performed,False
original_posts_json_modified,False
mb_M0_beta,0.4684
mb_M0_p,0.0021
mb_M0_flag,supports_H2
mb_M7_beta,0.5199
mb_M7_p,0.0006
mb_M7_flag,supports_H2
hv_M0_beta,0.7074
hv_M0_p,0.0007
hv_M7_beta,0.7261
hv_M7_p,0.0003
