check,value
main_source_file,wendys_h3_aggressive_vs_other_intensity_dataset.csv
format_source_file,wendys_fast_weak_supervised_humor_dataset.csv
merge_key,id
left_n,978
right_n,978
merged_n,978
unmatched_rows,0
duplicate_key,0
row_count_after_filter,960
unique_year_quarter,25
quarter_filter,>= 10
agg_predictor_missing,0
oth_predictor_missing,0
agg_min,0.0
agg_max,0.337662
agg_mean,0.20625
agg_std,0.070264
oth_min,0.0
oth_max,0.666667
oth_mean,0.373958
oth_std,0.155747
pairwise_corr_agg_oth,-0.2641
text_length_missing,0
hashtag_count_missing,0
mention_count_missing,0
year_quarter_FE_used,False
quarter_FE_used,False
total_humor_proportion_used,False
frequency_count_used,False
view_count_used,False
emoji_count_used,False
url_count_used,False
is_quote_status_used,False
is_retweet_text_used,False
H1_performed,False
H2_performed,False
new_humor_classifier,False
