period,total_posts,humor_posts,non_humor_posts,humor_frequency,humor_proportion,mean_humor_proportion_loo,mean_p_humor,min_created_date,max_created_date,mean_log1p_engagement_total,mean_log1p_engagement_favorite_retweet,mean_log1p_favorite_count,mean_log1p_retweet_count,mean_log1p_reply_count,mean_log1p_quote_count,mean_log1p_bookmark_count,mean_log1p_view_count,median_log1p_engagement_total
2019-Q4,28,14,14,14,0.5,0.5,0.5002,2019-11-16,2019-12-29,8.0283,7.9803,7.3736,5.5444,3.9391,1.5753,1.6097,0.0,8.3907
2020-Q1,50,32,18,32,0.64,0.64,0.5241,2020-01-02,2020-03-27,9.0855,8.9929,8.9209,6.1809,5.7673,4.4999,3.5053,0.0,8.821
2020-Q2,110,78,32,78,0.709091,0.709091,0.5579,2020-04-01,2020-06-25,7.0126,6.8938,6.7235,3.9163,4.2789,2.4131,1.646,0.0,6.9505
2020-Q3,65,43,22,43,0.661538,0.661538,0.5405,2020-07-01,2020-09-28,7.6371,7.5491,7.5019,4.366,4.7617,3.0462,2.171,0.0,7.7757
2020-Q4,56,35,21,35,0.625,0.625,0.5434,2020-10-06,2020-12-26,7.8386,7.7293,7.6658,4.4507,5.07,3.3882,2.3381,0.0,7.2495
2021-Q1,78,51,27,51,0.653846,0.653847,0.5376,2021-01-06,2021-03-31,7.5882,7.4947,7.2589,4.4183,4.4919,2.9847,2.3282,0.0,7.5269
2021-Q2,48,24,24,24,0.5,0.5,0.5107,2021-04-01,2021-06-29,7.7101,7.6091,7.2941,4.8488,4.6467,3.1879,2.5424,0.0,7.3127
2021-Q3,43,36,7,36,0.837209,0.837209,0.593,2021-07-06,2021-09-28,7.0883,6.9755,6.6348,4.1106,4.4323,2.6707,1.7839,0.0,7.3165
2021-Q4,25,22,3,22,0.88,0.88,0.6118,2021-10-04,2021-12-16,8.3284,8.1338,8.0705,5.1523,5.9108,4.0153,2.8153,0.0,8.0833
2022-Q1,42,28,14,28,0.666667,0.666667,0.5617,2022-01-10,2022-03-31,7.0939,6.9659,6.551,4.1936,4.383,2.8694,2.2153,0.0,7.5306
2022-Q2,24,18,6,18,0.75,0.75,0.5388,2022-04-03,2022-06-27,7.7597,7.6175,7.1575,4.9715,5.0545,3.4032,2.7396,0.0,7.7909
2022-Q3,39,24,15,24,0.615385,0.615385,0.4926,2022-07-07,2022-09-27,7.311,7.2265,6.8289,4.3574,4.2228,2.4333,2.1488,0.0,7.2284
2022-Q4,32,19,13,19,0.59375,0.59375,0.4923,2022-10-04,2022-12-24,7.6756,7.5648,7.3151,4.8025,4.7502,3.197,2.8502,2.7868,7.8282
2023-Q1,19,9,10,9,0.473684,0.473684,0.4396,2023-01-18,2023-03-30,8.3629,8.1824,7.993,5.3109,5.6944,3.7907,3.4992,13.3233,8.6376
2023-Q2,32,11,21,11,0.34375,0.34375,0.3913,2023-04-06,2023-06-30,6.7563,6.5793,6.4201,3.8223,4.3973,2.3727,2.5224,12.7093,7.0725
2023-Q3,12,3,9,3,0.25,0.25,0.353,2023-07-06,2023-09-22,7.2599,7.0401,6.9793,4.2187,5.0781,3.1954,3.0691,13.0893,7.5175
2024-Q1,18,7,11,7,0.388889,0.388889,0.4174,2024-01-08,2024-03-20,7.278,7.056,6.6787,4.6189,4.7842,3.2225,3.4667,12.2958,7.1901
2024-Q2,27,10,17,10,0.37037,0.37037,0.488,2024-04-02,2024-06-27,7.1685,7.019,6.9104,4.6343,4.3513,2.9275,3.2781,12.6831,7.1397
2024-Q3,41,18,23,18,0.439024,0.439024,0.4934,2024-07-03,2024-09-27,6.3626,6.2407,6.1659,3.561,3.5272,1.8654,2.2741,12.0069,6.157
2024-Q4,20,4,16,4,0.2,0.2,0.4001,2024-10-01,2024-12-31,7.7059,7.5289,7.414,5.1843,5.0325,3.412,4.2959,12.6697,7.2185
2025-Q1,21,9,12,9,0.428571,0.428571,0.4827,2025-01-02,2025-03-31,7.1793,7.054,6.9209,4.7301,4.4425,2.5531,3.3931,12.722,7.044
2025-Q2,14,4,10,4,0.285714,0.285714,0.4321,2025-04-01,2025-06-25,8.3338,8.2094,8.135,5.4251,5.3884,3.7237,4.6866,13.7008,8.4246
2025-Q4,11,6,5,6,0.545455,0.545455,0.5419,2025-10-06,2025-12-18,6.7529,6.5388,6.4553,3.9986,4.5501,2.7461,3.2978,12.1205,6.4505
2026-Q1,46,17,29,17,0.369565,0.369566,0.458,2026-01-04,2026-03-30,6.9429,6.7477,6.6639,4.1661,4.3206,2.8025,3.6952,12.417,6.9626
2026-Q2,59,35,24,35,0.59322,0.59322,0.4916,2026-04-02,2026-06-11,6.2758,6.0852,6.005,3.4774,3.8548,2.0053,3.0654,11.6336,5.7236
