h3_test_type,model_name,dv,predictor,squared_predictor,n,quarter_count,predictor_min,predictor_max,predictor_mean,predictor_std,beta_linear,p_linear,beta_quadratic,p_quadratic,turning_point,turning_point_in_range,included_time_variables,number_of_time_variables,r_squared,adj_r_squared,aic,bic,interpretation_flag
H3-pre,M0,log1p_engagement_total,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,0.191699,0.928846,0.315328,0.870801,-0.303967,False,none,0,0.002178,9.3e-05,3820.3368,3834.9376,not_support
H3-pre,M0,log1p_engagement_favorite_retweet,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,0.900739,0.678888,-0.238465,0.903405,1.888617,False,none,0,0.00301,0.000926,3846.0591,3860.6599,directional_only
H3-pre,M0,log1p_favorite_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,0.249665,0.921723,0.176574,0.938662,-0.706971,False,none,0,0.001054,-0.001034,4143.8741,4158.4749,not_support
H3-pre,M0,log1p_retweet_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-1.243697,0.571071,0.89511,0.651665,0.694717,True,none,0,0.000727,-0.001361,3863.2901,3877.8909,not_support
H3-pre,M0,log1p_reply_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-4.757907,0.019245,4.718187,0.010186,0.504209,True,none,0,0.008118,0.006045,3712.7176,3727.3184,not_support
H3-pre,M0,log1p_quote_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-3.874683,0.087849,3.91891,0.055985,0.494357,True,none,0,0.004871,0.002792,3926.1199,3940.7207,not_support
H3-pre,M0,log1p_bookmark_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-6.903567,0.000728,3.705169,0.044233,0.931613,False,none,0,0.067745,0.065796,3719.6275,3734.2283,not_support
H3-pre,M1,log1p_engagement_total,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-4.677652,0.060752,2.261691,0.281783,1.034105,False,created_year,1,0.056996,0.048062,3780.0926,3828.7619,not_support
H3-pre,M1,log1p_engagement_favorite_retweet,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-4.231726,0.093098,1.801491,0.396135,1.174507,False,created_year,1,0.063415,0.054542,3800.0586,3848.728,not_support
H3-pre,M1,log1p_favorite_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-4.796359,0.106409,2.159452,0.388266,1.11055,False,created_year,1,0.043576,0.034515,4116.1151,4164.7844,not_support
H3-pre,M1,log1p_retweet_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-5.418018,0.034966,2.847457,0.18828,0.951378,False,created_year,1,0.042342,0.033269,3836.455,3885.1243,not_support
H3-pre,M1,log1p_reply_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-7.309555,0.002232,5.540479,0.005948,0.65965,True,created_year,1,0.039737,0.03064,3695.6169,3744.2863,not_support
H3-pre,M1,log1p_quote_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-6.701259,0.011788,4.335128,0.053104,0.772902,True,created_year,1,0.042873,0.033805,3902.7418,3951.4111,not_support
H3-pre,M1,log1p_bookmark_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-7.13062,0.002878,4.036266,0.045072,0.883319,True,created_year,1,0.102385,0.093881,3697.2766,3745.9459,not_support
