h3_test_type,model_name,dv,predictor,squared_predictor,n,quarter_count,predictor_min,predictor_max,predictor_mean,predictor_std,beta_linear,p_linear,beta_quadratic,p_quadratic,turning_point,turning_point_in_range,included_time_variables,included_post_format_variables,number_of_post_format_variables,r_squared,adj_r_squared,aic,bic,interpretation_flag
H3-pre,M0,log1p_engagement_total,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-6.606277,0.011371,4.536555,0.040644,0.728116,True,created_year+created_month+created_hour,none,0,0.15704,0.119391,3736.4279,3940.839,not_support
H3-pre,M0,log1p_engagement_favorite_retweet,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-6.43384,0.014679,4.276654,0.056073,0.752205,True,created_year+created_month+created_hour,none,0,0.163032,0.125652,3756.1015,3960.5127,not_support
H3-pre,M0,log1p_favorite_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-6.958142,0.025982,4.5872,0.083867,0.75843,True,created_year+created_month+created_hour,none,0,0.135575,0.096967,4083.0239,4287.4351,not_support
H3-pre,M0,log1p_retweet_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-7.631345,0.004656,5.470672,0.016876,0.697478,True,created_year+created_month+created_hour,none,0,0.13902,0.100567,3798.2915,4002.7027,not_support
H3-pre,M0,log1p_reply_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-6.972203,0.005374,5.736665,0.007011,0.607688,True,created_year+created_month+created_hour,none,0,0.137447,0.098924,3656.5982,3861.0094,not_support
H3-pre,M0,log1p_quote_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-6.960985,0.012772,5.440898,0.021931,0.639691,True,created_year+created_month+created_hour,none,0,0.136129,0.097547,3868.3294,4072.7406,not_support
H3-pre,M0,log1p_bookmark_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-8.191156,0.001143,5.622435,0.008521,0.728435,True,created_year+created_month+created_hour,none,0,0.187641,0.151359,3665.4697,3869.8809,not_support
H3-pre,M1,log1p_engagement_total,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-7.224613,0.004847,5.214853,0.016684,0.692696,True,created_year+created_month+created_hour,text_length,1,0.188997,0.151852,3701.3257,3910.6038,not_support
H3-pre,M1,log1p_engagement_favorite_retweet,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-7.107921,0.005915,5.016101,0.022218,0.708511,True,created_year+created_month+created_hour,text_length,1,0.199977,0.163334,3714.763,3924.0411,not_support
H3-pre,M1,log1p_favorite_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-7.72251,0.011797,5.42569,0.037295,0.711662,True,created_year+created_month+created_hour,text_length,1,0.170477,0.132483,4045.4589,4254.737,not_support
H3-pre,M1,log1p_retweet_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-7.999649,0.002877,5.87469,0.009976,0.680857,True,created_year+created_month+created_hour,text_length,1,0.149878,0.110941,3788.1083,3997.3864,not_support
H3-pre,M1,log1p_reply_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-7.263146,0.00363,6.05582,0.004326,0.599683,True,created_year+created_month+created_hour,text_length,1,0.145315,0.106169,3649.8018,3859.08,not_support
H3-pre,M1,log1p_quote_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-7.152322,0.010502,5.650789,0.017362,0.63286,True,created_year+created_month+created_hour,text_length,1,0.138862,0.099421,3867.2871,4076.5652,not_support
H3-pre,M1,log1p_bookmark_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-8.428652,0.000802,5.882962,0.005866,0.716361,True,created_year+created_month+created_hour,text_length,1,0.192533,0.155549,3661.6713,3870.9495,not_support
H3-pre,M2,log1p_engagement_total,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-6.433709,0.012931,4.209848,0.055519,0.764126,True,created_year+created_month+created_hour,hashtag_count,1,0.172035,0.134113,3721.1968,3930.475,not_support
H3-pre,M2,log1p_engagement_favorite_retweet,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-6.256159,0.016686,3.940266,0.075935,0.793875,True,created_year+created_month+created_hour,hashtag_count,1,0.178496,0.14087,3740.1985,3949.4767,not_support
H3-pre,M2,log1p_favorite_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-6.774581,0.029128,4.23968,0.107996,0.798949,True,created_year+created_month+created_hour,hashtag_count,1,0.147701,0.108664,4071.4619,4280.74,not_support
H3-pre,M2,log1p_retweet_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-7.567149,0.004992,5.349135,0.019473,0.707325,True,created_year+created_month+created_hour,hashtag_count,1,0.141008,0.101664,3798.0732,4007.3513,not_support
H3-pre,M2,log1p_reply_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-6.820606,0.006106,5.449659,0.009935,0.625783,True,created_year+created_month+created_hour,hashtag_count,1,0.150315,0.111399,3644.1685,3853.4466,not_support
H3-pre,M2,log1p_quote_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-6.939802,0.013097,5.400795,0.023072,0.64248,True,created_year+created_month+created_hour,hashtag_count,1,0.136331,0.096773,3870.1051,4079.3832,not_support
H3-pre,M2,log1p_bookmark_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-8.129502,0.001237,5.505712,0.009986,0.738279,True,created_year+created_month+created_hour,hashtag_count,1,0.189627,0.152511,3665.1198,3874.398,not_support
H3-pre,M3,log1p_engagement_total,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-5.885677,0.01771,3.870621,0.066235,0.760301,True,created_year+created_month+created_hour,mention_count,1,0.239054,0.204202,3640.1648,3849.4429,not_support
H3-pre,M3,log1p_engagement_favorite_retweet,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-5.725302,0.02277,3.621867,0.089759,0.79038,True,created_year+created_month+created_hour,mention_count,1,0.240163,0.205362,3665.287,3874.5652,not_support
H3-pre,M3,log1p_favorite_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-5.941929,0.041094,3.648079,0.139727,0.814391,True,created_year+created_month+created_hour,mention_count,1,0.252146,0.217893,3945.9607,4155.2388,not_support
H3-pre,M3,log1p_retweet_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-7.1977,0.006685,5.069923,0.024455,0.709843,True,created_year+created_month+created_hour,mention_count,1,0.167463,0.129331,3768.0421,3977.3202,not_support
H3-pre,M3,log1p_reply_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-6.099373,0.008114,4.930049,0.01177,0.618592,True,created_year+created_month+created_hour,mention_count,1,0.271246,0.237868,3496.7803,3706.0584,not_support
H3-pre,M3,log1p_quote_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-6.482753,0.018193,4.998946,0.032033,0.648412,True,created_year+created_month+created_hour,mention_count,1,0.168395,0.130306,3833.7858,4043.064,not_support
H3-pre,M3,log1p_bookmark_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-7.718766,0.001723,5.185882,0.013105,0.74421,True,created_year+created_month+created_hour,mention_count,1,0.224212,0.18868,3623.2486,3832.5267,not_support
H3-pre,M4,log1p_engagement_total,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-7.037441,0.005931,4.920533,0.023658,0.71511,True,created_year+created_month+created_hour,text_length+hashtag_count,2,0.194813,0.157015,3696.4169,3910.562,not_support
H3-pre,M4,log1p_engagement_favorite_retweet,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-6.922794,0.007193,4.724997,0.030962,0.732571,True,created_year+created_month+created_hour,text_length+hashtag_count,2,0.205511,0.168215,3710.0991,3924.2442,not_support
H3-pre,M4,log1p_favorite_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-7.545046,0.013752,5.146636,0.048124,0.733008,True,created_year+created_month+created_hour,text_length+hashtag_count,2,0.174213,0.135448,4043.125,4257.2701,not_support
H3-pre,M4,log1p_retweet_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-7.958068,0.003048,5.809306,0.010973,0.684941,True,created_year+created_month+created_hour,text_length+hashtag_count,2,0.150153,0.110258,3789.7979,4003.9429,not_support
H3-pre,M4,log1p_reply_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-7.047553,0.004594,5.71681,0.00688,0.616389,True,created_year+created_month+created_hour,text_length+hashtag_count,2,0.153894,0.114176,3642.1163,3856.2614,not_support
H3-pre,M4,log1p_quote_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-7.152761,0.010571,5.65148,0.017565,0.632822,True,created_year+created_month+created_hour,text_length+hashtag_count,2,0.138862,0.098438,3869.2871,4083.4321,not_support
H3-pre,M4,log1p_bookmark_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-8.365144,0.000884,5.783098,0.00684,0.723241,True,created_year+created_month+created_hour,text_length+hashtag_count,2,0.193227,0.155355,3662.845,3876.9901,not_support
H3-pre,M5,log1p_engagement_total,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-6.363021,0.009847,4.382177,0.036429,0.726011,True,created_year+created_month+created_hour,text_length+mention_count,2,0.25216,0.217054,3625.4861,3839.6312,not_support
H3-pre,M5,log1p_engagement_favorite_retweet,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-6.276641,0.01174,4.212721,0.046534,0.744963,True,created_year+created_month+created_hour,text_length+mention_count,2,0.257171,0.222301,3645.5545,3859.6996,not_support
H3-pre,M5,log1p_favorite_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-6.481591,0.024977,4.226419,0.085383,0.766795,True,created_year+created_month+created_hour,text_length+mention_count,2,0.264119,0.229574,3932.4677,4146.6128,not_support
H3-pre,M5,log1p_retweet_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-7.480243,0.004791,5.372716,0.017106,0.696132,True,created_year+created_month+created_hour,text_length+mention_count,2,0.17186,0.132985,3764.9582,3979.1032,not_support
H3-pre,M5,log1p_reply_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-6.109422,0.008118,4.940818,0.01179,0.61826,True,created_year+created_month+created_hour,text_length+mention_count,2,0.271253,0.237043,3498.7718,3712.9169,not_support
H3-pre,M5,log1p_quote_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-6.527861,0.017591,5.047287,0.030803,0.64667,True,created_year+created_month+created_hour,text_length+mention_count,2,0.1685,0.129466,3835.6651,4049.8102,not_support
H3-pre,M5,log1p_bookmark_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-7.82348,0.001512,5.298101,0.011427,0.738329,True,created_year+created_month+created_hour,text_length+mention_count,2,0.224867,0.188479,3624.4385,3838.5835,not_support
H3-pre,M6,log1p_engagement_total,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-5.852254,0.018277,3.775757,0.073044,0.774978,True,created_year+created_month+created_hour,hashtag_count+mention_count,2,0.241081,0.205455,3639.6043,3853.7494,not_support
H3-pre,M6,log1p_engagement_favorite_retweet,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-5.688053,0.023523,3.516141,0.099294,0.808849,True,created_year+created_month+created_hour,hashtag_count+mention_count,2,0.242612,0.207058,3664.1879,3878.333,not_support
H3-pre,M6,log1p_favorite_count,humor_proportion_quarter_loo,humor_proportion_quarter_loo_sq,960,25,0.157895,0.916667,0.580208,0.153014,-5.927577,0.041667,3.607342,0.144512,0.821599,True,created_year+created_month+created_hour,hashtag_count+mention_count,2,0.252413,0.217319,3947.6177,4161.7627,not_support
