type_source,raw_type_value,normalized_type_value,count,share_within_source
coder1,none,none,76,0.3040
coder1,affiliative,affiliative,74,0.2960
coder1,aggressive,aggressive,51,0.2040
coder1,self-enhancing,self-enhancing,38,0.1520
coder1,self-defeating,self-defeating,9,0.0360
coder1,self-enchancing,self-enhancing,2,0.0080
human,none,none,30,0.4412
human,affiliative,affiliative,21,0.3088
human,aggressive,aggressive,13,0.1912
human,self-enhancing,self-enhancing,3,0.0441
human,self-defeating,self-defeating,1,0.0147
coder2,none,none,326,0.7056
coder2,aggressive,aggressive,58,0.1255
coder2,affiliative,affiliative,29,0.0628
coder2,self-enhancing,self-enhancing,21,0.0455
coder2,affliative,affiliative,19,0.0411
coder2,self-defeating,self-defeating,6,0.0130
coder2,self_enhancing,self-enhancing,2,0.0043
coder2,self-affliative,affiliative,1,0.0022
