metric,value
total_full_rows,978
human_file_rows,69
human_labeled_rows_used,68
human_label_humor_count,37
human_label_nonhumor_count,31
human_label_missing_excluded,1
merged_human_label_rows,68
unmatched_human_label_rows,0
classifier_trained,True
n_splits,5
cv_accuracy_mean,0.7066
cv_accuracy_std,0.1024
cv_precision_mean,0.7750
cv_precision_std,0.1333
cv_recall_mean,0.6750
cv_recall_std,0.0662
cv_f1_mean,0.7186
cv_f1_std,0.0850
cv_roc_auc_mean,0.8062
cv_roc_auc_std,0.0709
cv_balanced_accuracy_mean,0.7065
cv_balanced_accuracy_std,0.1071
p_humor_tfidf_logreg_human_min,0.3437
p_humor_tfidf_logreg_human_mean,0.4964
p_humor_tfidf_logreg_human_median,0.5051
p_humor_tfidf_logreg_human_max,0.6479
p_humor_tfidf_logreg_human_ge_050_count,519
p_humor_tfidf_logreg_human_ge_050_share,0.5307
correlation_with_humor_score,0.1006
correlation_with_p_humor_ml,0.3069
