period,period_type,total_posts,humor_posts,non_humor_posts,humor_frequency,humor_proportion,mean_p_humor,median_p_humor,mean_log1p_engagement_total,median_log1p_engagement_total,min_created_date,max_created_date
2009-Q4,quarter,1,1,0,1,1.0,0.525364,0.525364,7.3297,7.3297,2009-11-26,2009-11-26
2019-Q4,quarter,28,14,14,14,0.5,0.500222,0.505968,8.0283,8.3907,2019-11-16,2019-12-29
2020-Q1,quarter,50,32,18,32,0.64,0.524057,0.550943,9.0855,8.821,2020-01-02,2020-03-27
2020-Q2,quarter,110,78,32,78,0.709091,0.55789,0.571441,7.0126,6.9505,2020-04-01,2020-06-25
2020-Q3,quarter,65,43,22,43,0.661538,0.540494,0.560209,7.6371,7.7757,2020-07-01,2020-09-28
2020-Q4,quarter,56,35,21,35,0.625,0.543433,0.55213,7.8386,7.2495,2020-10-06,2020-12-26
2021-Q1,quarter,78,51,27,51,0.653846,0.537606,0.552897,7.5882,7.5269,2021-01-06,2021-03-31
2021-Q2,quarter,48,24,24,24,0.5,0.510669,0.500771,7.7101,7.3127,2021-04-01,2021-06-29
2021-Q3,quarter,43,36,7,36,0.837209,0.592995,0.629397,7.0883,7.3165,2021-07-06,2021-09-28
2021-Q4,quarter,25,22,3,22,0.88,0.611776,0.66314,8.3284,8.0833,2021-10-04,2021-12-16
2022-Q1,quarter,42,28,14,28,0.666667,0.561689,0.589714,7.0939,7.5306,2022-01-10,2022-03-31
2022-Q2,quarter,24,18,6,18,0.75,0.538771,0.578691,7.7597,7.7909,2022-04-03,2022-06-27
2022-Q3,quarter,39,24,15,24,0.615385,0.492592,0.518129,7.311,7.2284,2022-07-07,2022-09-27
2022-Q4,quarter,32,19,13,19,0.59375,0.492302,0.521903,7.6756,7.8282,2022-10-04,2022-12-24
2023-Q1,quarter,19,9,10,9,0.473684,0.439561,0.498281,8.3629,8.6376,2023-01-18,2023-03-30
2023-Q2,quarter,32,11,21,11,0.34375,0.391341,0.426938,6.7563,7.0725,2023-04-06,2023-06-30
2023-Q3,quarter,12,3,9,3,0.25,0.353039,0.412577,7.2599,7.5175,2023-07-06,2023-09-22
2023-Q4,quarter,8,3,5,3,0.375,0.409569,0.414993,8.3543,7.6407,2023-10-02,2023-11-15
2024-Q1,quarter,18,7,11,7,0.388889,0.417401,0.372452,7.278,7.1901,2024-01-08,2024-03-20
2024-Q2,quarter,27,10,17,10,0.37037,0.488014,0.463853,7.1685,7.1397,2024-04-02,2024-06-27
2024-Q3,quarter,41,18,23,18,0.439024,0.493412,0.492373,6.3626,6.157,2024-07-03,2024-09-27
2024-Q4,quarter,20,4,16,4,0.2,0.400105,0.379651,7.7059,7.2185,2024-10-01,2024-12-31
2025-Q1,quarter,21,9,12,9,0.428571,0.482659,0.47274,7.1793,7.044,2025-01-02,2025-03-31
2025-Q2,quarter,14,4,10,4,0.285714,0.432085,0.465978,8.3338,8.4246,2025-04-01,2025-06-25
2025-Q3,quarter,9,3,6,3,0.333333,0.496433,0.437009,7.5185,6.9246,2025-07-09,2025-09-09
2025-Q4,quarter,11,6,5,6,0.545455,0.541881,0.549981,6.7529,6.4505,2025-10-06,2025-12-18
2026-Q1,quarter,46,17,29,17,0.369565,0.458005,0.450446,6.9429,6.9626,2026-01-04,2026-03-30
2026-Q2,quarter,59,35,24,35,0.59322,0.491624,0.513319,6.2758,5.7236,2026-04-02,2026-06-11
