dv,scale,n_humor,n_nonhumor,mean_humor,mean_nonhumor,diff_mean,sd_humor,sd_nonhumor,median_humor,median_nonhumor,t_stat,p_value,sig,cohens_d,effect_size_interp
engagement_total,raw,83,84,21216.9157,4975.1310,16241.7847,102994.2232,15379.8907,2052.0000,1201.0000,1.4211,0.158917,n.s.,0.2212,small
log1p_engagement_total,log1p,83,84,7.7387,6.9463,0.7925,2.0000,1.8067,7.6271,7.0917,2.6860,0.007980,**,0.4160,small
engagement_fav_rt,raw,83,84,20181.9277,4517.6429,15664.2849,100493.4546,14944.9200,1836.0000,920.5000,1.4048,0.163697,n.s.,0.2187,small
log1p_engagement_fav_rt,log1p,83,84,7.6135,6.7660,0.8475,2.0314,1.8474,7.5159,6.8259,2.8196,0.005405,**,0.4366,small
favorite_count,raw,83,84,18101.1687,4164.1905,13936.9782,88088.0755,13634.9276,1710.0000,846.0000,1.4247,0.157881,n.s.,0.2218,small
log1p_favorite_count,log1p,83,84,7.5385,6.6887,0.8498,2.0291,1.8486,7.4448,6.7416,2.8283,0.005266,**,0.4380,small
retweet_count,raw,83,84,2080.7590,353.4524,1727.3067,12443.7269,1339.2139,112.0000,55.0000,1.2574,0.212085,n.s.,0.1958,negligible
log1p_retweet_count,log1p,83,84,4.8867,4.0927,0.7940,2.0906,1.8391,4.7274,4.0247,2.6048,0.010048,*,0.4035,small
reply_count,raw,83,84,432.6386,246.6190,186.0195,1023.8800,577.7249,93.0000,107.5000,1.4436,0.151268,n.s.,0.2241,small
log1p_reply_count,log1p,83,84,4.7041,4.3502,0.3539,1.6023,1.5680,4.5433,4.6867,1.4425,0.151067,n.s.,0.2233,small
quote_count,raw,83,84,378.5542,95.2024,283.3518,1593.1606,337.2686,12.0000,15.0000,1.5856,0.116365,n.s.,0.2468,small
log1p_quote_count,log1p,83,84,3.0098,2.7394,0.2703,2.2221,1.8954,2.5649,2.7706,0.8453,0.399177,n.s.,0.1310,negligible
bookmark_count,raw,83,84,223.7952,115.6667,108.1285,766.5884,298.0943,24.0000,15.0000,1.1986,0.233351,n.s.,0.1863,negligible
log1p_bookmark_count,log1p,83,84,3.2367,2.9365,0.3002,1.8936,1.9158,3.2189,2.7726,1.0185,0.309931,n.s.,0.1576,negligible
