"feature","coefficient","direction"
"nationalroastday","1.3129","aggressive"
"wendy","-0.9570","other_humor"
"breakfast","-0.9487","other_humor"
"we","-0.9164","other_humor"
"should","0.8348","aggressive"
"get","-0.7942","other_humor"
"your","0.7759","aggressive"
"and","-0.7398","other_humor"
"our","-0.7216","other_humor"
"they","0.7174","aggressive"
"spicy","-0.7049","other_humor"
"was","-0.6589","other_humor"
"how","-0.6512","other_humor"
"hope","0.6193","aggressive"
"ban","0.6100","aggressive"
"right","-0.6076","other_humor"
"not","0.6056","aggressive"
"wants","0.5961","aggressive"
"free","-0.5724","other_humor"
"chicken","-0.5677","other_humor"
"us","-0.5629","other_humor"
"her","0.5526","aggressive"
"you","-0.5483","other_humor"
"biscuit","-0.5477","other_humor"
"hair","0.5336","aggressive"
"their","0.5260","aggressive"
"honey","-0.5106","other_humor"
"fries","-0.5031","other_humor"
"burgers","0.5009","aggressive"
"where the","0.4871","aggressive"
"pull","0.4837","aggressive"
"his","0.4760","aggressive"
"see","-0.4721","other_humor"
"thing","-0.4706","other_humor"
"hit","-0.4669","other_humor"
"say","-0.4661","other_humor"
"one","-0.4618","other_humor"
"burger king","0.4579","aggressive"
"king","0.4579","aggressive"
"can we","0.4572","aggressive"
"we get","0.4572","aggressive"
"why","0.4512","aggressive"
"best","-0.4510","other_humor"
"mcdonald","0.4485","aggressive"
"into","-0.4425","other_humor"
"burgers are","0.4396","aggressive"
"love","-0.4368","other_humor"
"here","0.4359","aggressive"
"up to","0.4332","aggressive"
"wendys","-0.4328","other_humor"
"fresh","0.4297","aggressive"
"frosty","-0.4296","other_humor"
"on your","0.4249","aggressive"
"any","-0.4228","other_humor"
"taking","0.4201","aggressive"
"josh","0.4161","aggressive"
"roast me","0.4160","aggressive"
"fries in","0.4149","aggressive"
"co","-0.4146","other_humor"
"https","-0.4146","other_humor"
"https co","-0.4146","other_humor"
"meat","0.4145","aggressive"
"for","-0.4119","other_humor"
"from","-0.4031","other_humor"
"cheese","0.4024","aggressive"
"it","0.3988","aggressive"
"bacon","0.3976","aggressive"
"the beef","0.3964","aggressive"
"know","0.3932","aggressive"
"wants to","0.3907","aggressive"
"congrats","0.3870","aggressive"
"stick","0.3866","aggressive"
"square","0.3851","aggressive"
"phone","0.3850","aggressive"
"nuggs","-0.3844","other_humor"
"it all","0.3841","aggressive"
"changing","0.3833","aggressive"
"better","-0.3827","other_humor"
"nascar","0.3825","aggressive"
"ok","0.3817","aggressive"
"twitter","0.3762","aggressive"
"when","-0.3714","other_humor"
"fine","0.3670","aggressive"
"walking","0.3658","aggressive"
"when you","-0.3627","other_humor"
"beef","0.3625","aggressive"
"we ll","-0.3614","other_humor"
"sweet","-0.3610","other_humor"
"off","-0.3591","other_humor"
"the way","0.3582","aggressive"
"during","0.3570","aggressive"
"was just","-0.3563","other_humor"
"them","-0.3557","other_humor"
"these","-0.3550","other_humor"
"bogo","-0.3525","other_humor"
"the wendy","-0.3515","other_humor"
"french","0.3505","aggressive"
"dave","0.3504","aggressive"
"sorry","0.3473","aggressive"
"based","0.3440","aggressive"
