period,period_type,total_posts,humor_posts,non_humor_posts,humor_intensity,mean_p_humor,median_p_humor,mean_log1p_engagement_total,mean_log1p_engagement_favorite_retweet,mean_log1p_favorite_count,mean_log1p_retweet_count,mean_log1p_reply_count,mean_log1p_quote_count,mean_log1p_bookmark_count,mean_log1p_view_count,median_log1p_engagement_total,min_created_date,max_created_date
2009-11,month,1,1,0,1.0,0.525364,0.525364,7.3297,7.1854,7.1277,4.3175,5.0499,3.4965,2.9444,0.0,7.3297,2009-11-26,2009-11-26
2019-11,month,11,4,7,0.3636,0.466918,0.447683,7.4672,7.3968,6.5372,5.2763,3.7405,0.0,0.0,0.0,8.0193,2019-11-16,2019-11-30
2019-12,month,17,10,7,0.5882,0.521772,0.562565,8.3914,8.3578,7.9148,5.7178,4.0676,2.5946,2.6512,0.0,9.0018,2019-12-05,2019-12-29
2020-01,month,13,9,4,0.6923,0.520073,0.563459,9.7552,9.6979,9.6124,7.0822,5.7563,5.1528,4.34,0.0,9.5086,2020-01-02,2020-01-27
2020-02,month,19,13,6,0.6842,0.528348,0.586882,9.4939,9.4079,9.3446,6.3999,5.8926,4.5376,3.6371,0.0,9.3082,2020-02-04,2020-02-29
2020-03,month,18,10,8,0.5556,0.522405,0.504189,8.1707,8.0457,7.9744,5.2989,5.6428,3.9885,2.7634,0.0,8.0754,2020-03-01,2020-03-27
2020-04,month,50,37,13,0.74,0.581214,0.613631,6.7807,6.6683,6.4447,3.871,3.8979,2.5346,1.6215,0.0,7.0357,2020-04-01,2020-04-30
2020-05,month,49,32,17,0.6531,0.531285,0.546195,6.9737,6.8372,6.7914,3.6618,4.5401,2.0058,1.6412,0.0,6.48,2020-05-01,2020-05-29
2020-06,month,11,9,2,0.8182,0.570383,0.581657,8.2407,8.1706,7.6879,5.2558,4.8474,3.6748,1.7792,0.0,7.7035,2020-06-03,2020-06-25
2020-07,month,19,12,7,0.6316,0.531286,0.560209,6.7159,6.6472,6.5958,3.6569,3.7703,2.1127,1.6362,0.0,7.1693,2020-07-01,2020-07-30
2020-08,month,30,20,10,0.6667,0.554983,0.597977,8.2465,8.1618,8.1145,4.8959,5.2176,3.5598,2.5251,0.0,8.0114,2020-08-03,2020-08-31
2020-09,month,16,11,5,0.6875,0.524262,0.534911,7.5883,7.4712,7.4294,4.2146,5.0842,3.1917,2.1423,0.0,7.213,2020-09-01,2020-09-28
2020-10,month,24,14,10,0.5833,0.518153,0.537836,8.3849,8.2982,8.1986,5.2958,5.2174,3.8492,2.9927,0.0,7.9905,2020-10-06,2020-10-29
2020-11,month,14,9,5,0.6429,0.551256,0.541276,7.8593,7.7431,7.7086,4.2499,5.2954,3.5889,2.1352,0.0,7.566,2020-11-09,2020-11-28
2020-12,month,18,12,6,0.6667,0.571056,0.595199,7.0942,6.9601,6.9221,3.4801,4.6981,2.6175,1.6232,0.0,6.7391,2020-12-01,2020-12-26
2021-01,month,6,3,3,0.5,0.487628,0.52668,7.1766,7.0759,7.0172,4.037,4.5383,2.6647,1.9989,0.0,7.0837,2021-01-06,2021-01-30
2021-02,month,38,27,11,0.7105,0.589349,0.63868,8.0548,7.9739,7.928,4.7927,4.767,3.491,2.7594,0.0,8.4498,2021-02-01,2021-02-26
2021-03,month,34,21,13,0.6176,0.488595,0.534303,7.1393,7.033,6.5538,4.0671,4.1762,2.4754,1.9044,0.0,6.9167,2021-03-04,2021-03-31
2021-04,month,19,11,8,0.5789,0.523112,0.532398,6.796,6.7056,6.0064,4.2275,3.7619,2.3476,1.8307,0.0,6.3784,2021-04-01,2021-04-30
2021-05,month,8,4,4,0.5,0.515439,0.483712,7.8346,7.7261,7.6887,4.3842,5.3008,3.0503,2.023,0.0,7.6332,2021-05-05,2021-05-27
2021-06,month,21,9,12,0.4286,0.497594,0.474889,8.4898,8.3819,8.3088,5.588,5.1981,4.0005,3.3842,0.0,8.7789,2021-06-03,2021-06-29
2021-07,month,12,11,1,0.9167,0.615444,0.641177,7.2297,7.0892,7.0522,3.7399,5.0154,2.4467,1.4258,0.0,7.495,2021-07-06,2021-07-26
2021-08,month,13,12,1,0.9231,0.590186,0.629397,7.3235,7.2018,6.7043,4.3908,4.5997,2.8628,1.8016,0.0,7.4372,2021-08-06,2021-08-31
2021-09,month,18,13,5,0.7222,0.580058,0.634405,6.8241,6.7364,6.3063,4.1555,3.9227,2.6813,2.0097,0.0,6.7997,2021-09-01,2021-09-28
2021-10,month,12,12,0,1.0,0.668108,0.668795,8.8807,8.631,8.5533,5.8405,6.5619,4.9559,3.4611,0.0,8.6257,2021-10-04,2021-10-29
2021-11,month,9,6,3,0.6667,0.512784,0.549521,7.6283,7.4722,7.4126,4.5304,5.124,3.0487,2.1952,0.0,7.3834,2021-11-01,2021-11-24
2021-12,month,4,4,0,1.0,0.665512,0.70478,8.2468,8.1309,8.1023,4.4871,5.7277,3.3688,2.2729,0.0,8.2378,2021-12-02,2021-12-16
2022-01,month,17,12,5,0.7059,0.61179,0.633288,7.4096,7.2829,7.2331,4.165,4.669,3.1233,2.4922,0.0,7.7562,2022-01-10,2022-01-27
2022-02,month,7,7,0,1.0,0.624591,0.620566,8.142,7.9804,7.9343,4.7666,5.9217,3.6148,2.6168,0.0,8.1702,2022-02-01,2022-02-28
2022-03,month,18,9,9,0.5,0.48991,0.50749,6.3881,6.272,5.3689,3.9977,3.5145,2.3397,1.7976,0.0,6.5404,2022-03-01,2022-03-31
