model_id,vectorizer_type,ngram_range,max_features,min_df,classifier,oof_pr_auc,oof_roc_auc,oof_precision,oof_recall,oof_f1,n_total,n_aggressive,n_non_aggressive,eval_mode,any_threshold_meets_criteria,best_threshold,best_thr_precision,best_thr_recall,best_thr_f1,best_thr_coverage,threshold_basis,repeated_cv_roc_auc_mean,repeated_cv_roc_auc_std,repeated_cv_pr_auc_mean,repeated_cv_pr_auc_std,repeated_cv_precision_mean,repeated_cv_recall_mean,repeated_cv_f1_mean,repeated_cv_n_splits,repeated_cv_n_repeats,elapsed_s,status,note,firm_held_out_precision,firm_held_out_recall,firm_held_out_f1,firm_held_out_n_firms
word_12_5k__lr_liblin_bal,word,"(1,2)",5000,1,lr_liblin_bal,0.1811,0.7541,0.3846,0.1136,0.1754,648,44,604,oof_stratified_5fold_cv,no,none,n/a,n/a,n/a,n/a,oof_5fold_cv (NOT in-sample),0.7507,0.0657,0.2489,0.0825,0.3693,0.0961,0.1452,5,5,6.07,OK,,,,,
word_12_5k__lr_liblin_C01,word,"(1,2)",5000,1,lr_liblin_C01,0.183,0.7583,0.25,0.1136,0.1562,648,44,604,oof_stratified_5fold_cv,no,none,n/a,n/a,n/a,n/a,oof_5fold_cv (NOT in-sample),0.7569,0.0653,0.2489,0.0797,0.2662,0.1189,0.1602,5,5,5.85,OK,,,,,
word_12_5k__lr_liblin_C5,word,"(1,2)",5000,1,lr_liblin_C5,0.1768,0.7475,0.4,0.0909,0.1481,648,44,604,oof_stratified_5fold_cv,no,none,n/a,n/a,n/a,n/a,oof_5fold_cv (NOT in-sample),0.7437,0.066,0.2426,0.0806,0.3313,0.0733,0.1143,5,5,6.01,OK,,,,,
word_12_5k__svc_cal_bal,word,"(1,2)",5000,1,svc_cal_bal,0.1693,0.7213,0.3333,0.0227,0.0426,648,44,604,oof_stratified_5fold_cv,no,none,n/a,n/a,n/a,n/a,oof_5fold_cv (NOT in-sample),0.7381,0.0681,0.2474,0.0815,0.18,0.0233,0.0409,5,5,8.87,OK,,,,,
word_12_5k__sgd_log_bal,word,"(1,2)",5000,1,sgd_log_bal,0.1795,0.7517,0.4167,0.1136,0.1786,648,44,604,oof_stratified_5fold_cv,no,none,n/a,n/a,n/a,n/a,oof_5fold_cv (NOT in-sample),0.748,0.0687,0.2443,0.0805,0.3407,0.0822,0.1265,5,5,5.19,OK,,,,,
word_12_5k__cnb,word,"(1,2)",5000,1,cnb,0.1982,0.7799,0.3,0.1364,0.1875,648,44,604,oof_stratified_5fold_cv,no,none,n/a,n/a,n/a,n/a,oof_5fold_cv (NOT in-sample),0.7705,0.0692,0.259,0.0993,0.2882,0.1556,0.1946,5,5,4.66,OK,,,,,
word_12_10k__lr_liblin_bal,word,"(1,2)",10000,1,lr_liblin_bal,0.1884,0.7559,0.3333,0.0455,0.08,648,44,604,oof_stratified_5fold_cv,no,none,n/a,n/a,n/a,n/a,oof_5fold_cv (NOT in-sample),0.7581,0.0648,0.2506,0.0743,0.3233,0.0506,0.0849,5,5,7.28,OK,,,,,
word_12_10k__lr_liblin_C01,word,"(1,2)",10000,1,lr_liblin_C01,0.1856,0.7589,0.375,0.0682,0.1154,648,44,604,oof_stratified_5fold_cv,no,none,n/a,n/a,n/a,n/a,oof_5fold_cv (NOT in-sample),0.7615,0.065,0.252,0.075,0.29,0.06,0.0953,5,5,8.16,OK,,,,,
word_12_10k__lr_liblin_C5,word,"(1,2)",10000,1,lr_liblin_C5,0.1835,0.7525,0.3333,0.0227,0.0426,648,44,604,oof_stratified_5fold_cv,no,none,n/a,n/a,n/a,n/a,oof_5fold_cv (NOT in-sample),0.7531,0.0638,0.2465,0.0715,0.2933,0.0411,0.071,5,5,7.09,OK,,,,,
word_12_10k__svc_cal_bal,word,"(1,2)",10000,1,svc_cal_bal,0.1773,0.7341,0.25,0.0227,0.0417,648,44,604,oof_stratified_5fold_cv,no,none,n/a,n/a,n/a,n/a,oof_5fold_cv (NOT in-sample),0.7484,0.0631,0.2548,0.0774,0.2533,0.0411,0.0694,5,5,9.06,OK,,,,,
