model_id,eval_mode,oof_auc_ref,company_name,n_posts,n_humor_actual,f1,precision,recall
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,MEAN_ACROSS_FIRMS,1482,648,0.477,0.4998,0.5024
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,AT&T,24,15,0.7429,0.65,0.8667
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,AbbVie,20,0,0.0,0.0,0.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Albertsons,23,14,0.7879,0.6842,0.9286
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Allstate,9,5,0.6667,0.5714,0.8
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Alphabet,13,2,0.4444,0.2857,1.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Amazon,30,12,0.6897,0.5882,0.8333
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,American Airlines Group,7,6,0.8,1.0,0.6667
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,American Express,14,6,0.8,0.6667,1.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Archer Daniels Midland,20,7,0.5,0.6,0.4286
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Bank of America,23,11,0.64,0.5714,0.7273
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Boeing,14,5,0.5714,1.0,0.4
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Bristol-Myers Squibb,15,2,0.0,0.0,0.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Broadcom,2,1,0.0,0.0,0.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,CVS Health,6,1,0.0,0.0,0.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Capital One Financial,8,2,0.4444,0.2857,1.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Cardinal Health,5,1,0.0,0.0,0.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Caterpillar,14,6,0.9231,0.8571,1.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Cencora,10,2,0.0,0.0,0.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Centene,11,2,0.0,0.0,0.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Charter Communications,6,2,1.0,1.0,1.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Chevron,17,3,0.2857,0.25,0.3333
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Cigna Group,13,4,0.4,1.0,0.25
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Cisco Systems,17,7,0.5455,0.75,0.4286
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Citigroup,5,3,0.4,0.5,0.3333
