model_id,vectorizer_type,ngram_range,max_features,min_df,sublinear_tf,classifier,oof_auc,oof_pr_auc,oof_f1,oof_precision,oof_recall,oof_accuracy,n_labeled,humor_count,non_humor_count,eval_mode,meets_provisional_auc,improves_over_baseline_auc,baseline_auc_ref,elapsed_s,status,note,firm_held_out_f1,firm_held_out_n_firms
word_12_5k__lr_liblin_bal,word,"(1,2)",5000,2,True,lr_liblin_bal,0.7667,0.6938,0.6571,0.6463,0.6682,0.695,1482,648,834,oof_stratified_5fold_cv,yes,no,0.7674,1.67,OK,,,
word_12_5k__lr_lbfgs_bal,word,"(1,2)",5000,2,True,lr_lbfgs_bal,0.7667,0.6938,0.6555,0.6448,0.6667,0.6937,1482,648,834,oof_stratified_5fold_cv,yes,no,0.7674,2.03,OK,,,
word_12_5k__lr_liblin_C01,word,"(1,2)",5000,2,True,lr_liblin_C01,0.7641,0.6876,0.6621,0.6475,0.6775,0.6977,1482,648,834,oof_stratified_5fold_cv,yes,no,0.7674,1.75,OK,,,
word_12_5k__lr_liblin_C10,word,"(1,2)",5000,2,True,lr_liblin_C10,0.7494,0.6723,0.6321,0.6331,0.6312,0.6788,1482,648,834,oof_stratified_5fold_cv,no,no,0.7674,1.67,OK,,,
word_12_5k__svc_cal_bal,word,"(1,2)",5000,2,True,svc_cal_bal,0.7549,0.6801,0.6063,0.6717,0.5525,0.6862,1482,648,834,oof_stratified_5fold_cv,yes,no,0.7674,2.42,OK,,,
word_12_5k__cnb,word,"(1,2)",5000,2,True,cnb,0.7571,0.6757,0.6676,0.6376,0.7006,0.695,1482,648,834,oof_stratified_5fold_cv,yes,no,0.7674,1.74,OK,,,
word_12_5k__sgd_log,word,"(1,2)",5000,2,True,sgd_log,0.7486,0.6719,0.6354,0.6334,0.6373,0.6802,1482,648,834,oof_stratified_5fold_cv,no,no,0.7674,1.67,OK,,,
word_12_10k__lr_liblin_bal,word,"(1,2)",10000,2,True,lr_liblin_bal,0.7684,0.6949,0.6601,0.6521,0.6682,0.6991,1482,648,834,oof_stratified_5fold_cv,yes,yes,0.7674,1.76,OK,,,
word_12_10k__lr_lbfgs_bal,word,"(1,2)",10000,2,True,lr_lbfgs_bal,0.7683,0.6951,0.6565,0.6481,0.6651,0.6957,1482,648,834,oof_stratified_5fold_cv,yes,yes,0.7674,2.16,OK,,,
word_12_10k__lr_liblin_C01,word,"(1,2)",10000,2,True,lr_liblin_C01,0.7649,0.6876,0.6626,0.6484,0.6775,0.6984,1482,648,834,oof_stratified_5fold_cv,yes,no,0.7674,1.54,OK,,,
word_12_10k__lr_liblin_C10,word,"(1,2)",10000,2,True,lr_liblin_C10,0.7531,0.6754,0.6345,0.6395,0.6296,0.6829,1482,648,834,oof_stratified_5fold_cv,yes,no,0.7674,2.12,OK,,,
word_12_10k__svc_cal_bal,word,"(1,2)",10000,2,True,svc_cal_bal,0.7584,0.6829,0.6134,0.6824,0.5571,0.693,1482,648,834,oof_stratified_5fold_cv,yes,no,0.7674,2.59,OK,,,
word_12_10k__cnb,word,"(1,2)",10000,2,True,cnb,0.7585,0.6756,0.6696,0.6399,0.7022,0.697,1482,648,834,oof_stratified_5fold_cv,yes,no,0.7674,1.97,OK,,,
word_12_10k__sgd_log,word,"(1,2)",10000,2,True,sgd_log,0.7524,0.6756,0.6376,0.6441,0.6312,0.6862,1482,648,834,oof_stratified_5fold_cv,yes,no,0.7674,1.86,OK,,,
word_13_5k__lr_liblin_bal,word,"(1,3)",5000,2,True,lr_liblin_bal,0.7672,0.6946,0.6565,0.651,0.662,0.697,1482,648,834,oof_stratified_5fold_cv,yes,no,0.7674,3.37,OK,,,
word_13_5k__lr_lbfgs_bal,word,"(1,3)",5000,2,True,lr_lbfgs_bal,0.7673,0.695,0.6565,0.651,0.662,0.697,1482,648,834,oof_stratified_5fold_cv,yes,no,0.7674,3.72,OK,,,
word_13_5k__lr_liblin_C01,word,"(1,3)",5000,2,True,lr_liblin_C01,0.7647,0.6884,0.6606,0.6474,0.6744,0.697,1482,648,834,oof_stratified_5fold_cv,yes,no,0.7674,3.31,OK,,,
