candidate_id,tweet_id,text_hash,human_humor_presence,human_humor_type,dup_flag,dup_detail
B00880,1861088712362258432,58eb0cfe603c,0,,no_dup,
B00413,1566070894598004736,3142fabce66b,1,2,no_dup,
B00800,1679176963074973696,a0968ed91540,0,,no_dup,
B00396,1299090074013966336,d4bd9958f5a3,0,,no_dup,
B00857,1985376634526970112,2430434729b1,1,3,no_dup,
B00817,1379465944687374336,b84f802af5a4,0,,no_dup,
B01437,1321844240490491904,1cf7d50f56b4,0,,no_dup,
B01322,1998536971346690048,5448e151c56c,0,,no_dup,
B01211,1636546122515726336,b90e1386a6d6,1,2,no_dup,
B01468,1633097671186472960,db75b1d2c339,0,,no_dup,
B01096,1801258118678012416,84a6eb75cee9,0,,no_dup,
B00494,1584195204176748544,7afc754a70c4,0,,no_dup,
B00925,1732888968205566464,2e173444d1bf,0,,no_dup,
B00566,1760064734571663360,98a7e15cce62,0,,no_dup,
B01320,1811417262139818240,ac9f7635897f,0,,no_dup,
B01150,1416040606049214464,af39889ded01,0,,no_dup,
B01052,2062913216381067520,ec56051da36d,0,,no_dup,
B00524,1988369840457875712,17e7a5bab4cb,0,,no_dup,
B00521,2013660581153116416,b39d85d5e6de,0,,no_dup,
B00634,1388120202752237568,1b34c18d2c29,0,,no_dup,
B00975,1937903617056371200,ea6884d0e6d9,0,,no_dup,
B00816,1584319296007639040,2fe6f88585d6,1,2,no_dup,
B00111,1528390437743931392,3f28c6ed60f2,1,3,no_dup,
B00592,1833884714060353792,883dccdb0c77,1,3,no_dup,
B01078,799014322328469504,ab1f4c28241a,0,,no_dup,
B00645,1995737439499883008,40bd146a181b,0,,no_dup,
B00209,1559247127934558208,e30702c01ff0,0,,no_dup,
B00834,1533848249655873536,f23a486e2b8b,0,,no_dup,
B01013,772496067761954816,514599ca2065,0,,no_dup,
B00530,1898433975758282752,d0c807e82e5b,0,,no_dup,
B00546,1436814676478861312,e91668d371d7,0,,no_dup,
B01357,2040166045877772288,6b3adfe962aa,1,2,no_dup,
B00356,1615432619751006208,5ce40e7a674e,0,,no_dup,
B01299,1668304475780685824,268b896b64ce,0,,no_dup,
B00887,1747302777057939712,4802ab72156b,0,,no_dup,
B01399,1960793379895218688,a8d766fe0041,0,,no_dup,
B00911,2029980330426286336,49e5e2e01a13,0,,no_dup,
B01401,2049960906638188544,789454d0e91e,1,3,no_dup,
B01316,2008611607602229504,85b0ef1bd112,0,,no_dup,
B01031,1553085529826234368,46c7c9dc5d48,0,,no_dup,
B01079,1973076850642432256,1f7414d0300c,0,,no_dup,
B01469,1874470637810438656,79a8b6e87ea5,1,2,no_dup,
B00225,1511765684899831808,1a0f783e6a16,0,,no_dup,
B00579,1875572931520053504,746c63024bfa,0,,no_dup,
B00919,1993034780196106752,3bd102dc6a5b,0,,no_dup,
B00738,1786477540204302592,028ce44a3e0f,0,,no_dup,
B01166,1885041073317150976,10d539088b7a,0,,no_dup,
B00853,1967362728353317376,f0100cd33abb,1,4,no_dup,
B00254,1801298493228663040,730c67191554,0,,no_dup,
B01354,2057974621530677504,d7ce598d3896,1,3,no_dup,
B00091,1978480727453745408,5ce3b607002b,0,,no_dup,
B00724,2042183941793174016,4a8ad5411f51,0,,no_dup,
B00167,1887199511757361152,ea09ac4f92c6,1,2,no_dup,
B01312,1401901759774171136,c78f2e4a0f19,0,,no_dup,
B00556,1983594683587523072,778e9a2f54b0,0,,no_dup,
B00620,2065464660736815360,7c7db2ea444e,0,,no_dup,
B01133,1573790812722278400,93eea77f81d1,0,,no_dup,
B01325,1538903414490517504,202d4d22c5d4,0,,no_dup,
B01115,1453324030556229632,fd76f9e8dbd3,0,,no_dup,
B00629,1521547636830093312,955966c8070c,0,,no_dup,
B00923,1912129032436515328,bbe79da50ee5,0,,no_dup,
B01159,1966162058489008384,d5366762d88e,0,,no_dup,
B00053,1692174735759786240,50a2501c24fe,0,,no_dup,
B00612,2042334293603561728,9c02b6737021,0,,no_dup,
B00518,1583442989405601792,1cbda3f62efd,1,2,no_dup,
B00555,1680357890006339584,e3708de2c2a9,0,,no_dup,
B00875,1592548032788176896,9255b512f304,1,3,no_dup,
B01106,1848764805571580416,30722e23e8cc,0,,no_dup,
B01153,1960378711703683584,adcaac5ec043,0,,no_dup,
B00022,2034663505245163776,ec562f8d91e7,0,,no_dup,
B00059,2041516653989466368,cea40db4acd2,1,2,no_dup,
B01164,2057276768214770176,d48f43226312,0,,no_dup,
B00898,1436755390260301824,e290ef606f65,0,,no_dup,
B00048,788480774681026560,d5ec88b37ed0,0,,no_dup,
B00872,728227347833434112,5238534f6fa1,0,,no_dup,
B00580,1553757499194589184,f4c2d599ef26,0,,no_dup,
B01231,1663643947019771904,e7311a51cca8,0,,no_dup,
B00657,856926554886164480,3aaa2f41839d,0,,no_dup,
B00732,2062207400262971392,ee8bb17c17c2,2,,no_dup,
B00046,1704265311606788096,b07e2f59e6d6,0,,no_dup,
B01044,1605578909982101504,e5c56964675a,0,,no_dup,
B00882,1552322939802079232,7d90413117ea,0,,no_dup,
B00211,1851641260181778688,7b7f45aaae62,0,,no_dup,
B00415,1512143742429536256,1b0175ccb9ad,0,,no_dup,
B01252,1913044891246203136,4805152f1295,0,,no_dup,
B01396,1110185613624573952,2dbdd3c1fade,1,3,no_dup,
B01485,1871586635407659264,a9c8933d72d4,1,4,no_dup,
B00234,2044087072546275584,4e0fb728b144,0,,no_dup,
B01138,2053181971644416000,88c42d94ffaf,0,,no_dup,
B01072,1981351961455739136,59d2a744869d,1,2,no_dup,
B01099,1511022208222744576,46eb727839a8,0,,no_dup,
B00265,2016900146739503616,25bcb5ad9347,0,,no_dup,
B01406,1950631966841414144,98e584e534e4,1,3,no_dup,
B00802,1894026263884345344,859558652f39,0,,no_dup,
B00210,2019497596260139264,2d2da1378071,1,3,no_dup,
B00750,1247882846649249792,286048c579d2,0,,no_dup,
B00642,1722799393747735040,9c2e45f3314b,1,2,no_dup,
B00496,730371936207945728,3028de6d08ae,0,,no_dup,
B00023,1590325833989648384,ed61ad7ffa13,0,,no_dup,
B01017,1355531273176043520,4a1b175ed5e3,0,,no_dup,
B01264,2037318913973977344,81282a3a15fd,1,1,no_dup,
B00808,1333426650948792320,000798445469,0,,no_dup,
B01074,1417985268104192000,32016b8ebc3b,0,,no_dup,
B01030,1602309998918471680,ba13435aab4b,0,,no_dup,
B00515,1777411086829908224,0026fffb16a2,1,3,no_dup,
B00041,1664681793079869440,d934fef302b6,1,3,no_dup,
B01156,1590796439805956096,76e82618cdf9,0,,no_dup,
B00215,1841532190666195456,43548fb1ec0a,0,,no_dup,
B00946,2028870058542559744,2a189c99c30e,1,3,no_dup,
B00159,1600929350102257664,5e4001fff931,0,,no_dup,
B00909,1764553703149682944,9a444f2e0d7d,0,,no_dup,
B00155,2016134145655631872,433df2e85f75,0,,no_dup,
B00231,795761639551303680,025486086f44,0,,no_dup,
B01217,2028555753926402048,d1340a678b06,0,,no_dup,
B00067,2013676972245725440,c1d6328f238b,0,,no_dup,
B00902,1691953746996068864,7be3d3b4cc02,1,2,no_dup,
B01330,1821623658877685760,f29d9683e66f,0,,no_dup,
B01071,802314051002871808,cfb71f337d7b,0,,no_dup,
B01390,1498704445688975360,b117f0db1cdf,0,,no_dup,
B00994,2007110469643890688,f23dd4696c17,0,,no_dup,
B00895,1463899271330250752,d62109feb647,1,2,no_dup,
B01249,1428346025991942144,569e72b7213d,0,,no_dup,
