후보_ID,표본_층화,Fortune_순위,회사명,X_계정,트윗_ID,트윗_URL,작성일시,본문,유머_존재여부,유머_유형,배정_코더,검토_상태,총_인게이지먼트,로그_총_인게이지먼트,웬디스_유머_존재여부,웬디스_유머_점수,웬디스_유머_유형,웬디스_유형_점수,풀체인_유머_존재여부,풀체인_유머_유형,분류기_불일치,불확실성_점수
B00958,humor_presence_uncertain_b2,29,Phillips 66,@Phillips66co,1552685369577046017,https://x.com/Phillips66co/status/1552685369577046017,Thu Jul 28 16:00:14 +0000 2022,"Join us tomorrow at 12pm EDT for our $PSX second-quarter earnings call with President and CEO Mark Lashier. 

🗓️ add to your calendar here: https://t.co/bx5atw17on https://t.co/wbTozjLZZk",0,,coder1,labeled,6,1.945910149055,0,0.496847,non_humorous,0.000000,non_humor,not_applicable,0,0.993694
B00403,type_uncertain_b2,83,Cisco Systems,@Cisco,2036554961870299514,https://x.com/Cisco/status/2036554961870299514,Tue Mar 24 21:25:14 +0000 2026,"The agentic era is officially here, but let’s be real: most SOCs are still drowning in alert overload.

This week at #RSAC, we’re showcasing how to move from reactive defense to proactive, AI-driven prevention. It’s time to stop chasing alerts and start empowering agents. 🤖🛡 https://t.co/6rTZRmu2Qm",0,,coder1,labeled,9,2.302585092994,1,0.685113,affiliative,0.412362,humor,self_enhancing,0,0.629774
B01412,random_fortune_sample_b2,36,Goldman Sachs Group,@GoldmanSachs,1702645973380432340,https://x.com/GoldmanSachs/status/1702645973380432340,Fri Sep 15 11:30:08 +0000 2023,Goldman Sachs is preparing to offer wealthy clients more access to a unique investment: the chance to own a piece of a private sports team https://t.co/S6eRztjRsz,0,,coder1,labeled,131,4.882801922586,0,0.457468,non_humorous,0.000000,ambiguous,ambiguous_or_review,0,0.914936
B00517,high_engagement_posts_b2,11,Microsoft,@microsoft,1892246707578036541,https://x.com/microsoft/status/1892246707578036541,Wed Feb 19 16:15:45 +0000 2025,"RT @satyanadella: A couple reflections on the quantum computing breakthrough we just announced...

Most of us grew up learning there are th…",0,,coder1,labeled,18351,9.817493839369,1,0.542596,affiliative,0.300663,ambiguous,ambiguous_or_review,0,0.914808
B00258,wendys_transfer_aggressive_b2,89,Enterprise Products Partners,@EProd_Careers,1681063117772709888,https://x.com/EProd_Careers/status/1681063117772709888,Mon Jul 17 22:07:34 +0000 2023,Discover exciting and rewarding ways to apply your talents at Enterprise Products. Click here to find out more! https://t.co/djde39f9bS #MarineServices,0,,coder1,labeled,0,0.0,1,0.506815,aggressive,0.356418,non_humor,not_applicable,1,0.986370
B00003,low_engagement_posts_b2,87,Tyson Foods,@tysonfoods,1195024780031864833,https://x.com/tysonfoods/status/1195024780031864833,Thu Nov 14 17:04:44 +0000 2019,"RT @GrowingReturns: Learn how @TysonFoods is using cloud-based insights that benefit the environment, farm finances and the company's land…",0,,coder1,labeled,1,0.69314718056,0,0.428701,non_humorous,0.000000,non_humor,not_applicable,0,0.857402
B00627,random_fortune_sample_b2,97,Bristol-Myers Squibb,@bmsnews,1659197253293322242,https://x.com/bmsnews/status/1659197253293322242,Thu May 18 14:00:26 +0000 2023,"A huge congrats to @BMSNews who received the @EngageForGood Silver Halo Award for our Coast 2 Coast 4 Cancer partnership. Grateful to make a difference together!
#CSR #socialimpact #EFG2023 #C2C4C23  
🏆 https://t.co/hMISa8th6M https://t.co/KLrNp96OpI",0,,coder1,labeled,6,1.945910149055,0,0.320512,non_humorous,0.000000,ambiguous,ambiguous_or_review,0,0.641024
B01462,wendys_transfer_aggressive_b2,34,Humana,@humana,1592958806807678976,https://x.com/humana/status/1592958806807678976,Wed Nov 16 19:12:29 +0000 2022,"Learn more about the way the care teams at CenterWell Senior Primary Care provide a new level of access to quality, comprehensive whole-person care that helps seniors achieve their best possible health → https://t.co/EMn2zUMEDg",0,,coder1,labeled,2,1.098612288668,1,0.611092,aggressive,0.434865,non_humor,not_applicable,1,0.777816
B01332,wendys_transfer_aggressive_b2,94,TIAA,@tiaa,1633564913833484294,https://x.com/tiaa/status/1633564913833484294,Wed Mar 08 20:26:40 +0000 2023,"Congratulations to the @MyTUAthletics Golden Tigers on their victory in the 2023 TIAA SIAC Women’s Basketball Tournament. #SIACWBB

TIAA is proud to be the Title Sponsor of the SIAC Basketball Tournament.",1,2,coder1,labeled,8,2.197224577336,1,0.626913,aggressive,0.312663,ambiguous,ambiguous_or_review,0,0.746174
B01317,classifier_disagreement_b2,9,Exxon Mobil,@exxonmobil,1463546688661069835,https://x.com/exxonmobil/status/1463546688661069835,Wed Nov 24 16:34:56 +0000 2021,"The WHO’s approval of the first-ever malaria vaccine is the result of years of hard work by many, including @XOMFoundation’s longtime partners at PATH's @MalariaVaccine Initiative. Congratulations to all involved on this historical breakthrough #EndMalaria https://t.co/Rll0Ky6wXh https://t.co/zDTXR726hK",1,2,coder1,labeled,27,3.332204510175,1,0.513097,aggressive,0.348424,non_humor,not_applicable,1,0.973806
B00608,type_uncertain_b2,41,Dell Technologies,@Dell,1970551491623612646,https://x.com/Dell/status/1970551491623612646,Tue Sep 23 18:11:01 +0000 2025,"Unfortunately, we also love to wait until the last minute to complete a task. Which of these are you guilty of? https://t.co/k9Ct7h13KI",1,4,coder1,labeled,37,3.637586159726,1,0.560452,affiliative,0.448929,ambiguous,ambiguous_or_review,0,0.879096
B00072,random_fortune_sample_b2,11,Microsoft,@microsoft,1858914591872315869,https://x.com/microsoft/status/1858914591872315869,Tue Nov 19 16:45:50 +0000 2024,"Be unstoppable with #AzureAIFoundry—a new unified platform that brings everything together for businesses who are building, managing and scaling exceptional AI applications. Learn more: https://t.co/Px1M8C4PJu #MSIgnite https://t.co/LMnHTp9Ui5",1,3,coder1,labeled,237,5.472270673671,0,0.389421,non_humorous,0.000000,non_humor,not_applicable,0,0.778842
B01127,wendys_transfer_aggressive_b2,68,Merck,@merck,1408409644721115140,https://x.com/merck/status/1408409644721115140,Fri Jun 25 13:00:00 +0000 2021,"With his family’s support, the changes Barry made to continue managing his #type2diabetes during the pandemic showed him that he can be nimble + adjust to successfully manage his condition. Learn more.",1,2,coder1,labeled,12,2.564949357462,1,0.640919,aggressive,0.424223,non_humor,not_applicable,1,0.718162
B00141,high_engagement_posts_b2,81,United Airlines Holdings,@united,2014083835504238980,https://x.com/united/status/2014083835504238980,Wed Jan 21 21:13:00 +0000 2026,"Aurora 🤝 AvGeek aura
This week's epic solar storm was worth waiting more than 20 years to witness. 💫

 📸: Siggi Magg at Keflavík Airport, Iceland https://t.co/KZDV7hc5Tr",1,2,coder1,labeled,3061,8.026823576218,1,0.541956,affiliative,0.295627,ambiguous,ambiguous_or_review,0,0.916088
B00257,humor_presence_uncertain_b2,81,United Airlines Holdings,@united,1961481567638811033,https://x.com/united/status/1961481567638811033,Fri Aug 29 17:30:22 +0000 2025,"Whether your next flight is tomorrow, next week or next year—it's not too soon to start counting down! Here's how to get a personalized trip countdown on your iPhone. Download the latest version of the United app to get it: https://t.co/8mNOJxAJRX https://t.co/xqeaaDP7sg",1,1,coder1,labeled,251,5.529429087511,1,0.630996,affiliative,0.343399,ambiguous,ambiguous_or_review,0,0.738008
B00200,humor_presence_uncertain_b2,67,Eli Lilly,@EliLillyandCo,1329900846012837888,https://x.com/EliLillyandCo/status/1329900846012837888,Fri Nov 20 21:34:04 +0000 2020,"New today: @GovCanHealth has granted interim authorization for the use of one of Lilly's neutralizing antibodies in Canada, as a treatment for mild to moderate #COVID19 in high-risk patients. Learn more: https://t.co/COpWOVjyAy https://t.co/jkzqiDFq75",0,,coder1,labeled,28,3.367295829986,0,0.384350,non_humorous,0.000000,ambiguous,ambiguous_or_review,0,0.768700
B00892,low_engagement_posts_b2,90,Ingram Micro Holding,@IngramMicroInc,1985381629234414061,https://x.com/IngramMicroInc/status/1985381629234414061,Mon Nov 03 16:20:41 +0000 2025,"Jim Annes, Ingram Micro Senior Vice President of Global Platform Operations talks driving growth in a platform ecosystem with genetic AI with Daniel Newman, CEO of The Futurum Group
#ONE2025 #IngramMicroONE #IngramMicro https://t.co/1UCBiYEBHi",0,,coder1,labeled,1,0.69314718056,0,0.398517,non_humorous,0.000000,non_humor,not_applicable,0,0.797034
B01240,wendys_transfer_aggressive_b2,62,New York Life Insurance,@NewYorkLife,1447632752153608197,https://x.com/NewYorkLife/status/1447632752153608197,Mon Oct 11 18:38:38 +0000 2021,The Hero Art Project was created to help the public learn more about the courageous and selfless frontline healthcare workers who lost their lives while fighting #COVID19. Learn more about the exhibit here. #BraveofHeartFund,1,2,coder1,labeled,8,2.197224577336,1,0.669513,aggressive,0.317405,non_humor,not_applicable,1,0.660974
B01383,random_fortune_sample_b2,24,Citigroup,@Citi,1778766535466594648,https://x.com/Citi/status/1778766535466594648,Fri Apr 12 12:46:04 +0000 2024,"Citi CEO Jane Fraser discusses first quarter 2024 earnings. 
                                                                                                        
Read the full report: https://t.co/NosXtpFlwk https://t.co/rYBhEJsI9e",0,,coder1,labeled,27,3.332204510175,0,0.248000,non_humorous,0.000000,non_humor,not_applicable,0,0.496000
B01402,random_fortune_sample_b2,1,Amazon,@amazon,1806327189320908944,https://x.com/amazon/status/1806327189320908944,Thu Jun 27 14:02:16 +0000 2024,"No console, no problem 🔥

Xbox Gaming is coming to select @amazonfiretv sticks, where you’ll be able to play games directly from the Xbox app: https://t.co/VhJRcGpNuS",1,3,coder1,labeled,9241,9.13151359143,0,0.457893,non_humorous,0.000000,ambiguous,ambiguous_or_review,0,0.915786
B00065,random_fortune_sample_b2,69,Nationwide,@nationwide,1584295622324420608,https://x.com/nationwide/status/1584295622324420608,Sun Oct 23 21:28:05 +0000 2022,Good things happen when you aim for the Nationwide logo 👊,1,2,coder1,labeled,6,1.945910149055,1,0.610246,affiliative,0.363167,ambiguous,ambiguous_or_review,0,0.779508
B00578,humor_presence_uncertain_b2,1,Amazon,@amazon,1704522835761217866,https://x.com/amazon/status/1704522835761217866,Wed Sep 20 15:48:07 +0000 2023,"@alexa99 @Marvel @Disney Ever think to yourself “Hmm, what to watch tonight?” We usually call our buds for recs, but now we can ask, @alexa99 too. Alexa knows you and your preferences and happens to be the best video store clerk in history, making suggestions based on your interests.📼 #Throwback https://t.co/OKEF5vkWwW",1,2,coder1,labeled,29,3.401197381662,1,0.624590,affiliative,0.575583,humor,self_enhancing,0,0.750820
B00475,random_fortune_sample_b2,60,HCA Healthcare,@hcahealthcare,2061462781656744131,https://x.com/hcahealthcare/status/2061462781656744131,Mon Jun 01 15:00:01 +0000 2026,"🏈At 24, Derrel Kelley was in Florida training for the #NFL Combine when his life changed. After a #stroke, his care team at HCA Florida Northside Hospital found blood clots in both lungs, some traveling to his brain. Learn about his life-saving care: https://t.co/xUUXgiDCVw. https://t.co/E6Dw8hFbpO",0,,coder1,labeled,4,1.609437912434,1,0.567816,aggressive,0.322088,ambiguous,ambiguous_or_review,0,0.864368
B01010,random_fortune_sample_b2,12,JPMorgan Chase,@jpmorgan,1722559655916835255,https://x.com/jpmorgan/status/1722559655916835255,Thu Nov 09 10:20:00 +0000 2023,"JPMorgan Chase has been serving clients in France for more than 150 years, and as our presence in the country grows, we also continue to invest in local communities. Learn more about our new business and philanthropic investments across France.",0,,coder1,labeled,165,5.111987788357,1,0.593515,affiliative,0.308727,ambiguous,ambiguous_or_review,0,0.812970
B00375,humor_presence_uncertain_b2,33,Freddie Mac,@FreddieMac,1965414921308418532,https://x.com/FreddieMac/status/1965414921308418532,Tue Sep 09 14:00:07 +0000 2025,"We've committed over $5 billion in LIHTC equity funding since 2018, allowing us to build and maintain over 33,000 affordable rental units. With the recent LIHTC cap increase of $2 billion, see how we're expecting to make a greater impact on the supply gap. https://t.co/kCfrwlswEh https://t.co/r6q0kZM7FM",0,,coder1,labeled,7,2.07944154168,0,0.360620,non_humorous,0.000000,humor,self_enhancing,1,0.721240
B00285,type_uncertain_b2,52,Lowe's,@lowes,1358582756511514625,https://x.com/lowes/status/1358582756511514625,Mon Feb 08 01:05:45 +0000 2021,"Fun fact: Ka'imi Fairbairn's full name is 56 letters long. While we're not quite there yet with #HomeforaHome, our count is up to 7! 

Upgrade your own home stadium with this DIY ice chest table straight from Ka'imi's #LowesHomeTeam playbook: https://t.co/TTsaEd1vzy https://t.co/D6f9MGya7t",1,1,coder1,labeled,71,4.276666119016,1,0.520150,affiliative,0.343986,ambiguous,ambiguous_or_review,0,0.959700
