company_name,period,post_count,humor_post_count,aggressive_humor_post_count,aggressive_humor_usage_intensity,aggressive_humor_usage_intensity_sq,mean_log_total_engagement,mean_total_engagement,median_total_engagement,mean_text_length,mean_hashtag_count,mean_mention_count,h3_sample_inclusion_flag
Amazon,2026-04,41,10,0,0.0,0.0,5.241342,333.731707,220.0,241.4146,0.122,0.8049,1
Amazon,2024-04,4,2,0,0.0,0.0,5.486905,321.75,355.0,151.5,0.0,0.25,1
Amazon,2024-08,7,4,0,0.0,0.0,6.418112,3195.857143,287.0,337.7143,0.1429,0.4286,1
Amazon,2025-08,12,2,0,0.0,0.0,5.885211,630.333333,269.5,170.9167,0.1667,1.0833,1
Amazon,2023-12,22,21,0,0.0,0.0,5.265541,201.272727,179.0,129.7727,0.0455,0.4545,1
Amazon,2024-02,13,12,0,0.0,0.0,5.593328,308.923077,276.0,246.2308,0.2308,0.2308,1
Amazon,2025-02,10,5,0,0.0,0.0,6.241398,2309.0,376.0,159.3,0.6,0.4,1
Amazon,2026-02,22,6,0,0.0,0.0,5.27076,4462.954545,95.5,188.1818,0.0909,0.4545,1
Amazon,2024-01,19,17,0,0.0,0.0,5.399368,236.684211,216.0,120.8947,0.0526,0.0526,1
Amazon,2026-01,13,3,0,0.0,0.0,4.428326,282.0,77.0,181.3077,0.1538,0.6154,1
Amazon,2025-01,15,2,0,0.0,0.0,5.296257,1038.266667,170.0,234.1333,0.2667,1.0,1
Amazon,2025-07,18,5,0,0.0,0.0,4.734702,157.222222,110.0,144.5,0.0,0.4444,1
Amazon,2024-07,11,3,0,0.0,0.0,5.595841,1122.363636,191.0,272.6364,0.5455,1.1818,1
Amazon,2025-06,18,5,0,0.0,0.0,5.87348,1717.5,267.0,164.0,0.1667,0.6111,1
Amazon,2026-03,31,11,0,0.0,0.0,4.736444,305.032258,97.0,154.1935,0.0645,0.2903,1
Amazon,2025-03,10,3,0,0.0,0.0,5.102182,183.3,193.0,210.6,0.2,0.6,1
Amazon,2026-05,19,3,0,0.0,0.0,5.431524,1248.473684,149.0,160.2632,0.0526,0.7368,1
Amazon,2025-05,12,4,0,0.0,0.0,4.960542,244.25,98.5,264.4167,0.1667,0.8333,1
Amazon,2024-11,18,10,0,0.0,0.0,5.432442,316.888889,250.0,202.7222,0.2778,0.9444,1
