company_name,source_dataset,source_x_handle,total_posts,mean_humor_probability,humor_rate_t40,humor_rate_t50,humor_rate_t60,n_humor_t50,n_non_humor_t50,missing_text_posts
AT&T,fortune100,@ATT,933,0.52898,0.987138,0.743837,0.069668,694,239,0
AT&T,fortune100_raw_append,@ATT,4,0.510791,1.0,0.75,0.0,3,1,0
AbbVie,fortune100,@abbvie,839,0.403102,0.468415,0.029797,0.0,25,814,0
AbbVie,fortune100_raw_append,@abbvie,2,0.417193,0.5,0.0,0.0,0,2,0
Albertsons,fortune100,@albertsons,765,0.554352,0.993464,0.830065,0.230065,635,130,0
Allstate,fortune100,@allstate,568,0.504059,0.97007,0.53169,0.054577,302,266,0
Alphabet,fortune100,@Alphabetlnc,2,0.552496,1.0,1.0,0.0,2,0,0
Alphabet,fortune100,@google,474,0.486599,0.947257,0.388186,0.010549,184,290,0
Amazon,fortune100,@amazon,1086,0.5002,0.955801,0.495396,0.05709,538,548,0
Amazon,fortune100_raw_append,@amazon,13,0.480946,0.923077,0.615385,0.0,8,5,0
American Airlines Group,fortune100,@AmericanAir,188,0.498972,0.962766,0.457447,0.074468,86,102,0
American Express,fortune100,@americanexpress,831,0.485933,0.906137,0.43562,0.034898,362,469,0
Archer Daniels Midland,fortune100,@ADMupdates,795,0.452549,0.836478,0.178616,0.008805,142,653,0
Bank of America,fortune100,@bankofamerica,838,0.507786,0.937947,0.565632,0.077566,474,364,0
Bank of America,fortune100_raw_append,@bankofamerica,1,0.602255,1.0,1.0,1.0,1,0,0
Boeing,fortune100,@boeing,969,0.460324,0.840041,0.257998,0.008256,250,719,0
Boeing,fortune100_raw_append,@boeing,1,0.424729,1.0,0.0,0.0,0,1,0
Bristol-Myers Squibb,fortune100,@bmsnews,930,0.412607,0.531183,0.05914,0.001075,55,875,0
Bristol-Myers Squibb,fortune100_raw_append,@bmsnews,1,0.452089,1.0,0.0,0.0,0,1,0
Broadcom,fortune100,@broadcom,183,0.428791,0.743169,0.065574,0.005464,12,171,0
Broadcom,fortune100_raw_append,@broadcom,1,0.406035,1.0,0.0,0.0,0,1,0
CVS Health,fortune100,@cvshealth,574,0.422106,0.597561,0.116725,0.008711,67,507,0
Capital One Financial,fortune100,@CapitalOne,628,0.527095,0.990446,0.684713,0.066879,430,198,0
Cardinal Health,fortune100,@cardinalhealth,520,0.429154,0.703846,0.094231,0.0,49,471,0
Caterpillar,fortune100,@CaterpillarInc,891,0.480549,0.881033,0.416386,0.020202,371,520,0
Cencora,fortune100,@CencoraGlobal,479,0.406852,0.498956,0.043841,0.0,21,458,0
Centene,fortune100,@centene,465,0.405277,0.531183,0.017204,0.0,8,457,0
Charter Communications,fortune100,@CharterNewsroom,657,0.434118,0.721461,0.13242,0.009132,87,570,0
Charter Communications,fortune100_raw_append,@CharterNewsroom,7,0.456752,1.0,0.285714,0.0,2,5,0
Chevron,fortune100,@chevron,805,0.437066,0.744099,0.115528,0.003727,93,712,0
Cigna Group,fortune100,@Cigna,527,0.434909,0.688805,0.13852,0.005693,73,454,0
Cigna Group,fortune100,@TheCignaGroup,59,0.392092,0.423729,0.0,0.0,0,59,0
Cisco Systems,fortune100,@Cisco,1007,0.455897,0.851043,0.218471,0.005958,220,787,0
Cisco Systems,fortune100_raw_append,@Cisco,10,0.464808,0.9,0.4,0.0,4,6,0
Citigroup,fortune100,@Citi,400,0.424049,0.655,0.105,0.0,42,358,0
Citigroup,fortune100_raw_append,@Citi,3,0.473342,1.0,0.333333,0.0,1,2,0
