hour_of_day,total_posts,humor_posts_t50,non_humor_posts_t50,humor_rate_t50,mean_humor_probability
0,1237,633,604,0.511722,0.494934
1,927,543,384,0.585761,0.505577
2,553,333,220,0.60217,0.508627
3,413,271,142,0.656174,0.516524
4,271,175,96,0.645756,0.515497
5,228,123,105,0.539474,0.504996
6,154,68,86,0.441558,0.490139
7,183,74,109,0.404372,0.479571
8,216,73,143,0.337963,0.47032
9,274,70,204,0.255474,0.461235
10,592,119,473,0.201014,0.438457
11,1099,198,901,0.180164,0.434079
12,2347,662,1685,0.282062,0.457609
13,5081,1665,3416,0.327691,0.468513
14,7176,2675,4501,0.37277,0.476632
15,7319,2947,4372,0.402651,0.481994
16,7212,2851,4361,0.395313,0.482127
17,6153,2517,3636,0.409069,0.482527
18,5816,2437,3379,0.419017,0.483335
19,5059,1905,3154,0.376557,0.476705
20,4900,1724,3176,0.351837,0.472406
21,3700,1323,2377,0.357568,0.473022
22,2455,915,1540,0.372709,0.476164
23,1880,888,992,0.47234,0.489545
