year,total_posts,humor_posts_t50,non_humor_posts_t50,humor_rate_t50,humor_rate_t40,humor_rate_t60
2015,22,11,11,0.5,0.681818,0.0
2016,1074,362,712,0.337058,0.646182,0.028864
2017,510,227,283,0.445098,0.668627,0.04902
2018,862,690,172,0.800464,0.99768,0.107889
2019,1777,914,863,0.51435,0.95498,0.073157
2020,2710,1090,1620,0.402214,0.881919,0.063469
2021,6917,2568,4349,0.371259,0.836779,0.054648
2022,12334,4368,7966,0.354143,0.849197,0.042322
2023,10653,4131,6522,0.387778,0.851309,0.051159
2024,8762,3491,5271,0.398425,0.838393,0.057065
2025,11662,4339,7323,0.372063,0.847196,0.041931
2026,7962,2998,4964,0.376539,0.870133,0.035293
