row_id,source,original_file,company_name,tweet_id,tweet_url,created_at,text,humor_presence_binary,original_presence_value,label_source_detail
wendys_all_h1_00001,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Centene,1653112137110151187,https://x.com/centene/status/1653112137110151187,Mon May 01 19:00:21 +0000 2023,"To address the holistic needs of diverse and complex Medicare members, Centene partners with providers like @GalileoHealth, who set a new standard of care offering virtual and in-home care as well as mobile clinics to meet members where they are. https://t.co/a8ftyYr8DB",0,0,coder1
wendys_all_h1_00002,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,McKesson,1973192707771154472,https://x.com/mckesson/status/1973192707771154472,Wed Oct 01 01:06:16 +0000 2025,"Breakthroughs in cancer care begin with bold research. Sarah Cannon Research Institute (SCRI) leads the way by conducting community-based clinical trials. As a leading oncology research organization, SCRI brings promising therapies closer to patients: https://t.co/KmY3No8qIM https://t.co/mbZtg9noI3",0,0,coder1
wendys_all_h1_00003,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Nationwide,1975572191535374606,https://x.com/nationwide/status/1975572191535374606,Tue Oct 07 14:41:29 +0000 2025,"Grateful for all the blessings and lessons, friends and relationships built on this journey! Thank you! ❤️",0,0,coder1
wendys_all_h1_00004,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Albertsons,1400134020894269448,https://x.com/albertsons/status/1400134020894269448,Wed Jun 02 16:55:38 +0000 2021,It’s Rotisserie Chicken Day! Pick up a Signature Café® or Open Nature® whole roasted chicken from the Deli today 🍗 https://t.co/NgYNDLxmQf,0,0,coder1
wendys_all_h1_00005,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Verizon Communications,1975186874726584722,https://x.com/Verizon/status/1975186874726584722,Mon Oct 06 13:10:22 +0000 2025,.@Verizon has announced that Dan Schulman has been appointed CEO. Dan has served on Verizon's Board since 2018. He will bring a proven record of transformative leadership and deep telecom industry experience to help us enter our next chapter of growth. https://t.co/Ma3hRFgzMR https://t.co/H5OLuht3Nc,0,0,coder1
wendys_all_h1_00006,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Walmart,1930579275033239628,https://x.com/walmart/status/1930579275033239628,Thu Jun 05 10:55:42 +0000 2025,"Just got my Nintendo Switch 2 from @Walmart, right on time as promised! 🎮🚚 Thrilled with the delivery and they even tossed in some sweet goodies! 🙌 https://t.co/7ylI2oeXsY",1,1,coder1
wendys_all_h1_00007,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Charter Communications,1858533867281404259,https://x.com/CharterNewsroom/status/1858533867281404259,Mon Nov 18 15:32:58 +0000 2024,"Spectrum Promotes Steve Williams to Senior Vice President, Network Engineering and Technology: https://t.co/CfN8F050Oj https://t.co/2hRizNvaGn",0,0,coder1
wendys_all_h1_00008,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Nvidia,2049963129673527509,https://x.com/nvidia/status/2049963129673527509,Thu Apr 30 21:24:31 +0000 2026,"""AI has created more than half a million jobs. Companies that use AI grow faster. When they grow faster, they hire more people."" NVIDIA CEO Jensen Huang counters threats of job displacement in his conversation with SCSP's @Ylli_Bajraktari on Memos to the President. https://t.co/Z21ctNpgQR",1,1,coder1
wendys_all_h1_00009,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Massachusetts Mutual Life,1211341610505490432,https://x.com/massmutual/status/1211341610505490432,Sun Dec 29 17:42:00 +0000 2019,Second on our list of most popular blog posts is a look at applying for a mortgage when you're already retired. It can be a little tricky.,1,1,coder1
wendys_all_h1_00010,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,PepsiCo,1494703335202557954,https://x.com/pepsico/status/1494703335202557954,Fri Feb 18 16:00:20 +0000 2022,"Innovation Alert: New @rockstarenergy Unplugged is now on shelves (and online!). Made with hemp seed oil + B vitamins, with only 80mg of caffeine, in 3 tasty flavors. https://t.co/NzCL1Fi3GH",0,0,coder1
wendys_all_h1_00011,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Travelers,1588195594488668168,https://x.com/travelers/status/1588195594488668168,Thu Nov 03 15:45:11 +0000 2022,"“Factors unrelated to an individual’s injury, such as fear, unrealistic expectations, lack of sleep or minimal social support, can hinder the recovery process,” said Dr. Marcos Iglesias, chief medical director @Travelers. https://t.co/Vja4fAVlXi",0,0,coder1
wendys_all_h1_00012,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,AT&T,1915857247399190686,https://x.com/ATT/status/1915857247399190686,Fri Apr 25 19:55:37 +0000 2025,🔥#ATTAnnihilatorCup is back starting 5/1! Thursdays in May… friendships will be tested (@ludwig @loltyler1 💙) - while other alliances may be formed… - https://t.co/zsyZDaDMtm https://t.co/hCDrr0xwd4,1,1,coder1
wendys_all_h1_00013,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Kroger,1521489766511828992,https://x.com/kroger/status/1521489766511828992,Tue May 03 14:00:02 +0000 2022,Imagine dating someone who has never tried Kroger sushi 🚩,1,1,coder1
wendys_all_h1_00014,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Bank of America,1655587004397113347,https://x.com/bankofamerica/status/1655587004397113347,Mon May 08 14:54:35 +0000 2023,"Fredbird likes to rest his wings, but why is he glued to his phone? https://t.co/SENaHqH8tC",1,1,coder1
wendys_all_h1_00015,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Bank of America,1646591003640381440,https://x.com/bankofamerica/status/1646591003640381440,Thu Apr 13 19:07:42 +0000 2023,RT @bryantparknyc: Free concerts are back baby ✨🎤🎭! We're excited to announce our upcoming season of Picnic Performances presented by @Ban…,0,0,coder1
wendys_all_h1_00016,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Archer Daniels Midland,1745003882923634783,https://x.com/ADMupdates/status/1745003882923634783,Wed Jan 10 08:45:20 +0000 2024,"As a global leader in nutrition, ADM has identified shifts influencing food and beverage development trends in the Europe, Middle East and Africa (EMEA) region. Here’s what this means for the culinary space in the months ahead: Discover the full report: https://t.co/Z9gnuJjhgB https://t.co/dNYD2jyFpv",1,1,coder1
wendys_all_h1_00017,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Cisco Systems,1981164349088813487,https://x.com/Cisco/status/1981164349088813487,Thu Oct 23 01:02:43 +0000 2025,"RT @semafor: “We see youth on the African continent using AI tools more than anywhere else in the world.” — @Cisco EVP &amp; Chief People, Poli…",1,1,coder1
wendys_all_h1_00018,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Prudential Financial,1503758069867679744,https://x.com/Prudential/status/1503758069867679744,Tue Mar 15 15:40:36 +0000 2022,"At Prudential, doing the right thing underscores what we stand for and how we do business around the world. It's an honor to see this commitment recognized as we are named among the World's Most Ethical Companies for the eighth consecutive year. https://t.co/WF8v4Diu9g https://t.co/QAJqjv90fH",1,1,coder1
wendys_all_h1_00019,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,USAA,1734921400891088951,https://x.com/usaa/status/1734921400891088951,Wed Dec 13 13:01:09 +0000 2023,"Happy birthday to the @USNationalGuard! We thank the nearly 450,000 Guardsmen who are “Always Ready, Always There!” to serve our communities and our nation. https://t.co/H2myMO8GGG",1,1,coder1
wendys_all_h1_00020,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,TJX,760123227603660801,https://x.com/tjmaxx/status/760123227603660801,Mon Aug 01 14:41:14 +0000 2016,@jayda_3298 thanks for reaching out. Please call Associate Relations at 1-800-859-6488,0,0,coder1
wendys_all_h1_00021,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,General Dynamics,1599846946629308416,https://x.com/generaldynamics/status/1599846946629308416,Mon Dec 05 19:23:30 +0000 2022,"RT @GD_OTS: The accuracy, dependability, and capability of our products set us apart as the go-to solution, protecting the best with the be…",1,1,coder1
wendys_all_h1_00022,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Bank of America,1699433172314751278,https://x.com/bankofamerica/status/1699433172314751278,Wed Sep 06 14:43:36 +0000 2023,"Every day we're entering further into the digital age and small businesses are taking note. Compared to 2022, more entrepreneurs are digitally optimizing their businesses. Learn more from our 2023 Small Business Owner Report: https://t.co/Sg5acA7Z6A https://t.co/4wRMGPIXhS",0,0,coder1
wendys_all_h1_00023,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,New York Life Insurance,1514302397975195654,https://x.com/NewYorkLife/status/1514302397975195654,Wed Apr 13 18:00:00 +0000 2022,The #BraveofHeartFund continues to honor the hard work and sacrifice of healthcare workers by partnering with @ScholAmerica to offer scholarship funding for their families.,0,0,coder1
wendys_all_h1_00024,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Home Depot,768230715238547456,https://x.com/HDCares/status/768230715238547456,Tue Aug 23 23:37:30 +0000 2016,"@baristaze For help, pls send order details to TeamSocial@homedepot.com so we can share w/ our Home Installs team. –TeamCare",0,0,coder1
wendys_all_h1_00025,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,TJX,741337148218060801,https://x.com/tjmaxx/status/741337148218060801,Fri Jun 10 18:32:04 +0000 2016,I just posted a recap of my West Coast tour with @tjmaxx! What do you guys think? https://t.co/isRqY7hehl #ad #RoadToReal,0,0,coder1
wendys_all_h1_00026,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Ford Motor,1637899870915952643,https://x.com/Ford/status/1637899870915952643,Mon Mar 20 19:32:14 +0000 2023,RT @FordTrucks: The goal was to forge a path to greatness… objective complete ✅ 🛻 https://t.co/sWzMI75YDV,1,1,coder1
