source_file,file_type,raw_rows,detected_label_columns,detected_text_columns,detected_id_columns,detected_date_columns,usable_for_h1_presence,reason_if_not_usable
20260615wendy's/data/wendys_fast_weak_supervised_humor_dataset.csv,csv,978,,text;clean_text,id;tweet_url,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_final_humor_presence_dataset.csv,csv,597,final_humor_binary,text;text_preprocessed,id;tweet_url,,yes,
20260615wendy's/data/wendys_full_sample_four_type_humor_classifier_dataset.csv,csv,278,,text,id,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_h1_h2_h3_r_replication_dataset.csv,csv,978,,,,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_h1_literature_post_format_dataset.csv,csv,978,final_humor_binary,text,id;tweet_url,,yes,
20260615wendy's/data/wendys_h1_log_humor_input.csv,csv,978,,text,id;tweet_url,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_h1_simple_ols_ttest_dataset.csv,csv,978,final_humor_binary,text,id;tweet_url,,yes,
20260615wendy's/data/wendys_h1_three_post_format_combinations_dataset.csv,csv,978,final_humor_binary,text,id;tweet_url,,yes,
20260615wendy's/data/wendys_h1_time_fe_combinations_dataset.csv,csv,978,final_humor_binary,text,id;tweet_url,,yes,
20260615wendy's/data/wendys_h1_time_fe_only_dataset.csv,csv,978,final_humor_binary,text,id;tweet_url,,yes,
20260615wendy's/data/wendys_h2_coder1_priority_dataset.csv,csv,597,final_humor_binary,text,id;tweet_url,,yes,
20260615wendy's/data/wendys_h2_dataset.csv,csv,978,final_humor_binary,text,id;tweet_url,,yes,
20260615wendy's/data/wendys_h2_four_type_humor_dataset.csv,csv,278,final_humor_binary,text,id;tweet_url,,yes,
20260615wendy's/data/wendys_h2_full_sample_four_type_prediction_dataset.csv,csv,978,,text,id;tweet_url,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_h2_model_based_type_dataset.csv,csv,978,,text,id;tweet_url,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_h2_step1_aggressive_vs_other_dataset.csv,csv,978,,text,id;tweet_url,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_h2_step2_time_fe_dataset.csv,csv,978,,text,id;tweet_url,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_h2_step3_post_format_controls_dataset.csv,csv,978,,text,id;tweet_url,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_h3_aggressive_vs_other_intensity_dataset.csv,csv,978,,text,id;tweet_url,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_h3_joint_aggressive_other_decomposition_dataset.csv,csv,960,,,id,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_h3_main_quadratic_ols_dataset.csv,csv,960,,text,id;tweet_url,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_h3_moderation_centered_interaction_dataset.csv,csv,960,,,,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_h3_pre_filtered_quarter_dataset.csv,csv,978,,text,id;tweet_url,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_h3_pre_quadratic_ols_dataset.csv,csv,960,,text,id;tweet_url,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_h3_step1_quadratic_intensity_dataset.csv,csv,960,,,id,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_h3_step2_proportion_time_variables_dataset.csv,csv,960,,,id,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_h3_step3_proportion_post_format_dataset.csv,csv,960,,,id,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_h3_supplemental_other_humor_proportion_dataset.csv,csv,960,,,id,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_human_tfidf_logreg_humor_dataset.csv,csv,978,,text;clean_text,id;tweet_url,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_humor_frequency_proportion_post_level_dataset.csv,csv,978,,text,id;tweet_url,,no,no explicit H1 presence label column
20260615wendy's/data/wendys_model_based_humor_type_dataset.csv,csv,278,final_humor_binary,text,id;tweet_url,,yes,
20260615wendy's/data/wendys_partial_human_coded_humor_labels.csv,csv,69,humor,text,global_post_id,date,yes,
20260615wendy's/data/wendys_posts_raw.json,json,978,,text,id;tweet_url,created_at,no,no explicit H1 presence label column
20260615wendy's/data/wendys_simple_humor_intensity_post_level_dataset.csv,csv,978,,text,id;tweet_url,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_blind_human_humor_coding_key.csv,csv,120,,,id;tweet_url,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_blind_human_humor_coding_sheet.csv,csv,120,human_humor_label,text,id;tweet_url,,yes,
20260615wendy's/result/wendys_existing_sample_size_checks.csv,csv,19,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_existing_variable_inventory.csv,csv,226,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_fast_weak_supervised_diagnostics.csv,csv,29,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_fast_weak_supervised_h1_ols_results.csv,csv,6,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_fast_weak_supervised_human_review_sample.csv,csv,120,human_humor_label,text,id;tweet_url,,yes,
20260615wendy's/result/wendys_fast_weak_supervised_humor_scores.csv,csv,978,,text,id;tweet_url,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_final_humor_presence_confusion_matrix.csv,csv,2,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_final_humor_presence_diagnostics.csv,csv,1,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_final_humor_presence_feature_weights.csv,csv,100,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_final_humor_presence_full_predictions.csv,csv,978,final_humor_binary,text,id;tweet_url,,yes,
20260615wendy's/result/wendys_final_humor_presence_oof_error_audit.csv,csv,597,final_humor_binary,text,id;tweet_url,,yes,
20260615wendy's/result/wendys_final_humor_presence_validation_results.csv,csv,6,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_final_humor_type_coder1_priority_audit.csv,csv,310,final_humor_binary,,id,,yes,
20260615wendy's/result/wendys_full_sample_four_type_humor_classification_report.csv,csv,6,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_full_sample_four_type_humor_confusion_matrix.csv,csv,4,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_full_sample_four_type_humor_diagnostics.csv,csv,26,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_full_sample_four_type_humor_distribution.csv,csv,5,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_full_sample_four_type_humor_feature_weights.csv,csv,140,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_full_sample_four_type_humor_oof_error_audit.csv,csv,278,,text,id,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_full_sample_four_type_humor_predictions.csv,csv,978,final_humor_binary,text,id,,yes,
20260615wendy's/result/wendys_full_sample_four_type_humor_validation_results.csv,csv,20,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_existing_variable_candidates.csv,csv,32,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_favorite_retweet_analysis_dataset.csv,csv,978,,text,id;tweet_url,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_favorite_retweet_diagnostics.csv,csv,29,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_favorite_retweet_ols_results.csv,csv,1,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_h2_h3_ols_with_se_validation_checks.csv,csv,30,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_h2_h3_r_replication_data_dictionary.csv,csv,36,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_h2_h3_r_replication_expected_coefficients.csv,csv,15,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_human_coded_simple_ols_results.csv,csv,7,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_literature_post_format_diagnostics.csv,csv,85,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_literature_post_format_fullsample_binary_results.csv,csv,35,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_literature_post_format_fullsample_probability_results.csv,csv,35,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_literature_post_format_human_validation_results.csv,csv,35,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_multicollinearity_condition_number.csv,csv,8,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_multicollinearity_pairwise_correlations.csv,csv,55,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h1_multicollinearity_variable_summary.csv,csv,28,,,,,no,no explicit H1 presence label column
