source_file,raw_rows,final_rows,duplicate_rows_removed,conflict_rows_excluded,missing_or_uncertain_rows_excluded
20260615wendy's/data/wendys_final_humor_presence_dataset.csv,597,597,0,0,0
20260615wendy's/data/wendys_h1_literature_post_format_dataset.csv,978,0,597,0,381
20260615wendy's/data/wendys_h1_simple_ols_ttest_dataset.csv,978,0,597,0,381
20260615wendy's/data/wendys_h1_three_post_format_combinations_dataset.csv,978,0,597,0,381
20260615wendy's/data/wendys_h1_time_fe_combinations_dataset.csv,978,0,597,0,381
20260615wendy's/data/wendys_h1_time_fe_only_dataset.csv,978,0,597,0,381
20260615wendy's/data/wendys_h2_coder1_priority_dataset.csv,597,0,597,0,0
20260615wendy's/data/wendys_h2_dataset.csv,978,0,597,0,381
20260615wendy's/data/wendys_h2_four_type_humor_dataset.csv,278,0,278,0,0
20260615wendy's/data/wendys_model_based_humor_type_dataset.csv,278,0,278,0,0
20260615wendy's/data/wendys_partial_human_coded_humor_labels.csv,69,0,68,0,1
20260615wendy's/result/wendys_blind_human_humor_coding_sheet.csv,120,0,0,0,120
20260615wendy's/result/wendys_fast_weak_supervised_human_review_sample.csv,120,0,0,0,120
20260615wendy's/result/wendys_final_humor_presence_full_predictions.csv,978,0,597,0,381
20260615wendy's/result/wendys_final_humor_presence_oof_error_audit.csv,597,0,597,0,0
20260615wendy's/result/wendys_final_humor_type_coder1_priority_audit.csv,310,0,310,0,0
20260615wendy's/result/wendys_full_sample_four_type_humor_predictions.csv,978,0,597,0,381
20260615wendy's/result/wendys_human168_tfidf_logreg_error_audit.csv,167,0,167,0,0
20260615wendy's/result/wendys_human_tfidf_logreg_error_audit.csv,68,0,68,0,0
20260615wendy's/result/wendys_humor_review_sheet.csv,978,0,597,0,381
20260615wendy's/result/wendys_model_based_humor_type_full_predictions.csv,978,0,597,0,381
data/derived/humor/human_labels/wendys_human_label_raw_linked.csv,69,0,68,0,1
data/manual_labels/wendys_human_humor_labels.csv,69,68,0,0,1
