family,variant,primary_metric,value,f1,leakage_flag,candidate_status
aggressive_baseline_b,baseline_b,pr_auc,0.4356,0.4474,FAIL,retain_baseline
aggressive_filtered,original_text,pr_auc,0.3668,0.4404,FAIL,diagnostic_only_no_candidate
aggressive_filtered,mask_wendys_brand,pr_auc,0.3609,0.436,FAIL,diagnostic_only_no_candidate
aggressive_filtered,mask_brand_product,pr_auc,0.3508,0.4329,FAIL,diagnostic_only_no_candidate
aggressive_filtered,mask_brand_product_competitor,pr_auc,0.3747,0.4368,FAIL,diagnostic_only_no_candidate
aggressive_filtered,mask_campaign_product,pr_auc,0.3602,0.436,FAIL,diagnostic_only_no_candidate
aggressive_filtered,mask_all_leakage_groups,pr_auc,0.3669,0.4345,FAIL,diagnostic_only_no_candidate
type_baseline_b,baseline_b,macro_f1,0.4194,,FAIL,retain_baseline
type_filtered,original_text,macro_f1,0.4194,0.4551,FAIL,diagnostic_only_no_candidate
type_filtered,mask_wendys_brand,macro_f1,0.4105,0.4551,FAIL,diagnostic_only_no_candidate
type_filtered,mask_brand_product,macro_f1,0.4188,0.4522,FAIL,diagnostic_only_no_candidate
type_filtered,mask_brand_product_competitor,macro_f1,0.4151,0.4254,FAIL,diagnostic_only_no_candidate
type_filtered,mask_campaign_product,macro_f1,0.4075,0.4373,FAIL,diagnostic_only_no_candidate
type_filtered,mask_all_leakage_groups,macro_f1,0.4135,0.4244,FAIL,diagnostic_only_no_candidate
