row_id,source,original_file,company_name,tweet_id,tweet_url,created_at,text,humor_presence_binary,humor_type,original_type_value,label_source_detail,text_original,text_mask_wendys_brand,text_mask_brand_product,text_mask_brand_product_competitor,text_mask_campaign_product,text_mask_all_leakage_groups
type_combined_0001,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Walmart,1930579275033239628,https://x.com/walmart/status/1930579275033239628,Thu Jun 05 10:55:42 +0000 2025,"Just got my Nintendo Switch 2 from @Walmart, right on time as promised! 🎮🚚 Thrilled with the delivery and they even tossed in some sweet goodies! 🙌 https://t.co/7ylI2oeXsY",1,affiliative,2,coder1,"Just got my Nintendo Switch 2 from @Walmart, right on time as promised! 🎮🚚 Thrilled with the delivery and they even tossed in some sweet goodies! 🙌 https://t.co/7ylI2oeXsY","Just got my Nintendo Switch 2 from @Walmart, right on time as promised! 🎮🚚 Thrilled with the delivery and they even tossed in some sweet goodies! 🙌 https://t.co/7ylI2oeXsY","Just got my Nintendo Switch 2 from @Walmart, right on time as promised! 🎮🚚 Thrilled with the delivery and they even tossed in some sweet goodies! 🙌 https://t.co/7ylI2oeXsY","Just got my Nintendo Switch 2 from @Walmart, right on time as promised! 🎮🚚 Thrilled with the delivery and they even tossed in some sweet goodies! 🙌 https://t.co/7ylI2oeXsY","Just got my Nintendo Switch 2 from @Walmart, right on time as promised! 🎮🚚 Thrilled with the delivery and they even tossed in some sweet goodies! 🙌 https://t.co/7ylI2oeXsY","Just got my Nintendo Switch 2 from @Walmart, right on time as promised! 🎮🚚 Thrilled with the delivery and they even tossed in some sweet goodies! 🙌 https://t.co/7ylI2oeXsY"
type_combined_0002,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Nvidia,2049963129673527509,https://x.com/nvidia/status/2049963129673527509,Thu Apr 30 21:24:31 +0000 2026,"""AI has created more than half a million jobs. Companies that use AI grow faster. When they grow faster, they hire more people."" NVIDIA CEO Jensen Huang counters threats of job displacement in his conversation with SCSP's @Ylli_Bajraktari on Memos to the President. https://t.co/Z21ctNpgQR",1,affiliative,2,coder1,"""AI has created more than half a million jobs. Companies that use AI grow faster. When they grow faster, they hire more people."" NVIDIA CEO Jensen Huang counters threats of job displacement in his conversation with SCSP's @Ylli_Bajraktari on Memos to the President. https://t.co/Z21ctNpgQR","""AI has created more than half a million jobs. Companies that use AI grow faster. When they grow faster, they hire more people."" NVIDIA CEO Jensen Huang counters threats of job displacement in his conversation with SCSP's @Ylli_Bajraktari on Memos to the President. https://t.co/Z21ctNpgQR","""AI has created more than half a million jobs. Companies that use AI grow faster. When they grow faster, they hire more people."" NVIDIA CEO Jensen Huang counters threats of job displacement in his conversation with SCSP's @Ylli_Bajraktari on Memos to the President. https://t.co/Z21ctNpgQR","""AI has created more than half a million jobs. Companies that use AI grow faster. When they grow faster, they hire more people."" NVIDIA CEO Jensen Huang counters threats of job displacement in his conversation with SCSP's @Ylli_Bajraktari on Memos to the President. https://t.co/Z21ctNpgQR","""AI has created more than half a million jobs. Companies that use AI grow faster. When they grow faster, they hire more people."" NVIDIA CEO Jensen Huang counters threats of job displacement in his conversation with SCSP's @Ylli_Bajraktari on Memos to the President. https://t.co/Z21ctNpgQR","""AI has created more than half a million jobs. Companies that use AI grow faster. When they grow faster, they hire more people."" NVIDIA CEO Jensen Huang counters threats of job displacement in his conversation with SCSP's @Ylli_Bajraktari on Memos to the President. https://t.co/Z21ctNpgQR"
type_combined_0003,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Massachusetts Mutual Life,1211341610505490432,https://x.com/massmutual/status/1211341610505490432,Sun Dec 29 17:42:00 +0000 2019,Second on our list of most popular blog posts is a look at applying for a mortgage when you're already retired. It can be a little tricky.,1,self-defeating,4,coder1,Second on our list of most popular blog posts is a look at applying for a mortgage when you're already retired. It can be a little tricky.,Second on our list of most popular blog posts is a look at applying for a mortgage when you're already retired. It can be a little tricky.,Second on our list of most popular blog posts is a look at applying for a mortgage when you're already retired. It can be a little tricky.,Second on our list of most popular blog posts is a look at applying for a mortgage when you're already retired. It can be a little tricky.,Second on our list of most popular blog posts is a look at applying for a mortgage when you're already retired. It can be a little tricky.,Second on our list of most popular blog posts is a look at applying for a mortgage when you're already retired. It can be a little tricky.
type_combined_0004,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,AT&T,1915857247399190686,https://x.com/ATT/status/1915857247399190686,Fri Apr 25 19:55:37 +0000 2025,🔥#ATTAnnihilatorCup is back starting 5/1! Thursdays in May… friendships will be tested (@ludwig @loltyler1 💙) - while other alliances may be formed… - https://t.co/zsyZDaDMtm https://t.co/hCDrr0xwd4,1,self-enhancing,3,coder1,🔥#ATTAnnihilatorCup is back starting 5/1! Thursdays in May… friendships will be tested (@ludwig @loltyler1 💙) - while other alliances may be formed… - https://t.co/zsyZDaDMtm https://t.co/hCDrr0xwd4,🔥#ATTAnnihilatorCup is back starting 5/1! Thursdays in May… friendships will be tested (@ludwig @loltyler1 💙) - while other alliances may be formed… - https://t.co/zsyZDaDMtm https://t.co/hCDrr0xwd4,🔥#ATTAnnihilatorCup is back starting 5/1! Thursdays in May… friendships will be tested (@ludwig @loltyler1 💙) - while other alliances may be formed… - https://t.co/zsyZDaDMtm https://t.co/hCDrr0xwd4,🔥#ATTAnnihilatorCup is back starting 5/1! Thursdays in May… friendships will be tested (@ludwig @loltyler1 💙) - while other alliances may be formed… - https://t.co/zsyZDaDMtm https://t.co/hCDrr0xwd4,🔥#ATTAnnihilatorCup is back starting 5/1! Thursdays in May… friendships will be tested (@ludwig @loltyler1 💙) - while other alliances may be formed… - https://t.co/zsyZDaDMtm https://t.co/hCDrr0xwd4,🔥#ATTAnnihilatorCup is back starting 5/1! Thursdays in May… friendships will be tested (@ludwig @loltyler1 💙) - while other alliances may be formed… - https://t.co/zsyZDaDMtm https://t.co/hCDrr0xwd4
type_combined_0005,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Kroger,1521489766511828992,https://x.com/kroger/status/1521489766511828992,Tue May 03 14:00:02 +0000 2022,Imagine dating someone who has never tried Kroger sushi 🚩,1,self-enhancing,3,coder1,Imagine dating someone who has never tried Kroger sushi 🚩,Imagine dating someone who has never tried Kroger sushi 🚩,Imagine dating someone who has never tried Kroger sushi 🚩,Imagine dating someone who has never tried Kroger sushi 🚩,Imagine dating someone who has never tried Kroger sushi 🚩,Imagine dating someone who has never tried Kroger sushi 🚩
type_combined_0006,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Bank of America,1655587004397113347,https://x.com/bankofamerica/status/1655587004397113347,Mon May 08 14:54:35 +0000 2023,"Fredbird likes to rest his wings, but why is he glued to his phone? https://t.co/SENaHqH8tC",1,aggressive,1,coder1,"Fredbird likes to rest his wings, but why is he glued to his phone? https://t.co/SENaHqH8tC","Fredbird likes to rest his wings, but why is he glued to his phone? https://t.co/SENaHqH8tC","Fredbird likes to rest his wings, but why is he glued to his phone? https://t.co/SENaHqH8tC","Fredbird likes to rest his wings, but why is he glued to his phone? https://t.co/SENaHqH8tC","Fredbird likes to rest his wings, but why is he glued to his phone? https://t.co/SENaHqH8tC","Fredbird likes to rest his wings, but why is he glued to his phone? https://t.co/SENaHqH8tC"
type_combined_0007,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Archer Daniels Midland,1745003882923634783,https://x.com/ADMupdates/status/1745003882923634783,Wed Jan 10 08:45:20 +0000 2024,"As a global leader in nutrition, ADM has identified shifts influencing food and beverage development trends in the Europe, Middle East and Africa (EMEA) region. Here’s what this means for the culinary space in the months ahead: Discover the full report: https://t.co/Z9gnuJjhgB https://t.co/dNYD2jyFpv",1,self-enhancing,3,coder1,"As a global leader in nutrition, ADM has identified shifts influencing food and beverage development trends in the Europe, Middle East and Africa (EMEA) region. Here’s what this means for the culinary space in the months ahead: Discover the full report: https://t.co/Z9gnuJjhgB https://t.co/dNYD2jyFpv","As a global leader in nutrition, ADM has identified shifts influencing food and beverage development trends in the Europe, Middle East and Africa (EMEA) region. Here’s what this means for the culinary space in the months ahead: Discover the full report: https://t.co/Z9gnuJjhgB https://t.co/dNYD2jyFpv","As a global leader in nutrition, ADM has identified shifts influencing food and beverage development trends in the Europe, Middle East and Africa (EMEA) region. Here’s what this means for the culinary space in the months ahead: Discover the full report: https://t.co/Z9gnuJjhgB https://t.co/dNYD2jyFpv","As a global leader in nutrition, ADM has identified shifts influencing food and beverage development trends in the Europe, Middle East and Africa (EMEA) region. Here’s what this means for the culinary space in the months ahead: Discover the full report: https://t.co/Z9gnuJjhgB https://t.co/dNYD2jyFpv","As a global leader in nutrition, ADM has identified shifts influencing food and beverage development trends in the Europe, Middle East and Africa (EMEA) region. Here’s what this means for the culinary space in the months ahead: Discover the full report: https://t.co/Z9gnuJjhgB https://t.co/dNYD2jyFpv","As a global leader in nutrition, ADM has identified shifts influencing food and beverage development trends in the Europe, Middle East and Africa (EMEA) region. Here’s what this means for the culinary space in the months ahead: Discover the full report: https://t.co/Z9gnuJjhgB https://t.co/dNYD2jyFpv"
type_combined_0008,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Cisco Systems,1981164349088813487,https://x.com/Cisco/status/1981164349088813487,Thu Oct 23 01:02:43 +0000 2025,"RT @semafor: “We see youth on the African continent using AI tools more than anywhere else in the world.” — @Cisco EVP &amp; Chief People, Poli…",1,aggressive,1,coder1,"RT @semafor: “We see youth on the African continent using AI tools more than anywhere else in the world.” — @Cisco EVP &amp; Chief People, Poli…","RT @semafor: “We see youth on the African continent using AI tools more than anywhere else in the world.” — @Cisco EVP &amp; Chief People, Poli…","RT @semafor: “We see youth on the African continent using AI tools more than anywhere else in the world.” — @Cisco EVP &amp; Chief People, Poli…","RT @semafor: “We see youth on the African continent using AI tools more than anywhere else in the world.” — @Cisco EVP &amp; Chief People, Poli…","RT @semafor: “We see youth on the African continent using AI tools more than anywhere else in the world.” — @Cisco EVP &amp; Chief People, Poli…","RT @semafor: “We see youth on the African continent using AI tools more than anywhere else in the world.” — @Cisco EVP &amp; Chief People, Poli…"
type_combined_0009,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,Prudential Financial,1503758069867679744,https://x.com/Prudential/status/1503758069867679744,Tue Mar 15 15:40:36 +0000 2022,"At Prudential, doing the right thing underscores what we stand for and how we do business around the world. It's an honor to see this commitment recognized as we are named among the World's Most Ethical Companies for the eighth consecutive year. https://t.co/WF8v4Diu9g https://t.co/QAJqjv90fH",1,self-enhancing,3,coder1,"At Prudential, doing the right thing underscores what we stand for and how we do business around the world. It's an honor to see this commitment recognized as we are named among the World's Most Ethical Companies for the eighth consecutive year. https://t.co/WF8v4Diu9g https://t.co/QAJqjv90fH","At Prudential, doing the right thing underscores what we stand for and how we do business around the world. It's an honor to see this commitment recognized as we are named among the World's Most Ethical Companies for the eighth consecutive year. https://t.co/WF8v4Diu9g https://t.co/QAJqjv90fH","At Prudential, doing the right thing underscores what we stand for and how we do business around the world. It's an honor to see this commitment recognized as we are named among the World's Most Ethical Companies for the eighth consecutive year. https://t.co/WF8v4Diu9g https://t.co/QAJqjv90fH","At Prudential, doing the right thing underscores what we stand for and how we do business around the world. It's an honor to see this commitment recognized as we are named among the World's Most Ethical Companies for the eighth consecutive year. https://t.co/WF8v4Diu9g https://t.co/QAJqjv90fH","At Prudential, doing the right thing underscores what we stand for and how we do business around the world. It's an honor to see this commitment recognized as we are named among the World's Most Ethical Companies for the eighth consecutive year. https://t.co/WF8v4Diu9g https://t.co/QAJqjv90fH","At Prudential, doing the right thing underscores what we stand for and how we do business around the world. It's an honor to see this commitment recognized as we are named among the World's Most Ethical Companies for the eighth consecutive year. https://t.co/WF8v4Diu9g https://t.co/QAJqjv90fH"
type_combined_0010,batch1_fortune100,20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,USAA,1734921400891088951,https://x.com/usaa/status/1734921400891088951,Wed Dec 13 13:01:09 +0000 2023,"Happy birthday to the @USNationalGuard! We thank the nearly 450,000 Guardsmen who are “Always Ready, Always There!” to serve our communities and our nation. https://t.co/H2myMO8GGG",1,affiliative,2,coder1,"Happy birthday to the @USNationalGuard! We thank the nearly 450,000 Guardsmen who are “Always Ready, Always There!” to serve our communities and our nation. https://t.co/H2myMO8GGG","Happy birthday to the @USNationalGuard! We thank the nearly 450,000 Guardsmen who are “Always Ready, Always There!” to serve our communities and our nation. https://t.co/H2myMO8GGG","Happy birthday to the @USNationalGuard! We thank the nearly 450,000 Guardsmen who are “Always Ready, Always There!” to serve our communities and our nation. https://t.co/H2myMO8GGG","Happy birthday to the @USNationalGuard! We thank the nearly 450,000 Guardsmen who are “Always Ready, Always There!” to serve our communities and our nation. https://t.co/H2myMO8GGG","Happy birthday to the @USNationalGuard! We thank the nearly 450,000 Guardsmen who are “Always Ready, Always There!” to serve our communities and our nation. https://t.co/H2myMO8GGG","Happy birthday to the @USNationalGuard! We thank the nearly 450,000 Guardsmen who are “Always Ready, Always There!” to serve our communities and our nation. https://t.co/H2myMO8GGG"
