experiment,variant,threshold,n_flagged,n_true_aggressive,precision,recall,f1,meets_prec_50,meets_prec_60,meets_prec_70,operational_note
high_precision_threshold_sweep,original_text,0.2,926,139,0.1501,1.0,0.261,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
high_precision_threshold_sweep,original_text,0.3,926,139,0.1501,1.0,0.261,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
high_precision_threshold_sweep,original_text,0.4,860,139,0.1616,1.0,0.2783,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
high_precision_threshold_sweep,original_text,0.5,90,139,0.4556,0.295,0.3581,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
high_precision_threshold_sweep,original_text,0.6,0,139,0.0,0.0,0.0,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
high_precision_threshold_sweep,original_text,0.7,0,139,0.0,0.0,0.0,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
high_precision_threshold_sweep,original_text,0.8,0,139,0.0,0.0,0.0,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
high_precision_threshold_sweep,mask_all_leakage_groups,0.2,926,139,0.1501,1.0,0.261,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
high_precision_threshold_sweep,mask_all_leakage_groups,0.3,926,139,0.1501,1.0,0.261,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
high_precision_threshold_sweep,mask_all_leakage_groups,0.4,852,139,0.1631,1.0,0.2805,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
high_precision_threshold_sweep,mask_all_leakage_groups,0.5,99,139,0.4545,0.3237,0.3782,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
high_precision_threshold_sweep,mask_all_leakage_groups,0.6,0,139,0.0,0.0,0.0,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
high_precision_threshold_sweep,mask_all_leakage_groups,0.7,0,139,0.0,0.0,0.0,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
high_precision_threshold_sweep,mask_all_leakage_groups,0.8,0,139,0.0,0.0,0.0,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
high_precision_threshold_sweep,hard_mask_v2_nationalroastday,0.2,926,139,0.1501,1.0,0.261,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
high_precision_threshold_sweep,hard_mask_v2_nationalroastday,0.3,926,139,0.1501,1.0,0.261,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
high_precision_threshold_sweep,hard_mask_v2_nationalroastday,0.4,838,139,0.1659,1.0,0.2845,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
high_precision_threshold_sweep,hard_mask_v2_nationalroastday,0.5,104,139,0.4327,0.3237,0.3704,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
high_precision_threshold_sweep,hard_mask_v2_nationalroastday,0.6,0,139,0.0,0.0,0.0,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
high_precision_threshold_sweep,hard_mask_v2_nationalroastday,0.7,0,139,0.0,0.0,0.0,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
high_precision_threshold_sweep,hard_mask_v2_nationalroastday,0.8,0,139,0.0,0.0,0.0,no,no,no,"averaged OOF prob across 10 seeds; use for triage, not deployment"
