variant,class_label,rank,feature,weight
original_text,aggressive,1,word__nationalroastday,0.329476
original_text,aggressive,2,word__should,0.251824
original_text,aggressive,3,char__nal,0.178921
original_text,aggressive,4,char__onal,0.173239
original_text,aggressive,5,char__oast,0.17124
original_text,aggressive,6,char__oas,0.17124
original_text,aggressive,7,word__drop,0.170775
original_text,aggressive,8,char__uld,0.168098
original_text,aggressive,9,char__ould,0.168098
original_text,aggressive,10,char__oul,0.16571
original_text,aggressive,11,word__if,0.164862
original_text,aggressive,12,char__roas,0.163052
original_text,aggressive,13,char__roast,0.163052
original_text,aggressive,14,word__where the,0.158473
original_text,aggressive,15,word__mid,0.15789
original_text,aggressive,16,word__egg,0.157204
original_text,aggressive,17,char__ona,0.156644
original_text,aggressive,18,char__alr,0.156542
original_text,aggressive,19,char__hou,0.153344
original_text,aggressive,20,word__ban,0.153063
original_text,aggressive,21,word__hair,0.152743
original_text,aggressive,22,word__me,0.15124
original_text,aggressive,23,word__not,0.150852
original_text,aggressive,24,word__but,0.146192
original_text,aggressive,25,word__that,0.145562
original_text,affiliative,1,word__we,0.276112
original_text,affiliative,2,word__mention,0.15512
original_text,affiliative,3,word__year,0.149416
original_text,affiliative,4,word__thank,0.14176
original_text,affiliative,5,char__ we,0.137617
original_text,affiliative,6,word__we re,0.12974
original_text,affiliative,7,word__to,0.127933
original_text,affiliative,8,word__in,0.126945
original_text,affiliative,9,word__happy,0.124395
original_text,affiliative,10,word__thank you,0.119263
original_text,affiliative,11,word__thanks,0.116198
original_text,affiliative,12,char__ank,0.115833
original_text,affiliative,13,word__for,0.115763
original_text,affiliative,14,word__every,0.11184
original_text,affiliative,15,word__to the,0.111062
original_text,affiliative,16,word__us,0.110388
original_text,affiliative,17,word__day,0.109243
original_text,affiliative,18,char__hank,0.10843
original_text,affiliative,19,char__thank,0.10843
original_text,affiliative,20,word__their,0.105729
original_text,affiliative,21,word__to mention,0.105374
original_text,affiliative,22,word__let,0.102692
original_text,affiliative,23,char__rat,0.099751
original_text,affiliative,24,word__re,0.099346
original_text,affiliative,25,word__of the,0.09742
original_text,self-enhancing,1,word__is,0.169947
original_text,self-enhancing,2,word__better,0.168747
original_text,self-enhancing,3,word__url,0.132255
original_text,self-enhancing,4,word__as,0.123991
original_text,self-enhancing,5,word__perfect,0.121056
original_text,self-enhancing,6,word__and,0.119964
original_text,self-enhancing,7,word__most,0.119382
original_text,self-enhancing,8,word__tesla,0.116881
original_text,self-enhancing,9,word__from,0.111547
original_text,self-enhancing,10,word__spicy,0.110195
