seed,class_weight,n_rows,pr_auc,roc_auc,f1,precision,recall
0,None,278,0.7667,0.8029,0.7126,0.7623,0.6691
0,balanced,278,0.7667,0.8043,0.7176,0.7642,0.6763
1,None,278,0.7744,0.8123,0.7148,0.7581,0.6763
1,balanced,278,0.7751,0.812,0.7126,0.7623,0.6691
2,None,278,0.717,0.7723,0.6667,0.7131,0.6259
2,balanced,278,0.7169,0.7733,0.6667,0.7131,0.6259
3,None,278,0.7352,0.7681,0.6894,0.728,0.6547
3,balanced,278,0.7318,0.7692,0.6844,0.7258,0.6475
4,None,278,0.7519,0.792,0.7574,0.7744,0.741
4,balanced,278,0.7548,0.7937,0.7528,0.7727,0.7338
5,None,278,0.7388,0.78,0.6615,0.7203,0.6115
5,balanced,278,0.7389,0.7807,0.6744,0.7311,0.6259
6,None,278,0.7951,0.8108,0.7336,0.7917,0.6835
6,balanced,278,0.7943,0.8122,0.7287,0.7899,0.6763
7,None,278,0.7195,0.7434,0.6464,0.6855,0.6115
7,balanced,278,0.7205,0.7456,0.6515,0.688,0.6187
8,None,278,0.7523,0.7797,0.6769,0.7273,0.6331
8,balanced,278,0.7542,0.7809,0.6873,0.7417,0.6403
9,None,278,0.7506,0.7847,0.705,0.7541,0.6619
9,balanced,278,0.7504,0.7848,0.7,0.7521,0.6547
10,None,278,0.7673,0.7955,0.6977,0.7563,0.6475
10,balanced,278,0.765,0.7936,0.6899,0.7479,0.6403
11,None,278,0.7148,0.7777,0.7072,0.75,0.6691
11,balanced,278,0.7162,0.7798,0.7099,0.7561,0.6691
12,None,278,0.719,0.7484,0.6692,0.7097,0.6331
12,balanced,278,0.7192,0.749,0.6591,0.696,0.6259
13,None,278,0.7506,0.7864,0.68,0.7658,0.6115
13,balanced,278,0.7498,0.7864,0.6825,0.7611,0.6187
14,None,278,0.755,0.7698,0.6641,0.7167,0.6187
14,balanced,278,0.7557,0.7709,0.6744,0.7311,0.6259
15,None,278,0.7681,0.7943,0.6897,0.7377,0.6475
15,balanced,278,0.7668,0.7954,0.695,0.75,0.6475
16,None,278,0.7805,0.8022,0.7252,0.7724,0.6835
16,balanced,278,0.7815,0.8036,0.73,0.7742,0.6906
17,None,278,0.7951,0.8039,0.7188,0.7863,0.6619
17,balanced,278,0.7984,0.8063,0.7165,0.7913,0.6547
18,None,278,0.8088,0.8175,0.7328,0.7805,0.6906
18,balanced,278,0.8074,0.818,0.7356,0.7869,0.6906
19,None,278,0.7853,0.7978,0.6902,0.7586,0.6331
19,balanced,278,0.7851,0.7998,0.6902,0.7586,0.6331
20,None,278,0.6859,0.7314,0.6299,0.6957,0.5755
20,balanced,278,0.6858,0.7326,0.6431,0.7069,0.5899
21,None,278,0.7149,0.766,0.6615,0.7107,0.6187
21,balanced,278,0.7171,0.767,0.6641,0.7073,0.6259
22,None,278,0.705,0.7845,0.7121,0.752,0.6763
22,balanced,278,0.7098,0.7858,0.717,0.754,0.6835
23,None,278,0.7311,0.7657,0.6943,0.7302,0.6619
23,balanced,278,0.7358,0.7675,0.6966,0.7266,0.6691
24,None,278,0.7687,0.7877,0.6926,0.7542,0.6403
24,balanced,278,0.7671,0.7887,0.7054,0.7647,0.6547
25,None,278,0.7474,0.7748,0.6537,0.7119,0.6043
25,balanced,278,0.7504,0.7763,0.6718,0.725,0.6259
26,None,278,0.7908,0.8177,0.7341,0.7656,0.705
26,balanced,278,0.7901,0.8172,0.7293,0.7638,0.6978
27,None,278,0.7318,0.768,0.6742,0.7031,0.6475
27,balanced,278,0.7304,0.7672,0.6742,0.7031,0.6475
28,None,278,0.7746,0.7895,0.7004,0.7627,0.6475
28,balanced,278,0.7742,0.7898,0.695,0.75,0.6475
29,None,278,0.7752,0.8028,0.6977,0.7563,0.6475
29,balanced,278,0.7736,0.8014,0.695,0.75,0.6475
