seed,class_weight,source,n_rows,pr_auc,roc_auc,f1,precision,recall
0,None,batch1_fortune100,154,0.5534,0.7816,0.6136,0.6136,0.6136
0,None,wendys_human_type,124,0.8721,0.69,0.763,0.8462,0.6947
0,balanced,batch1_fortune100,154,0.5558,0.7872,0.6292,0.6222,0.6364
0,balanced,wendys_human_type,124,0.8721,0.6915,0.763,0.8462,0.6947
1,None,batch1_fortune100,153,0.6834,0.829,0.6512,0.6667,0.6364
1,None,wendys_human_type,125,0.8158,0.6302,0.7458,0.8049,0.6947
1,balanced,batch1_fortune100,153,0.6871,0.8296,0.6588,0.6829,0.6364
1,balanced,wendys_human_type,125,0.817,0.6288,0.7386,0.8025,0.6842
2,None,batch1_fortune100,150,0.5779,0.7914,0.5843,0.5778,0.5909
2,None,wendys_human_type,128,0.7934,0.5994,0.7093,0.7922,0.6421
2,balanced,batch1_fortune100,150,0.5788,0.7922,0.5843,0.5778,0.5909
2,balanced,wendys_human_type,128,0.7947,0.6029,0.7093,0.7922,0.6421
3,None,batch1_fortune100,147,0.5614,0.7657,0.5618,0.5556,0.5682
3,None,wendys_human_type,131,0.835,0.6711,0.7543,0.825,0.6947
3,balanced,batch1_fortune100,147,0.5631,0.7674,0.5455,0.5455,0.5455
3,balanced,wendys_human_type,131,0.8284,0.6699,0.7543,0.825,0.6947
4,None,batch1_fortune100,158,0.5784,0.8088,0.6947,0.6471,0.75
4,None,wendys_human_type,120,0.843,0.6004,0.791,0.8537,0.7368
4,balanced,batch1_fortune100,158,0.5931,0.8114,0.6947,0.6471,0.75
4,balanced,wendys_human_type,120,0.8429,0.5992,0.7841,0.8519,0.7263
5,None,batch1_fortune100,155,0.6094,0.7998,0.5366,0.5789,0.5
5,None,wendys_human_type,123,0.7972,0.5444,0.72,0.7875,0.6632
5,balanced,batch1_fortune100,155,0.6114,0.8006,0.561,0.6053,0.5227
5,balanced,wendys_human_type,123,0.7979,0.5462,0.7273,0.7901,0.6737
6,None,batch1_fortune100,148,0.5711,0.7887,0.6588,0.6829,0.6364
6,None,wendys_human_type,130,0.8878,0.7408,0.7701,0.8481,0.7053
6,balanced,batch1_fortune100,148,0.5593,0.7913,0.6429,0.675,0.6136
