weight_setting,threshold,precision,recall,f1,meets_primary,meets_secondary
W100,0.2,0.1501,1.0,0.261,no,no
W100,0.3,0.1501,1.0,0.261,no,no
W100,0.4,0.1905,0.9784,0.3189,no,no
W100,0.5,0.4121,0.4892,0.4474,no,no
W100,0.6,1.0,0.036,0.0694,no,no
W100,0.7,0.0,0.0,0.0,no,no
W100,0.8,0.0,0.0,0.0,no,no
W25,0.2,0.1501,1.0,0.261,no,no
W25,0.3,0.1501,1.0,0.261,no,no
W25,0.4,0.1748,0.9784,0.2966,no,no
W25,0.5,0.3955,0.5036,0.443,no,no
W25,0.6,0.5,0.0072,0.0142,no,no
W25,0.7,0.0,0.0,0.0,no,no
W25,0.8,0.0,0.0,0.0,no,no
W50,0.2,0.1501,1.0,0.261,no,no
W50,0.3,0.1501,1.0,0.261,no,no
W50,0.4,0.1764,0.9784,0.2989,no,no
W50,0.5,0.3895,0.5324,0.4498,no,no
W50,0.6,1.0,0.0144,0.0284,no,no
W50,0.7,0.0,0.0,0.0,no,no
W50,0.8,0.0,0.0,0.0,no,no
W75,0.2,0.1501,1.0,0.261,no,no
W75,0.3,0.1501,1.0,0.261,no,no
W75,0.4,0.1853,0.9784,0.3116,no,no
W75,0.5,0.3855,0.4964,0.434,no,no
W75,0.6,1.0,0.0216,0.0423,no,no
W75,0.7,0.0,0.0,0.0,no,no
W75,0.8,0.0,0.0,0.0,no,no
