weight_setting,class_label,support,precision,recall,f1
W100,aggressive,139,0.4104,0.5108,0.4551
W100,affiliative,427,0.5928,0.6136,0.603
W100,self-enhancing,321,0.5018,0.4424,0.4702
W100,self-defeating,39,0.1786,0.1282,0.1493
W25,aggressive,139,0.3622,0.482,0.4136
W25,affiliative,427,0.588,0.5714,0.5796
W25,self-enhancing,321,0.461,0.4424,0.4515
W25,self-defeating,39,0.2222,0.1026,0.1404
W50,aggressive,139,0.3692,0.518,0.4311
W50,affiliative,427,0.5871,0.5761,0.5816
W50,self-enhancing,321,0.4774,0.4268,0.4507
W50,self-defeating,39,0.16,0.1026,0.125
W75,aggressive,139,0.3946,0.5252,0.4506
W75,affiliative,427,0.5939,0.5925,0.5932
W75,self-enhancing,321,0.4931,0.4424,0.4663
W75,self-defeating,39,0.1852,0.1282,0.1515
