seed,class_weight,source,n_rows,macro_f1,weighted_f1,accuracy
0,None,batch1_fortune100,92,0.3641,0.3759,0.3804
0,None,wendys_human_type,64,0.3169,0.3607,0.3438
0,balanced,batch1_fortune100,92,0.389,0.406,0.413
0,balanced,wendys_human_type,64,0.3566,0.3957,0.375
1,None,batch1_fortune100,94,0.3443,0.3345,0.3511
1,None,wendys_human_type,62,0.3224,0.3688,0.3548
1,balanced,batch1_fortune100,94,0.4009,0.3963,0.3936
1,balanced,wendys_human_type,62,0.2943,0.3497,0.3387
2,None,batch1_fortune100,92,0.2903,0.2964,0.2935
2,None,wendys_human_type,64,0.2308,0.2394,0.2344
2,balanced,batch1_fortune100,92,0.2845,0.2898,0.2826
2,balanced,wendys_human_type,64,0.2838,0.3164,0.2969
3,None,batch1_fortune100,95,0.4131,0.4336,0.4421
3,None,wendys_human_type,61,0.2346,0.2759,0.2623
3,balanced,batch1_fortune100,95,0.4054,0.4355,0.4421
3,balanced,wendys_human_type,61,0.2535,0.29,0.2787
4,None,batch1_fortune100,109,0.3848,0.4013,0.4128
4,None,wendys_human_type,47,0.1323,0.15,0.1489
4,balanced,batch1_fortune100,109,0.4147,0.4228,0.4312
4,balanced,wendys_human_type,47,0.1486,0.1765,0.1702
5,None,batch1_fortune100,103,0.3281,0.3555,0.3592
5,None,wendys_human_type,53,0.1857,0.2782,0.2642
5,balanced,batch1_fortune100,103,0.3729,0.3953,0.3981
5,balanced,wendys_human_type,53,0.1833,0.2737,0.2642
6,None,batch1_fortune100,92,0.3347,0.3499,0.3696
6,None,wendys_human_type,64,0.3254,0.351,0.3438
6,balanced,batch1_fortune100,92,0.2775,0.2937,0.3152
6,balanced,wendys_human_type,64,0.3567,0.383,0.375
7,None,batch1_fortune100,102,0.346,0.3677,0.3824
7,None,wendys_human_type,54,0.4194,0.4636,0.4444
7,balanced,batch1_fortune100,102,0.37,0.3924,0.402
7,balanced,wendys_human_type,54,0.3762,0.4057,0.3889
8,None,batch1_fortune100,98,0.4491,0.4808,0.4796
8,None,wendys_human_type,58,0.3283,0.3708,0.3621
8,balanced,batch1_fortune100,98,0.4693,0.4892,0.4898
8,balanced,wendys_human_type,58,0.242,0.2719,0.2586
9,None,batch1_fortune100,96,0.4008,0.412,0.4271
9,None,wendys_human_type,60,0.3564,0.3815,0.3667
9,balanced,batch1_fortune100,96,0.385,0.4016,0.4167
9,balanced,wendys_human_type,60,0.3851,0.4078,0.4
10,None,batch1_fortune100,103,0.3785,0.4331,0.4369
10,None,wendys_human_type,53,0.2442,0.2059,0.2264
10,balanced,batch1_fortune100,103,0.3561,0.4265,0.4272
10,balanced,wendys_human_type,53,0.2661,0.2624,0.2642
11,None,batch1_fortune100,101,0.4036,0.4387,0.4356
11,None,wendys_human_type,55,0.2549,0.3334,0.3091
11,balanced,batch1_fortune100,101,0.3916,0.4403,0.4356
11,balanced,wendys_human_type,55,0.2652,0.3516,0.3273
12,None,batch1_fortune100,97,0.3297,0.3661,0.3608
12,None,wendys_human_type,59,0.3201,0.399,0.3898
12,balanced,batch1_fortune100,97,0.3309,0.3641,0.3608
12,balanced,wendys_human_type,59,0.2988,0.3608,0.3559
13,None,batch1_fortune100,94,0.4072,0.4651,0.4681
13,None,wendys_human_type,62,0.313,0.316,0.3226
13,balanced,batch1_fortune100,94,0.4009,0.4596,0.4574
13,balanced,wendys_human_type,62,0.3351,0.3542,0.3548
14,None,batch1_fortune100,99,0.3858,0.4102,0.4242
14,None,wendys_human_type,57,0.3555,0.3871,0.386
14,balanced,batch1_fortune100,99,0.3932,0.417,0.4343
14,balanced,wendys_human_type,57,0.2991,0.325,0.3158
15,None,batch1_fortune100,104,0.3731,0.3849,0.3846
15,None,wendys_human_type,52,0.2435,0.3367,0.3077
15,balanced,batch1_fortune100,104,0.3777,0.3862,0.3846
15,balanced,wendys_human_type,52,0.2549,0.3474,0.3077
16,None,batch1_fortune100,99,0.3328,0.3323,0.3333
16,None,wendys_human_type,57,0.3702,0.4383,0.4211
16,balanced,batch1_fortune100,99,0.3369,0.3419,0.3434
16,balanced,wendys_human_type,57,0.369,0.4376,0.4211
17,None,batch1_fortune100,95,0.2939,0.342,0.3474
17,None,wendys_human_type,61,0.3556,0.4357,0.4098
17,balanced,batch1_fortune100,95,0.2911,0.3363,0.3368
17,balanced,wendys_human_type,61,0.3556,0.4222,0.3934
18,None,batch1_fortune100,92,0.3595,0.3865,0.3913
18,None,wendys_human_type,64,0.3068,0.3857,0.375
18,balanced,batch1_fortune100,92,0.3478,0.3884,0.3913
18,balanced,wendys_human_type,64,0.2809,0.3672,0.3594
