seed,class_weight,class_label,diagnostic_token,feature,weight,rank_abs_weight,leakage_flag
0,None,aggressive,wendy,word__wendysspicynuggs,-0.035173,1,FAIL
0,None,aggressive,wendy,word__me wendy,0.024375,2,FAIL
0,None,aggressive,wendy,word__wendy,-0.010044,3,FAIL
0,None,aggressive,wendy,word__the wendy,-0.005848,4,FAIL
0,None,aggressive,wendy,word__wendy app,-0.005848,5,FAIL
0,None,aggressive,wendys,word__wendysspicynuggs,-0.035173,1,FAIL
0,None,aggressive,frosty,word__frosty,0.038529,1,FAIL
0,None,aggressive,frosty,word__mints frosty,0.023874,2,FAIL
0,None,aggressive,baconator,word__baconator,-0.025241,1,FAIL
0,None,aggressive,baconator,word__breakfast baconator,0.002206,2,FAIL
0,None,aggressive,nuggs,word__nuggs,-0.051277,1,FAIL
0,None,aggressive,nuggs,word__spicy nuggs,-0.043829,2,FAIL
0,None,aggressive,nuggs,word__wendysspicynuggs,-0.035173,3,FAIL
0,None,aggressive,nuggs,char__nuggs,-0.023927,4,FAIL
0,None,aggressive,roast,word__nationalroastday,0.138862,1,FAIL
0,None,aggressive,roast,char__roast,0.056663,2,FAIL
0,None,aggressive,roast,word__roasting,0.044618,3,FAIL
0,None,aggressive,roast,word__roast me,0.032563,4,FAIL
0,None,aggressive,roast,word__roast,0.03239,5,FAIL
0,balanced,aggressive,wendy,word__wendysspicynuggs,-0.035173,1,FAIL
0,balanced,aggressive,wendy,word__me wendy,0.024375,2,FAIL
0,balanced,aggressive,wendy,word__wendy,-0.010044,3,FAIL
0,balanced,aggressive,wendy,word__the wendy,-0.005848,4,FAIL
0,balanced,aggressive,wendy,word__wendy app,-0.005848,5,FAIL
0,balanced,aggressive,wendys,word__wendysspicynuggs,-0.035173,1,FAIL
0,balanced,aggressive,frosty,word__frosty,0.038529,1,FAIL
0,balanced,aggressive,frosty,word__mints frosty,0.023874,2,FAIL
0,balanced,aggressive,baconator,word__baconator,-0.025241,1,FAIL
0,balanced,aggressive,baconator,word__breakfast baconator,0.002206,2,FAIL
0,balanced,aggressive,nuggs,word__nuggs,-0.051277,1,FAIL
0,balanced,aggressive,nuggs,word__spicy nuggs,-0.043829,2,FAIL
0,balanced,aggressive,nuggs,word__wendysspicynuggs,-0.035173,3,FAIL
0,balanced,aggressive,nuggs,char__nuggs,-0.023927,4,FAIL
0,balanced,aggressive,roast,word__nationalroastday,0.138862,1,FAIL
0,balanced,aggressive,roast,char__roast,0.056663,2,FAIL
0,balanced,aggressive,roast,word__roasting,0.044618,3,FAIL
0,balanced,aggressive,roast,word__roast me,0.032563,4,FAIL
0,balanced,aggressive,roast,word__roast,0.03239,5,FAIL
1,None,aggressive,wendy,word__wendy,-0.039065,1,FAIL
1,None,aggressive,wendy,word__the wendy,-0.035977,2,FAIL
1,None,aggressive,wendy,word__wendy app,-0.035977,3,FAIL
1,None,aggressive,wendy,word__me wendy,0.023096,4,FAIL
1,None,aggressive,wendy,char__wendy,-0.011888,5,FAIL
1,None,aggressive,frosty,word__mints frosty,0.023295,1,FAIL
1,None,aggressive,frosty,word__frosty,-0.006414,2,FAIL
1,None,aggressive,baconator,word__baconator,-0.017179,1,FAIL
1,None,aggressive,roast,word__nationalroastday,0.125447,1,FAIL
1,None,aggressive,roast,char__roast,0.058176,2,FAIL
1,None,aggressive,roast,word__roasting,0.042898,3,FAIL
1,None,aggressive,roast,word__roast,0.032262,4,FAIL
1,None,aggressive,roast,word__roast me,0.030995,5,FAIL
1,balanced,aggressive,wendy,word__wendy,-0.039065,1,FAIL
1,balanced,aggressive,wendy,word__the wendy,-0.035977,2,FAIL
1,balanced,aggressive,wendy,word__wendy app,-0.035977,3,FAIL
1,balanced,aggressive,wendy,word__me wendy,0.023096,4,FAIL
1,balanced,aggressive,wendy,char__wendy,-0.011888,5,FAIL
1,balanced,aggressive,frosty,word__mints frosty,0.023295,1,FAIL
1,balanced,aggressive,frosty,word__frosty,-0.006414,2,FAIL
1,balanced,aggressive,baconator,word__baconator,-0.017179,1,FAIL
1,balanced,aggressive,roast,word__nationalroastday,0.125447,1,FAIL
1,balanced,aggressive,roast,char__roast,0.058176,2,FAIL
1,balanced,aggressive,roast,word__roasting,0.042898,3,FAIL
1,balanced,aggressive,roast,word__roast,0.032262,4,FAIL
1,balanced,aggressive,roast,word__roast me,0.030995,5,FAIL
2,None,aggressive,wendy,word__wendy,-0.046531,1,FAIL
2,None,aggressive,wendy,word__that wendy,-0.024702,2,FAIL
2,None,aggressive,wendy,word__me wendy,0.024054,3,FAIL
2,None,aggressive,wendy,char__wendy,-0.020141,4,FAIL
2,None,aggressive,wendy,word__wendys,0.008101,5,FAIL
2,None,aggressive,wendys,word__wendys,0.008101,1,FAIL
2,None,aggressive,frosty,word__frosty,0.024865,1,FAIL
2,None,aggressive,frosty,word__mints frosty,0.024004,2,FAIL
2,None,aggressive,baconator,word__baconator,-0.042368,1,FAIL
2,None,aggressive,baconator,word__breakfast baconator,0.001574,2,FAIL
2,None,aggressive,roast,word__nationalroastday,0.127517,1,FAIL
2,None,aggressive,roast,char__roast,0.047467,2,FAIL
2,None,aggressive,roast,word__roasting,0.04522,3,FAIL
2,None,aggressive,roast,word__roast me,0.032258,4,FAIL
2,None,aggressive,roast,word__roasted,-0.026783,5,FAIL
2,balanced,aggressive,wendy,word__wendy,-0.046531,1,FAIL
2,balanced,aggressive,wendy,word__that wendy,-0.024702,2,FAIL
2,balanced,aggressive,wendy,word__me wendy,0.024054,3,FAIL
2,balanced,aggressive,wendy,char__wendy,-0.020141,4,FAIL
2,balanced,aggressive,wendy,word__wendys,0.008101,5,FAIL
2,balanced,aggressive,wendys,word__wendys,0.008101,1,FAIL
2,balanced,aggressive,frosty,word__frosty,0.024865,1,FAIL
2,balanced,aggressive,frosty,word__mints frosty,0.024004,2,FAIL
2,balanced,aggressive,baconator,word__baconator,-0.042368,1,FAIL
2,balanced,aggressive,baconator,word__breakfast baconator,0.001574,2,FAIL
2,balanced,aggressive,roast,word__nationalroastday,0.127517,1,FAIL
2,balanced,aggressive,roast,char__roast,0.047467,2,FAIL
2,balanced,aggressive,roast,word__roasting,0.04522,3,FAIL
2,balanced,aggressive,roast,word__roast me,0.032258,4,FAIL
2,balanced,aggressive,roast,word__roasted,-0.026783,5,FAIL
3,None,aggressive,wendy,word__to wendy,-0.032281,1,FAIL
3,None,aggressive,wendy,word__me wendy,0.022615,2,FAIL
3,None,aggressive,wendy,word__wendy,-0.012077,3,FAIL
3,None,aggressive,wendy,char__wendy,-0.004882,4,FAIL
3,None,aggressive,wendy,word__the wendy,0.002197,5,FAIL
3,None,aggressive,frosty,word__mints frosty,0.02406,1,FAIL
3,None,aggressive,frosty,word__frosty,0.018732,2,FAIL
3,None,aggressive,baconator,word__baconator,-0.01566,1,FAIL
3,None,aggressive,baconator,word__breakfast baconator,-0.005571,2,FAIL
3,None,aggressive,roast,word__nationalroastday,0.13727,1,FAIL
3,None,aggressive,roast,char__roast,0.060422,2,FAIL
3,None,aggressive,roast,word__roasting,0.045111,3,FAIL
3,None,aggressive,roast,word__roast,0.042124,4,FAIL
3,None,aggressive,roast,word__roast me,0.031334,5,FAIL
3,balanced,aggressive,wendy,word__to wendy,-0.032281,1,FAIL
3,balanced,aggressive,wendy,word__me wendy,0.022615,2,FAIL
3,balanced,aggressive,wendy,word__wendy,-0.012077,3,FAIL
3,balanced,aggressive,wendy,char__wendy,-0.004882,4,FAIL
3,balanced,aggressive,wendy,word__the wendy,0.002197,5,FAIL
3,balanced,aggressive,frosty,word__mints frosty,0.02406,1,FAIL
3,balanced,aggressive,frosty,word__frosty,0.018732,2,FAIL
3,balanced,aggressive,baconator,word__baconator,-0.01566,1,FAIL
3,balanced,aggressive,baconator,word__breakfast baconator,-0.005571,2,FAIL
3,balanced,aggressive,roast,word__nationalroastday,0.13727,1,FAIL
3,balanced,aggressive,roast,char__roast,0.060422,2,FAIL
3,balanced,aggressive,roast,word__roasting,0.045111,3,FAIL
3,balanced,aggressive,roast,word__roast,0.042124,4,FAIL
3,balanced,aggressive,roast,word__roast me,0.031334,5,FAIL
4,None,aggressive,wendy,word__wendy,0.024466,1,FAIL
4,None,aggressive,wendy,word__me wendy,0.022156,2,FAIL
4,None,aggressive,wendy,word__the wendy,-0.014866,3,FAIL
4,None,aggressive,wendy,word__wendy app,-0.014866,4,FAIL
4,None,aggressive,wendy,char__wendy,0.00559,5,FAIL
4,None,aggressive,wendys,word__wendys,0.003415,1,FAIL
4,None,aggressive,frosty,word__mints frosty,0.025115,1,FAIL
4,None,aggressive,frosty,word__frosty,0.002421,2,FAIL
4,None,aggressive,roast,word__nationalroastday,0.127228,1,FAIL
4,None,aggressive,roast,char__roast,0.04727,2,FAIL
4,None,aggressive,roast,word__roasting,0.044076,3,FAIL
4,None,aggressive,roast,word__roast me,0.030922,4,FAIL
4,None,aggressive,roast,word__roast,0.008943,5,FAIL
4,balanced,aggressive,wendy,word__wendy,0.024466,1,FAIL
4,balanced,aggressive,wendy,word__me wendy,0.022156,2,FAIL
4,balanced,aggressive,wendy,word__the wendy,-0.014866,3,FAIL
4,balanced,aggressive,wendy,word__wendy app,-0.014866,4,FAIL
4,balanced,aggressive,wendy,char__wendy,0.00559,5,FAIL
4,balanced,aggressive,wendys,word__wendys,0.003415,1,FAIL
4,balanced,aggressive,frosty,word__mints frosty,0.025115,1,FAIL
4,balanced,aggressive,frosty,word__frosty,0.002421,2,FAIL
4,balanced,aggressive,roast,word__nationalroastday,0.127228,1,FAIL
4,balanced,aggressive,roast,char__roast,0.04727,2,FAIL
4,balanced,aggressive,roast,word__roasting,0.044076,3,FAIL
4,balanced,aggressive,roast,word__roast me,0.030922,4,FAIL
4,balanced,aggressive,roast,word__roast,0.008943,5,FAIL
5,None,aggressive,wendy,word__me wendy,0.021893,1,FAIL
5,None,aggressive,wendy,word__wendy,-0.009167,2,FAIL
5,None,aggressive,wendy,word__the wendy,-0.004329,3,FAIL
5,None,aggressive,wendy,word__wendy app,-0.004329,4,FAIL
5,None,aggressive,wendy,char__wendy,0.000971,5,FAIL
5,None,aggressive,frosty,word__mints frosty,0.023846,1,FAIL
5,None,aggressive,frosty,word__frosty,-0.00273,2,FAIL
5,None,aggressive,baconator,word__baconator,0.001809,1,FAIL
5,None,aggressive,baconator,word__breakfast baconator,0.001809,2,FAIL
5,None,aggressive,roast,word__nationalroastday,0.127476,1,FAIL
5,None,aggressive,roast,char__roast,0.055615,2,FAIL
5,None,aggressive,roast,word__roasting,0.042179,3,FAIL
5,None,aggressive,roast,word__roast,0.032465,4,FAIL
5,None,aggressive,roast,word__roast me,0.029948,5,FAIL
5,balanced,aggressive,wendy,word__me wendy,0.021893,1,FAIL
5,balanced,aggressive,wendy,word__wendy,-0.009167,2,FAIL
5,balanced,aggressive,wendy,word__the wendy,-0.004329,3,FAIL
5,balanced,aggressive,wendy,word__wendy app,-0.004329,4,FAIL
5,balanced,aggressive,wendy,char__wendy,0.000971,5,FAIL
5,balanced,aggressive,frosty,word__mints frosty,0.023846,1,FAIL
5,balanced,aggressive,frosty,word__frosty,-0.00273,2,FAIL
5,balanced,aggressive,baconator,word__baconator,0.001809,1,FAIL
5,balanced,aggressive,baconator,word__breakfast baconator,0.001809,2,FAIL
5,balanced,aggressive,roast,word__nationalroastday,0.127476,1,FAIL
5,balanced,aggressive,roast,char__roast,0.055615,2,FAIL
5,balanced,aggressive,roast,word__roasting,0.042179,3,FAIL
5,balanced,aggressive,roast,word__roast,0.032465,4,FAIL
5,balanced,aggressive,roast,word__roast me,0.029948,5,FAIL
6,None,aggressive,wendy,word__wendy is,-0.037551,1,FAIL
6,None,aggressive,wendy,word__wendy,-0.032097,2,FAIL
6,None,aggressive,wendy,word__wendy new,-0.025062,3,FAIL
6,None,aggressive,wendy,word__me wendy,0.023324,4,FAIL
6,None,aggressive,wendy,word__to wendy,-0.018478,5,FAIL
6,None,aggressive,frosty,word__frosty,0.025037,1,FAIL
6,None,aggressive,frosty,word__mints frosty,0.024156,2,FAIL
6,None,aggressive,baconator,word__baconator with,-0.018478,1,FAIL
6,None,aggressive,baconator,word__baconator,-0.01212,2,FAIL
6,None,aggressive,baconator,word__breakfast baconator,-0.005605,3,FAIL
6,None,aggressive,nuggs,word__nuggs,-0.030969,1,FAIL
6,None,aggressive,nuggs,char__nuggs,-0.012125,2,FAIL
6,None,aggressive,roast,word__nationalroastday,0.139354,1,FAIL
6,None,aggressive,roast,char__roast,0.064233,2,FAIL
6,None,aggressive,roast,word__roast,0.044427,3,FAIL
6,None,aggressive,roast,word__roasting,0.043595,4,FAIL
6,None,aggressive,roast,word__roast me,0.032277,5,FAIL
6,balanced,aggressive,wendy,word__wendy is,-0.037551,1,FAIL
6,balanced,aggressive,wendy,word__wendy,-0.032097,2,FAIL
6,balanced,aggressive,wendy,word__wendy new,-0.025062,3,FAIL
