model_id,eval_scope,actual_label,predicted_label,count
aggressive_detector_a_batch1_only,all_training_rows,other_humor,other_humor,581
aggressive_detector_a_batch1_only,all_training_rows,other_humor,aggressive,23
aggressive_detector_a_batch1_only,all_training_rows,aggressive,other_humor,37
aggressive_detector_a_batch1_only,all_training_rows,aggressive,aggressive,7
aggressive_detector_b_batch1_plus_wendys_human,all_training_rows,other_humor,other_humor,690
aggressive_detector_b_batch1_plus_wendys_human,all_training_rows,other_humor,aggressive,97
aggressive_detector_b_batch1_plus_wendys_human,all_training_rows,aggressive,other_humor,71
aggressive_detector_b_batch1_plus_wendys_human,all_training_rows,aggressive,aggressive,68
aggressive_detector_a_batch1_only,train_batch1_test_wendys,other_humor,other_humor,155
aggressive_detector_a_batch1_only,train_batch1_test_wendys,other_humor,aggressive,28
aggressive_detector_a_batch1_only,train_batch1_test_wendys,aggressive,other_humor,74
aggressive_detector_a_batch1_only,train_batch1_test_wendys,aggressive,aggressive,21
aggressive_detector_b_wendys_only,train_wendys_test_batch1,other_humor,other_humor,437
aggressive_detector_b_wendys_only,train_wendys_test_batch1,other_humor,aggressive,167
aggressive_detector_b_wendys_only,train_wendys_test_batch1,aggressive,other_humor,23
aggressive_detector_b_wendys_only,train_wendys_test_batch1,aggressive,aggressive,21
