model_id,rank,feature,weight
aggressive_detector_b,1,word__nationalroastday,0.329476
aggressive_detector_b,2,word__should,0.251824
aggressive_detector_b,3,char__nal,0.178921
aggressive_detector_b,4,char__onal,0.173239
aggressive_detector_b,5,char__oast,0.17124
aggressive_detector_b,6,char__oas,0.17124
aggressive_detector_b,7,word__drop,0.170775
aggressive_detector_b,8,char__uld,0.168098
aggressive_detector_b,9,char__ould,0.168098
aggressive_detector_b,10,char__oul,0.16571
aggressive_detector_b,11,word__if,0.164862
aggressive_detector_b,12,char__roas,0.163052
aggressive_detector_b,13,char__roast,0.163052
aggressive_detector_b,14,word__where the,0.158473
aggressive_detector_b,15,word__mid,0.15789
aggressive_detector_b,16,word__egg,0.157204
aggressive_detector_b,17,char__ona,0.156644
aggressive_detector_b,18,char__alr,0.156542
aggressive_detector_b,19,char__hou,0.153344
aggressive_detector_b,20,word__ban,0.153063
aggressive_detector_b,21,word__hair,0.152743
aggressive_detector_b,22,word__me,0.15124
aggressive_detector_b,23,word__not,0.150852
aggressive_detector_b,24,word__but,0.146192
aggressive_detector_b,25,word__that,0.145562
aggressive_detector_b,26,word__dogs,0.145154
aggressive_detector_b,27,word__beef,0.143681
aggressive_detector_b,28,word__his,0.143466
aggressive_detector_b,29,char__burge,0.14222
aggressive_detector_b,30,char__urger,0.14222
aggressive_detector_b,31,char__ger,0.141095
aggressive_detector_b,32,char__alroa,0.140368
aggressive_detector_b,33,char__astda,0.140368
aggressive_detector_b,34,char__lroa,0.140368
aggressive_detector_b,35,char__lroas,0.140368
aggressive_detector_b,36,char__lro,0.140368
aggressive_detector_b,37,char__astd,0.140368
aggressive_detector_b,38,char__alro,0.140368
aggressive_detector_b,39,char__nalro,0.140368
aggressive_detector_b,40,char__oastd,0.140368
aggressive_detector_b,41,word__they,0.138795
aggressive_detector_b,42,char__urge,0.138256
aggressive_detector_b,43,word__would,0.137648
aggressive_detector_b,44,word__burgers,0.137228
aggressive_detector_b,45,char__burg,0.136991
aggressive_detector_b,46,char__roa,0.136749
aggressive_detector_b,47,word__the beef,0.135389
aggressive_detector_b,48,char__rger,0.135031
aggressive_detector_b,49,char__nalr,0.13478
aggressive_detector_b,50,char__onalr,0.13478
