metric,layer,v1,v2,v3,v1_to_v2,v2_to_v3,v1_to_v3
valid_binary_n,presence,2480,3077,3574,+597.0000,+497.0000,+1094.0000
accuracy,presence,0.7347,0.714,0.7082,-0.0207,-0.0058,-0.0265
precision,presence,0.6713,0.6559,0.6236,-0.0154,-0.0323,-0.0477
recall,presence,0.705,0.7186,0.6995,+0.0136,-0.0191,-0.0055
f1,presence,0.6874,0.6857,0.659,-0.0017,-0.0267,-0.0284
auc,presence,0.8008,0.7769,0.777,-0.0239,+0.0001,-0.0238
type_n,type,1027,1305,1410,+278.0000,+105.0000,+383.0000
macro_f1,type,0.3729,0.3749,0.3738,+0.0020,-0.0011,+0.0009
weighted_f1,type,0.5319,0.5074,0.519,-0.0245,+0.0116,-0.0129
overall_acc,type,0.5404,0.5111,0.5213,-0.0293,+0.0102,-0.0191
aggressive_precision,type,0.25,0.3016,0.2986,+0.0516,-0.0030,+0.0486
aggressive_recall,type,0.2,0.3257,0.3481,+0.1257,+0.0224,+0.1481
aggressive_f1,type,0.2222,0.3132,0.3214,+0.0910,+0.0082,+0.0992
self_defeating_precision,type,0.3,0.1429,0.0769,-0.1571,-0.0660,-0.2231
self_defeating_recall,type,0.0882,0.0612,0.0377,-0.0270,-0.0235,-0.0505
self_defeating_f1,type,0.1364,0.0857,0.0506,-0.0507,-0.0351,-0.0858
