row_id,source,original_file,company_name,candidate_id,tweet_id,tweet_url,status_id,created_at,text,text_hash,normalized_label,label_name,original_presence_value,original_type_value,label_source_detail,dedupe_key
training_v2_00001,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Enterprise Products Partners,C00001,1683501294936547329,https://x.com/eprod_careers/status/1683501294936547329,1683501294936547329,Mon Jul 24 15:36:01 +0000 2023,"Enterprise Products is the name to know in energy…and we want to know more about what would make you a great Specialist, Lead Systems. Apply today! https://t.co/G3efLVwvgo",5ea17810891e02c16f2e,0,non-humorous,0,,pending,status_id:1683501294936547329
training_v2_00002,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Walmart,C00002,1943342199376072745,https://x.com/walmart/status/1943342199376072745,1943342199376072745,Thu Jul 10 16:11:00 +0000 2025,you'll like the way you frolic i guarantee it https://t.co/DM4YpxS6bx,72d1a400c35eaf727810,3,self-enhancing,1,3,pending,status_id:1943342199376072745
training_v2_00003,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,UPS,C00003,2046941398427951253,https://x.com/ups/status/2046941398427951253,2046941398427951253,Wed Apr 22 13:17:14 +0000 2026,RT @UPS_News: UPS expands Happy Returns network to capture more of the $706 billion U.S. returns market and boost higher-margin logistics s…,70ed009b51ea5e4ba755,0,non-humorous,0,,pending,status_id:2046941398427951253
training_v2_00004,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,United Airlines Holdings,C00004,1782818909734813760,https://x.com/united/status/1782818909734813760,1782818909734813760,Tue Apr 23 17:08:45 +0000 2024,"That friend who decided now she's ""boho desert."" Not pictured: the big hat https://t.co/tGH3nmcpUm",f5c65fa28e28d0c748f4,1,aggressive,1,1,pending,status_id:1782818909734813760
training_v2_00005,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Elevance Health,C00005,1560235442615771136,https://x.com/elevancehealth/status/1560235442615771136,1560235442615771136,Thu Aug 18 12:01:31 +0000 2022,"Our health is impacted not only by physical and behavioral drivers, but by social factors as well. We call these the social drivers of health rather than social “determinants.” Find out why: #SDOH #WholeHealth https://t.co/CWGD4Z45BS https://t.co/eoFgVkhqih",dbfc2d8a3cd1dcc92e29,0,non-humorous,0,,pending,status_id:1560235442615771136
training_v2_00006,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Uber Technologies,C00006,1772317644298821840,https://x.com/uber/status/1772317644298821840,1772317644298821840,Mon Mar 25 17:40:29 +0000 2024,In a strange turn of events i think my uber driver wants ME to stop talking. 😤,841286fc5a888dfadf05,4,self-defeating,1,4,pending,status_id:1772317644298821840
training_v2_00007,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Travelers,C00007,1645422942480728070,https://x.com/travelers/status/1645422942480728070,1645422942480728070,Mon Apr 10 13:46:14 +0000 2023,The @Travelers 2023 Risk Index on Distracted Driving says that 70% of survey participants believe distracted driving is a bigger issue now compared to only a few years ago. https://t.co/zXuAJliXL9 #autoinsurance #distracteddriving #insurtech,01098a4e15f220036bc0,0,non-humorous,0,,pending,status_id:1645422942480728070
training_v2_00008,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Cigna Group,C00008,1460346272334991365,https://x.com/cigna/status/1460346272334991365,1460346272334991365,Mon Nov 15 20:37:37 +0000 2021,"For the fifth straight year, Cigna has been recognized as a global industry leader in corporate sustainability by Dow Jones. Learn more about how we’re bringing our mission to life with Cigna Connects. https://t.co/ZHUIOcr3Tl #CignaNews https://t.co/TETTEFb8I6",c9e616a1ac6b8336390d,0,non-humorous,0,,pending,status_id:1460346272334991365
training_v2_00009,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Merck,C00009,1370119419280646144,https://x.com/merck/status/1370119419280646144,1370119419280646144,Thu Mar 11 21:08:19 +0000 2021,RT @JNJNews: #JNJ is honored to collaborate with @Merck and the Biden Administration to ramp up production and manufacturing of the Johnson…,bb1f7cfbdb2654be7b5c,0,non-humorous,0,,pending,status_id:1370119419280646144
training_v2_00010,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,IBM,C00010,2046349314394353859,https://x.com/ibm/status/2046349314394353859,2046349314394353859,Mon Apr 20 22:04:30 +0000 2026,DYK @IBM won the 2026 Adobe Customer Experience Orchestration AI Technology Partner of the Year award and @ibmconsulting Western Europe was named the 2026 Adobe CXO Partner of the Year. https://t.co/UAHmWGGXVq Attending #AdobeSummit? Congratulate the team. See you there. https://t.co/l9tvP2DU80,3c65fdb1a6932fd0f719,3,self-enhancing,1,3,pending,status_id:2046349314394353859
training_v2_00011,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Centene,C00011,1633217475344224256,https://x.com/centene/status/1633217475344224256,1633217475344224256,Tue Mar 07 21:26:04 +0000 2023,Centene addresses key risk factors of heart disease and empowers members to develop healthy lifestyle habits to help prevent heart disease. Learn more. https://t.co/HzpGckffdl #HeartMonth https://t.co/MKpTvyGSx3,ab43f8ccf1b4dfd17c23,0,non-humorous,0,,pending,status_id:1633217475344224256
training_v2_00012,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Liberty Mutual Insurance Group,C00012,1111742329948438528,https://x.com/libertymutual/status/1111742329948438528,1111742329948438528,Fri Mar 29 21:30:01 +0000 2019,"Meet the biggest thing to hit insurance since collision coverage: LiMu Emu and Doug. Saving people from overpaying for insurance, one customized policy at a time. https://t.co/uAGS85e7d9",bfba3b6c24a6480801aa,3,self-enhancing,1,3,pending,status_id:1111742329948438528
