fortune_rank,company_name,normalized_company_name,raw_folder,posts_csv_exists,posts_csv_non_empty,post_count,collection_status,collection_error_type,collection_error_message,attempted,official_x_handle,final_manual_account_status,final_manual_scrape_eligible
1,Amazon,amazon,data/raw/fortune_x_2025_ranked/001_amazon,true,true,1086,success,,,true,@amazon,confirmed_candidate_official,true
2,Walmart,walmart,data/raw/fortune_x_2025_ranked/002_walmart,true,true,842,success,,,true,@walmart,confirmed_candidate_official,true
3,UnitedHealth Group,unitedhealth_group,data/raw/fortune_x_2025_ranked/003_unitedhealth_group,true,true,155,success,,,true,@UnitedHealthGrp,candidate_rejected_alternate_found,true
4,Apple,apple,data/raw/fortune_x_2025_ranked/004_apple,true,false,0,no_observable_posts,manual_no_observable_posts,manual review confirmed zero observable public posts,true,@apple,confirmed_candidate_official,true
5,Alphabet,alphabet,data/raw/fortune_x_2025_ranked/005_alphabet,true,true,477,success,,,true,@Alphabetlnc,candidate_rejected_alternate_found,true
6,CVS Health,cvs_health,data/raw/fortune_x_2025_ranked/006_cvs_health,true,true,574,success,,,true,@cvshealth,confirmed_candidate_official,true
7,Berkshire Hathaway,berkshire_hathaway,data/raw/fortune_x_2025_ranked/007_berkshire_hathaway,true,false,0,no_observable_posts,no_observable_posts,profile loaded but no observable posts were collected,true,@berkshire,candidate_rejected_alternate_found,true
8,McKesson,mckesson,data/raw/fortune_x_2025_ranked/008_mckesson,true,true,840,success,,,true,@mckesson,confirmed_candidate_official,true
9,Exxon Mobil,exxon_mobil,data/raw/fortune_x_2025_ranked/009_exxon_mobil,true,true,582,success,,,true,@exxonmobil,confirmed_candidate_official,true
10,Cencora,cencora,data/raw/fortune_x_2025_ranked/010_cencora,true,true,479,success,,,true,@CencoraGlobal,candidate_rejected_alternate_found,true
11,Microsoft,microsoft,data/raw/fortune_x_2025_ranked/011_microsoft,true,true,666,success,,,true,@microsoft,confirmed_candidate_official,true
12,JPMorgan Chase,jpmorgan_chase,data/raw/fortune_x_2025_ranked/012_jpmorgan_chase,true,true,835,success,,,true,@jpmorgan,candidate_rejected_alternate_found,true
13,Costco Wholesale,costco_wholesale,data/raw/fortune_x_2025_ranked/013_costco_wholesale,true,false,0,no_observable_posts,no_observable_posts,profile loaded but no observable posts were collected,true,@Costco,candidate_rejected_alternate_found,true
14,Cigna Group,cigna_group,data/raw/fortune_x_2025_ranked/014_cigna_group,true,true,586,success,,,true,@TheCignaGroup,candidate_rejected_alternate_found,true
15,Cardinal Health,cardinal_health,data/raw/fortune_x_2025_ranked/015_cardinal_health,true,true,520,success,,,true,@cardinalhealth,confirmed_candidate_official,true
16,Nvidia,nvidia,data/raw/fortune_x_2025_ranked/016_nvidia,true,true,1129,success,,,true,@nvidia,confirmed_candidate_official,true
17,Meta Platforms,meta_platforms,data/raw/fortune_x_2025_ranked/017_meta_platforms,true,true,151,success,,,true,@Meta,candidate_rejected_alternate_found,true
18,Elevance Health,elevance_health,data/raw/fortune_x_2025_ranked/018_elevance_health,true,true,612,success,,,true,@elevancehealth,confirmed_candidate_official,true
19,Centene,centene,data/raw/fortune_x_2025_ranked/019_centene,true,true,465,success,,,true,@centene,confirmed_candidate_official,true
20,Bank of America,bank_of_america,data/raw/fortune_x_2025_ranked/020_bank_of_america,true,true,838,success,,,true,@bankofamerica,confirmed_candidate_official,true
21,Chevron,chevron,data/raw/fortune_x_2025_ranked/021_chevron,true,true,805,success,,,true,@chevron,confirmed_candidate_official,true
22,Ford Motor,ford_motor,data/raw/fortune_x_2025_ranked/022_ford_motor,true,true,1146,success,,,true,@Ford,candidate_rejected_alternate_found,true
23,General Motors,general_motors,data/raw/fortune_x_2025_ranked/023_general_motors,true,true,694,success,,,true,@GM,candidate_rejected_alternate_found,true
24,Citigroup,citigroup,data/raw/fortune_x_2025_ranked/024_citigroup,true,true,400,success,,,true,@Citi,candidate_rejected_alternate_found,true
