tweet_id,fortune_rank,company_name,source_x_handle,humor_presence,humor_presence_score,humor_type,humor_type_score,aggressive_humor,affiliative_humor,self_enhancing_humor,self_defeating_humor,non_humorous,classification_source,model_name,classification_confidence,classification_version
2042649109145031077,1,Amazon,@amazon,0,0.599638,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.599638,existing_data_derived_humor_full_chain
2042649987600023847,1,Amazon,@amazon,,0.639291,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.639291,existing_data_derived_humor_full_chain
1778788200770601324,1,Amazon,@amazon,0,0.431771,non_humorous,1.000000,0,0,0,0,1,ml,existing_repository_full_chain_classifier,0.568229,existing_data_derived_humor_full_chain
2045178512395632768,1,Amazon,@amazon,,0.647758,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.647758,existing_data_derived_humor_full_chain
2045192186929811600,1,Amazon,@amazon,,0.599252,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.599252,existing_data_derived_humor_full_chain
2045195735780519994,1,Amazon,@amazon,1,0.795586,self_enhancing,0.350000,0,0,1,0,0,ml,existing_repository_full_chain_classifier,0.795586,existing_data_derived_humor_full_chain
1913309419590566370,1,Amazon,@amazon,,0.642550,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.642550,existing_data_derived_humor_full_chain
2047648388112355411,1,Amazon,@amazon,0,0.479871,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.520129,existing_data_derived_humor_full_chain
2047652656382910807,1,Amazon,@amazon,1,0.706372,affiliative,0.350000,0,1,0,0,0,ml,existing_repository_full_chain_classifier,0.706372,existing_data_derived_humor_full_chain
2047653515762569236,1,Amazon,@amazon,1,0.698154,self_enhancing,0.350000,0,0,1,0,0,ml,existing_repository_full_chain_classifier,0.698154,existing_data_derived_humor_full_chain
2047739551930888515,1,Amazon,@amazon,,0.605755,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.605755,existing_data_derived_humor_full_chain
1783847280946126895,1,Amazon,@amazon,,0.613392,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.613392,existing_data_derived_humor_full_chain
1819387759712141457,1,Amazon,@amazon,,0.664698,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.664698,existing_data_derived_humor_full_chain
1821884578811842608,1,Amazon,@amazon,1,0.725014,affiliative,0.620000,0,1,0,0,0,ml,existing_repository_full_chain_classifier,0.725014,existing_data_derived_humor_full_chain
1961477118820552764,1,Amazon,@amazon,0,0.614367,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.614367,existing_data_derived_humor_full_chain
1730632960116744235,1,Amazon,@amazon,,0.634929,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.634929,existing_data_derived_humor_full_chain
1997053737383166126,1,Amazon,@amazon,1,0.711557,self_enhancing,0.350000,0,0,1,0,0,ml,existing_repository_full_chain_classifier,0.711557,existing_data_derived_humor_full_chain
1864854955229904926,1,Amazon,@amazon,,0.564639,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.564639,existing_data_derived_humor_full_chain
1733169625246904358,1,Amazon,@amazon,,0.617142,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.617142,existing_data_derived_humor_full_chain
1870129560450224330,1,Amazon,@amazon,,0.626192,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.626192,existing_data_derived_humor_full_chain
1738234443750408282,1,Amazon,@amazon,0,0.455386,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.544614,existing_data_derived_humor_full_chain
1740779748580606206,1,Amazon,@amazon,0,0.486784,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.513216,existing_data_derived_humor_full_chain
1753214612697423982,1,Amazon,@amazon,,0.806559,classification_missing,0.000000,0,0,0,0,0,rule_ml_conflict,existing_repository_full_chain_classifier,0.806559,existing_data_derived_humor_full_chain
