variable,agg,aff,se,sd,text_length,hashtag_count,mention_count,sample,intensity,intensity_sq,mean_tl,mean_ht,mean_mn,log_posts
agg,1.0,-0.0902,-0.0669,-0.0174,-0.1691,-0.0686,-0.0927,Full_sample,,,,,,
aff,-0.0902,1.0,-0.1578,-0.0411,-0.1369,0.0126,0.0608,Full_sample,,,,,,
se,-0.0669,-0.1578,1.0,-0.0305,-0.1041,-0.0587,-0.0844,Full_sample,,,,,,
sd,-0.0174,-0.0411,-0.0305,1.0,-0.0537,-0.0346,-0.0376,Full_sample,,,,,,
text_length,-0.1691,-0.1369,-0.1041,-0.0537,1.0,0.1887,0.0676,Full_sample,,,,,,
hashtag_count,-0.0686,0.0126,-0.0587,-0.0346,0.1887,1.0,0.0589,Full_sample,,,,,,
mention_count,-0.0927,0.0608,-0.0844,-0.0376,0.0676,0.0589,1.0,Full_sample,,,,,,
intensity,,,,,,,,FQ_Full,1.0,0.8389,-0.5559,-0.233,-0.2198,-0.0021
intensity_sq,,,,,,,,FQ_Full,0.8389,1.0,-0.3669,-0.1718,-0.1689,-0.0981
mean_tl,,,,,,,,FQ_Full,-0.5559,-0.3669,1.0,0.2686,0.1617,0.0534
mean_ht,,,,,,,,FQ_Full,-0.233,-0.1718,0.2686,1.0,0.2146,0.1455
mean_mn,,,,,,,,FQ_Full,-0.2198,-0.1689,0.1617,0.2146,1.0,0.0543
log_posts,,,,,,,,FQ_Full,-0.0021,-0.0981,0.0534,0.1455,0.0543,1.0
