sample,variable,n,mean,std,min,p25,median,p75,max
Full_sample,log_total_engagement,68039,3.5682,2.1297,0.0,2.0794,3.2581,4.7095,14.5824
Full_sample,aggressive_humor,68039,0.0368,0.1883,0.0,0.0,0.0,0.0,1.0
Full_sample,affiliative_humor,68039,0.1755,0.3804,0.0,0.0,0.0,0.0,1.0
Full_sample,self_enhancing_humor,68039,0.1048,0.3063,0.0,0.0,0.0,0.0,1.0
Full_sample,self_defeating_humor,68039,0.0079,0.0884,0.0,0.0,0.0,0.0,1.0
Full_sample,text_length,68039,194.5216,113.9288,1.0,133.0,187.0,263.0,5757.0
Full_sample,hashtag_count,68039,0.6427,0.9544,0.0,0.0,0.0,1.0,15.0
Full_sample,mention_count,68039,0.5991,0.9683,0.0,0.0,0.0,1.0,24.0
Human_coded,log_total_engagement,3074,4.438,2.9099,0.0,2.0794,3.9703,6.8824,13.7407
Human_coded,aggressive_humor,3074,0.0553,0.2286,0.0,0.0,0.0,0.0,1.0
Human_coded,affiliative_humor,3074,0.1845,0.3879,0.0,0.0,0.0,0.0,1.0
Human_coded,self_enhancing_humor,3074,0.1444,0.3516,0.0,0.0,0.0,0.0,1.0
Human_coded,self_defeating_humor,3074,0.0163,0.1265,0.0,0.0,0.0,0.0,1.0
Human_coded,text_length,3074,177.6171,154.1852,1.0,99.25,158.0,244.0,3904.0
Human_coded,hashtag_count,3074,0.5023,0.826,0.0,0.0,0.0,1.0,6.0
Human_coded,mention_count,3074,0.4733,0.8842,0.0,0.0,0.0,1.0,10.0
FQ_Full,mean_log_engagement,1420,3.7965,1.7508,0.0,2.3881,3.6488,4.7911,12.532
FQ_Full,aggressive_intensity,1420,0.0412,0.086,0.0,0.0,0.0,0.0373,1.0
FQ_Full,mean_text_length,1420,192.8452,56.6246,18.0,155.1607,201.328,231.7548,486.0
FQ_Full,mean_hashtag_count,1420,0.5818,0.5228,0.0,0.1595,0.4762,0.9118,3.5455
FQ_Full,mean_mention_count,1420,0.5472,0.4758,0.0,0.2078,0.5,0.7778,5.0
FQ_Full,log_total_posts,1420,3.3775,1.1304,0.6931,2.7726,3.5553,4.1744,6.6346
