variable,R2_in_aux,VIF,model
aggressive,0.062306,1.0664,Full_sample_Ctrl
affiliative,0.071554,1.0771,Full_sample_Ctrl
self_enhancing,0.061557,1.0656,Full_sample_Ctrl
self_defeating,0.01077,1.0109,Full_sample_Ctrl
text_length,0.106506,1.1192,Full_sample_Ctrl
hashtag_count,0.041608,1.0434,Full_sample_Ctrl
mention_count,0.023601,1.0242,Full_sample_Ctrl
aggressive,0.047598,1.05,Human_coded_Ctrl
affiliative,0.068259,1.0733,Human_coded_Ctrl
self_enhancing,0.058273,1.0619,Human_coded_Ctrl
self_defeating,0.014601,1.0148,Human_coded_Ctrl
text_length,0.058493,1.0621,Human_coded_Ctrl
hashtag_count,0.034883,1.0361,Human_coded_Ctrl
mention_count,0.026003,1.0267,Human_coded_Ctrl
AggressiveIntensity,0.786277,4.6789,Full_sample_H3_Ctrl
AggressiveIntensity_sq,0.729414,3.6957,Full_sample_H3_Ctrl
mean_text_length,0.364993,1.5748,Full_sample_H3_Ctrl
mean_hashtag_count,0.124597,1.1423,Full_sample_H3_Ctrl
mean_mention_count,0.078249,1.0849,Full_sample_H3_Ctrl
log_total_posts,0.063381,1.0677,Full_sample_H3_Ctrl
AggressiveIntensity,0.849304,6.6359,Human_coded_H3_Ctrl
AggressiveIntensity_sq,0.844141,6.4161,Human_coded_H3_Ctrl
mean_text_length,0.094259,1.1041,Human_coded_H3_Ctrl
mean_hashtag_count,0.057496,1.061,Human_coded_H3_Ctrl
mean_mention_count,0.027454,1.0282,Human_coded_H3_Ctrl
log_total_posts,0.129786,1.1491,Human_coded_H3_Ctrl
