metric,model1_simple_ols,model1_stars,model2_company_dum,model2_stars,model3_time_dum_ym,model3_stars,model4_controls,model4_stars
coef_aggressive,1.919804,***,0.324678,***,1.953347,***,1.855601,***
coef_affiliative,0.806469,***,0.178508,***,0.821607,***,0.821293,***
coef_self_enhancing,1.42973,***,0.249866,***,1.353559,***,1.392187,***
coef_self_defeating,2.168065,***,0.453933,***,2.267938,***,2.092413,***
H1,1.166525,***,0.224747,***,1.155238,***,1.15332,***
H2-1,0.849484,***,0.112693,***,0.901712,***,0.791973,***
H2-2,0.438443,***,0.060542,**,0.543391,***,0.414448,***
H2-3_SD,-0.248261,**,-0.129255,**,-0.306563,***,-0.236813,**
H3_beta1_intensity,12.619846,***,-1.234697,*,13.176964,***,9.483818,***
H3_supported,True,,False,,True,,True,
