hypothesis,measurement_basis,model_type,key_variable,beta_no_control,se_no_control,p_no_control,stars_no_control,n_no_control,beta_controlled,se_controlled,p_controlled,stars_controlled,n_controlled,direction_changed,significance_changed,controls_included,control_variables,adj_r2_no_ctrl,adj_r2_controlled
H1,batch1_human_coded,plain_ols,human_humor_presence,1.214982,0.13535,0.0,***,1482,1.24004,0.134358,0.0,***,1482,False,False,true,"text_length,hashtag_count,mention_count",0.050994,0.070259
H1,batch1_human_coded,time_fe_year_month,human_humor_presence,1.011855,0.124494,0.0,***,1482,1.018589,0.124173,0.0,***,1482,False,False,true,"text_length,hashtag_count,mention_count",0.266462,0.275422
H1,batch1_human_coded,firm_dummy_only,human_humor_presence,0.240636,0.084375,0.004409,***,1482,0.227296,0.084014,0.006905,***,1482,False,False,true,"text_length,hashtag_count,mention_count",0.712805,0.716523
H1,batch1_human_coded,firm_dummy_year_month,human_humor_presence,0.19009,0.131381,0.148583,ns,1482,0.171119,0.130037,0.188826,ns,1482,False,False,true,"text_length,hashtag_count,mention_count",0.755311,0.760956
H1,full_sample_predicted,plain_ols,h1_humor_presence_pred_t50,1.145709,0.016046,0.0,***,68039,1.145154,0.01674,0.0,***,68039,False,False,true,"text_length,hashtag_count,mention_count",0.069691,0.079728
H1,full_sample_predicted,time_fe_year_month,h1_humor_presence_pred_t50,1.140081,0.015247,0.0,***,68039,1.097634,0.015878,0.0,***,68039,False,False,true,"text_length,hashtag_count,mention_count",0.190328,0.195951
H1,full_sample_predicted,firm_dummy_only,h1_humor_presence_pred_t50,0.202458,0.012171,0.0,***,68039,0.253389,0.012224,0.0,***,68039,False,False,true,"text_length,hashtag_count,mention_count",0.623886,0.632739
H1,full_sample_predicted,firm_dummy_year_month,h1_humor_presence_pred_t50,0.162188,0.011569,0.0,***,68039,0.209034,0.011588,0.0,***,68039,False,False,true,"text_length,hashtag_count,mention_count",0.696585,0.704164
H2_1,batch1_human_coded,plain_ols,aggressive_vs_other,0.712293,0.422324,0.092163,*,648,0.649363,0.423465,0.125656,ns,648,False,False,true,"text_length,hashtag_count,mention_count",0.002843,0.017209
H2_1,batch1_human_coded,time_fe_year_month,aggressive_vs_other,0.796306,0.402279,0.048264,**,648,0.738705,0.404797,0.06857,*,648,False,True,true,"text_length,hashtag_count,mention_count",0.233833,0.238144
H2_1,batch1_human_coded,firm_dummy_only,aggressive_vs_other,0.118795,0.276753,0.667911,ns,648,0.115144,0.277796,0.678675,ns,648,False,False,true,"text_length,hashtag_count,mention_count",0.650488,0.652188
H2_1,batch1_human_coded,firm_dummy_year_month,aggressive_vs_other,0.294078,0.48499,0.545131,ns,648,0.349255,0.478192,0.466248,ns,648,False,False,true,"text_length,hashtag_count,mention_count",0.72585,0.73471
H2_1,full_sample_predicted,plain_ols,predicted_aggressive_vs_other,0.083304,0.02993,0.005385,***,28177,0.103452,0.030011,0.000567,***,28177,False,False,true,"text_length,hashtag_count,mention_count",0.000239,0.018734
H2_1,full_sample_predicted,time_fe_year_month,predicted_aggressive_vs_other,0.077753,0.027133,0.004165,***,28177,0.046519,0.027307,0.088475,*,28177,False,True,true,"text_length,hashtag_count,mention_count",0.18628,0.196541
H2_1,full_sample_predicted,firm_dummy_only,predicted_aggressive_vs_other,-0.101486,0.017216,0.0,***,28177,-0.071555,0.017226,3.3e-05,***,28177,False,False,true,"text_length,hashtag_count,mention_count",0.68303,0.688487
