dataset,source_file,dummy_column_name,company_id,company_name,n_obs_in_dataset,is_reference_firm
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_1,1,AT&T,24,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_2,2,AbbVie,20,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_3,3,Albertsons,23,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_4,4,Allstate,9,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_5,5,Alphabet,13,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_6,6,Amazon,30,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_7,7,American Airlines Group,7,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_8,8,American Express,14,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_9,9,Archer Daniels Midland,20,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_10,10,Bank of America,23,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_11,11,Boeing,14,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_12,12,Bristol-Myers Squibb,15,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_13,13,Broadcom,2,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_14,14,CVS Health,6,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_15,15,Capital One Financial,8,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_16,16,Cardinal Health,5,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_17,17,Caterpillar,14,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_18,18,Cencora,10,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_19,19,Centene,11,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_20,20,Charter Communications,6,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_21,21,Chevron,17,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_22,22,Cigna Group,13,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_23,23,Cisco Systems,17,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_24,24,Citigroup,5,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_25,25,Coca-Cola,6,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_26,26,Comcast,27,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_27,27,ConocoPhillips,13,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_28,28,Dell Technologies,10,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_29,29,Delta Air Lines,19,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_30,30,Elevance Health,16,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_31,31,Eli Lilly,11,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_32,32,Energy Transfer,19,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_33,33,Enterprise Products Partners,51,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_34,34,Exxon Mobil,14,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_35,35,Fannie Mae,5,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_36,36,FedEx,13,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_37,37,Ford Motor,27,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_38,38,Freddie Mac,5,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_39,39,Galaxy Digital,2,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_40,40,General Dynamics,29,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_41,41,General Motors,10,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_42,42,Goldman Sachs Group,16,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_43,43,HCA Healthcare,13,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_44,44,HP,10,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_46,46,Humana,21,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_47,47,IBM,12,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_48,48,Ingram Micro Holding,23,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_49,49,Intel,6,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_50,50,JPMorgan Chase,18,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_51,51,Johnson & Johnson,17,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_52,52,Kroger,27,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_53,53,Liberty Mutual Insurance Group,14,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_54,54,Lockheed Martin,21,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_55,55,Lowe's,13,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_56,56,Marathon Petroleum,8,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_57,57,Massachusetts Mutual Life,19,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_58,58,McKesson,10,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_59,59,Merck,7,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_60,60,MetLife,16,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_61,61,Meta Platforms,4,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_62,62,Microsoft,21,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_64,64,Morgan Stanley,22,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_65,65,Nationwide,28,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_66,66,New York Life Insurance,11,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_67,67,Nike,14,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_68,68,Nvidia,18,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_69,69,Oracle,9,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_70,70,PepsiCo,16,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_71,71,Performance Food Group,1,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_72,72,Pfizer,5,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_73,73,Phillips 66,11,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_74,74,Procter & Gamble,4,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_75,75,Progressive,8,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_76,76,Prudential Financial,19,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_77,77,Publix Super Markets,24,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_78,78,RTX,7,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_79,79,State Farm Insurance,3,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_80,80,StoneX Group,19,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_81,81,Sysco,17,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_82,82,TD Synnex,11,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_83,83,TIAA,5,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_84,84,TJX,24,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_85,85,Target,28,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_86,86,Tesla,48,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_87,87,Travelers,16,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_88,88,Tyson Foods,21,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_89,89,UPS,3,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_90,90,USAA,20,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_91,91,Uber Technologies,22,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_92,92,United Airlines Holdings,13,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_93,93,UnitedHealth Group,1,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_94,94,Valero Energy,2,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_95,95,Verizon Communications,2,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_96,96,Walmart,22,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_97,97,Walt Disney,51,false
batch1_h1,fortune100_human_labeling_template.csv,firm_dummy_98,98,Wells Fargo,6,false
batch1_h1,fortune100_human_labeling_template.csv,REFERENCE_firm_id_45,45,Home Depot,52,true (omitted)
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_1,1,AT&T,15,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_3,3,Albertsons,14,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_4,4,Allstate,5,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_5,5,Alphabet,2,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_6,6,Amazon,12,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_7,7,American Airlines Group,6,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_8,8,American Express,6,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_9,9,Archer Daniels Midland,7,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_10,10,Bank of America,11,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_11,11,Boeing,5,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_12,12,Bristol-Myers Squibb,2,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_13,13,Broadcom,1,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_14,14,CVS Health,1,false
