measurement_basis,hypothesis,model_id,included_time_fe,time_fe_count,dependent_variable,key_variable,coefficient,classical_ols_se,t_stat,p_value,stars,n_obs,n_firms,n_firm_dummy_variables,n_time_dummy_variables,reference_company_id,reference_company_identifier,r_squared,adj_r_squared,df_model,df_resid,rank,status,interpretation_level,n_aggressive_batch1,limitation,firm_dummy_included,time_fe_included,controls_included,company_id_used_as_numeric,c_company_formula_used,n_joint_fe_cells,n_singleton_cells,n_within_obs
batch1_human_coded,H2_1,firm_dummy_year,year,1,log1p_total_engagement,aggressive_vs_other,-0.192808,0.298986,-0.6449,0.519353,ns,648,88,87,127,97,Walt Disney,0.788496,0.682499,217,431,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,215,80,568
full_sample_predicted,H2_1,firm_dummy_year,year,1,log1p_total_engagement,predicted_aggressive_vs_other,-0.091774,0.016282,-5.6365,0.0,***,28177,97,96,318,45,Home Depot,0.725599,0.721487,417,27760,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,415,12,28165
batch1_human_coded,H2_1,firm_dummy_month,month,1,log1p_total_engagement,aggressive_vs_other,0.294078,0.48499,0.6064,0.545131,ns,648,88,87,397,97,Walt Disney,0.93178,0.72585,487,161,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,485,387,261
full_sample_predicted,H2_1,firm_dummy_month,month,1,log1p_total_engagement,predicted_aggressive_vs_other,-0.093478,0.016477,-5.6733,0.0,***,28177,97,96,3056,45,Home Depot,0.772819,0.744183,3155,25022,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,3153,431,27746
batch1_human_coded,H2_1,firm_dummy_week,week,1,log1p_total_engagement,aggressive_vs_other,0.089974,0.679964,0.1323,0.895066,ns,648,88,87,479,97,Walt Disney,0.972424,0.774152,569,79,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,567,512,136
full_sample_predicted,H2_1,firm_dummy_week,week,1,log1p_total_engagement,predicted_aggressive_vs_other,-0.09171,0.018541,-4.9462,1e-06,***,28177,97,96,8986,45,Home Depot,0.832792,0.753235,9085,19092,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,9083,3260,24917
batch1_human_coded,H2_1,firm_dummy_day,day,1,log1p_total_engagement,aggressive_vs_other,0.530817,0.984828,0.539,0.593119,ns,648,88,87,521,97,Walt Disney,0.983618,0.713537,611,37,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,609,582,66
full_sample_predicted,H2_1,firm_dummy_day,day,1,log1p_total_engagement,predicted_aggressive_vs_other,-0.116228,0.02726,-4.2637,2e-05,***,28177,97,96,18999,45,Home Depot,0.917059,0.742598,19098,9079,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,19096,14263,13914
batch1_human_coded,H2_1,firm_dummy_hour,hour,1,log1p_total_engagement,aggressive_vs_other,4.418841,1.735269,2.5465,0.043697,**,648,88,87,552,97,Walt Disney,0.998097,0.794761,642,6,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,640,632,16
full_sample_predicted,H2_1,firm_dummy_hour,hour,1,log1p_total_engagement,predicted_aggressive_vs_other,-0.14478,0.037813,-3.8289,0.000131,***,28177,97,96,24458,45,Home Depot,0.973797,0.79605,24557,3620,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,24555,22324,5853
batch1_human_coded,H2_1,firm_dummy_year_month,"year,month",2,log1p_total_engagement,aggressive_vs_other,0.294078,0.48499,0.6064,0.545131,ns,648,88,87,397,97,Walt Disney,0.93178,0.72585,487,161,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,485,387,261
full_sample_predicted,H2_1,firm_dummy_year_month,"year,month",2,log1p_total_engagement,predicted_aggressive_vs_other,-0.093478,0.016477,-5.6733,0.0,***,28177,97,96,3056,45,Home Depot,0.772819,0.744183,3155,25022,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,3153,431,27746
batch1_human_coded,H2_1,firm_dummy_year_week,"year,week",2,log1p_total_engagement,aggressive_vs_other,0.089974,0.679964,0.1323,0.895066,ns,648,88,87,479,97,Walt Disney,0.972424,0.774152,569,79,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,567,512,136
full_sample_predicted,H2_1,firm_dummy_year_week,"year,week",2,log1p_total_engagement,predicted_aggressive_vs_other,-0.091643,0.018556,-4.9388,1e-06,***,28177,97,96,9011,45,Home Depot,0.832891,0.753057,9110,19067,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,9108,3289,24888
batch1_human_coded,H2_1,firm_dummy_year_day,"year,day",2,log1p_total_engagement,aggressive_vs_other,0.530817,0.984828,0.539,0.593119,ns,648,88,87,521,97,Walt Disney,0.983618,0.713537,611,37,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,609,582,66
full_sample_predicted,H2_1,firm_dummy_year_day,"year,day",2,log1p_total_engagement,predicted_aggressive_vs_other,-0.116228,0.02726,-4.2637,2e-05,***,28177,97,96,18999,45,Home Depot,0.917059,0.742598,19098,9079,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,19096,14263,13914
batch1_human_coded,H2_1,firm_dummy_year_hour,"year,hour",2,log1p_total_engagement,aggressive_vs_other,4.418841,1.735269,2.5465,0.043697,**,648,88,87,552,97,Walt Disney,0.998097,0.794761,642,6,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,640,632,16
full_sample_predicted,H2_1,firm_dummy_year_hour,"year,hour",2,log1p_total_engagement,predicted_aggressive_vs_other,-0.14478,0.037813,-3.8289,0.000131,***,28177,97,96,24458,45,Home Depot,0.973797,0.79605,24557,3620,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,24555,22324,5853
batch1_human_coded,H2_1,firm_dummy_month_week,"month,week",2,log1p_total_engagement,aggressive_vs_other,0.089974,0.692819,0.1299,0.897015,ns,648,88,87,482,97,Walt Disney,0.972458,0.765532,572,76,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,570,518,130
full_sample_predicted,H2_1,firm_dummy_month_week,"month,week",2,log1p_total_engagement,predicted_aggressive_vs_other,-0.095305,0.018776,-5.076,0.0,***,28177,97,96,9500,45,Home Depot,0.837122,0.752974,9599,18578,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,9597,3731,24446
batch1_human_coded,H2_1,firm_dummy_month_day,"month,day",2,log1p_total_engagement,aggressive_vs_other,0.530817,0.984828,0.539,0.593119,ns,648,88,87,521,97,Walt Disney,0.983618,0.713537,611,37,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,609,582,66
full_sample_predicted,H2_1,firm_dummy_month_day,"month,day",2,log1p_total_engagement,predicted_aggressive_vs_other,-0.116228,0.02726,-4.2637,2e-05,***,28177,97,96,18999,45,Home Depot,0.917059,0.742598,19098,9079,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,19096,14263,13914
