measurement_basis,hypothesis,model_id,included_time_fe,time_fe_count,dependent_variable,key_variable,coefficient,classical_ols_se,t_stat,p_value,stars,n_obs,n_firms,n_firm_dummy_variables,n_time_dummy_variables,reference_company_id,reference_company_identifier,r_squared,adj_r_squared,df_model,df_resid,rank,status,interpretation_level,reference_category,firm_dummy_included,time_fe_included,controls_included,company_id_used_as_numeric,c_company_formula_used,n_joint_fe_cells,n_singleton_cells,n_within_obs,coef_self_enhancing,se_self_enhancing,p_self_enhancing,stars_self_enhancing,coef_self_defeating,se_self_defeating,p_self_defeating,stars_self_defeating,limitation,coef_predicted_self_enhancing,se_predicted_self_enhancing,p_predicted_self_enhancing,stars_predicted_self_enhancing,coef_predicted_self_defeating,se_predicted_self_defeating,p_predicted_self_defeating,stars_predicted_self_defeating
batch1_human_coded,H2_2,firm_dummy_year,year,1,log1p_total_engagement,aggressive,-0.163217,0.313505,-0.5206,0.6029,ns,648,88,87,127,97,Walt Disney,0.789614,0.682704,219,429,3,success,preliminary_diagnostic,affiliative,true,true,false,false,false,215,80,568,-0.038007,0.161838,0.81444,ns,0.534979,0.374833,0.154237,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_year,year,1,log1p_total_engagement,predicted_aggressive,-0.102528,0.016531,-6.2021,0.0,***,28177,97,96,318,45,Home Depot,0.725738,0.721608,419,27758,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,415,12,28165,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.091746,0.027138,0.000724,***,-0.13506,0.077068,0.079703,*
batch1_human_coded,H2_2,firm_dummy_month,month,1,log1p_total_engagement,aggressive,0.452102,0.507816,0.8903,0.374657,ns,648,88,87,397,97,Walt Disney,0.932708,0.726175,489,159,3,success,preliminary_diagnostic,affiliative,true,true,false,false,false,485,387,261,0.185755,0.23891,0.438013,ns,0.857056,0.606905,0.159853,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_month,month,1,log1p_total_engagement,predicted_aggressive,-0.102975,0.016732,-6.1543,0.0,***,28177,97,96,3056,45,Home Depot,0.772929,0.744286,3157,25020,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,3153,431,27746,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.070277,0.027481,0.010555,**,-0.190556,0.077504,0.013952,**
batch1_human_coded,H2_2,firm_dummy_week,week,1,log1p_total_engagement,aggressive,0.02838,0.716838,0.0396,0.968522,ns,648,88,87,479,97,Walt Disney,0.972458,0.768573,571,77,3,success,preliminary_diagnostic,affiliative,true,true,false,false,false,567,512,136,-0.094591,0.307459,0.759177,ns,-0.066221,1.107395,0.952471,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_week,week,1,log1p_total_engagement,predicted_aggressive,-0.100758,0.018846,-5.3463,0.0,***,28177,97,96,8986,45,Home Depot,0.832872,0.753326,9087,19090,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,9083,3260,24917,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.061702,0.030964,0.046308,**,-0.202421,0.086551,0.019359,**
batch1_human_coded,H2_2,firm_dummy_day,day,1,log1p_total_engagement,aggressive,0.495313,1.06543,0.4649,0.644886,ns,648,88,87,521,97,Walt Disney,0.983623,0.697266,613,35,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,609,582,66,-0.051283,0.479434,0.915427,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_day,day,1,log1p_total_engagement,predicted_aggressive,-0.122427,0.027727,-4.4154,1e-05,***,28177,97,96,18999,45,Home Depot,0.917079,0.742605,19100,9077,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,19096,14263,13914,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.036803,0.046243,0.426135,ns,-0.161436,0.124086,0.193292,ns
batch1_human_coded,H2_2,firm_dummy_hour,hour,1,log1p_total_engagement,aggressive,4.418841,2.046874,2.1588,0.097017,*,648,88,87,552,97,Walt Disney,0.998235,0.714432,644,4,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,640,632,16,0.808757,1.447359,0.606113,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_hour,hour,1,log1p_total_engagement,predicted_aggressive,-0.14986,0.038558,-3.8866,0.000103,***,28177,97,96,24458,45,Home Depot,0.973801,0.795969,24559,3618,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,24555,22324,5853,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.033529,0.065857,0.610702,ns,-0.112033,0.197083,0.56976,ns
batch1_human_coded,H2_2,firm_dummy_year_month,"year,month",2,log1p_total_engagement,aggressive,0.452102,0.507816,0.8903,0.374657,ns,648,88,87,397,97,Walt Disney,0.932708,0.726175,489,159,3,success,preliminary_diagnostic,affiliative,true,true,false,false,false,485,387,261,0.185755,0.23891,0.438013,ns,0.857056,0.606905,0.159853,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_year_month,"year,month",2,log1p_total_engagement,predicted_aggressive,-0.102975,0.016732,-6.1543,0.0,***,28177,97,96,3056,45,Home Depot,0.772929,0.744286,3157,25020,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,3153,431,27746,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.070277,0.027481,0.010555,**,-0.190556,0.077504,0.013952,**
batch1_human_coded,H2_2,firm_dummy_year_week,"year,week",2,log1p_total_engagement,aggressive,0.02838,0.716838,0.0396,0.968522,ns,648,88,87,479,97,Walt Disney,0.972458,0.768573,571,77,3,success,preliminary_diagnostic,affiliative,true,true,false,false,false,567,512,136,-0.094591,0.307459,0.759177,ns,-0.066221,1.107395,0.952471,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_year_week,"year,week",2,log1p_total_engagement,predicted_aggressive,-0.100614,0.018861,-5.3346,0.0,***,28177,97,96,9011,45,Home Depot,0.832969,0.753147,9112,19065,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,9108,3289,24888,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.060983,0.030997,0.049152,**,-0.202315,0.086583,0.019467,**
batch1_human_coded,H2_2,firm_dummy_year_day,"year,day",2,log1p_total_engagement,aggressive,0.495313,1.06543,0.4649,0.644886,ns,648,88,87,521,97,Walt Disney,0.983623,0.697266,613,35,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,609,582,66,-0.051283,0.479434,0.915427,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_year_day,"year,day",2,log1p_total_engagement,predicted_aggressive,-0.122427,0.027727,-4.4154,1e-05,***,28177,97,96,18999,45,Home Depot,0.917079,0.742605,19100,9077,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,19096,14263,13914,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.036803,0.046243,0.426135,ns,-0.161436,0.124086,0.193292,ns
batch1_human_coded,H2_2,firm_dummy_year_hour,"year,hour",2,log1p_total_engagement,aggressive,4.418841,2.046874,2.1588,0.097017,*,648,88,87,552,97,Walt Disney,0.998235,0.714432,644,4,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,640,632,16,0.808757,1.447359,0.606113,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_year_hour,"year,hour",2,log1p_total_engagement,predicted_aggressive,-0.14986,0.038558,-3.8866,0.000103,***,28177,97,96,24458,45,Home Depot,0.973801,0.795969,24559,3618,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,24555,22324,5853,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.033529,0.065857,0.610702,ns,-0.112033,0.197083,0.56976,ns
batch1_human_coded,H2_2,firm_dummy_month_week,"month,week",2,log1p_total_engagement,aggressive,0.02838,0.730764,0.0388,0.969126,ns,648,88,87,482,97,Walt Disney,0.972492,0.759493,574,74,3,success,preliminary_diagnostic,affiliative,true,true,false,false,false,570,518,130,-0.094591,0.313433,0.763659,ns,-0.066221,1.128909,0.953382,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_month_week,"month,week",2,log1p_total_engagement,predicted_aggressive,-0.104049,0.019082,-5.4528,0.0,***,28177,97,96,9500,45,Home Depot,0.837193,0.753055,9601,18576,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,9597,3731,24446,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.060781,0.03144,0.053221,*,-0.191148,0.087709,0.029319,**
batch1_human_coded,H2_2,firm_dummy_month_day,"month,day",2,log1p_total_engagement,aggressive,0.495313,1.06543,0.4649,0.644886,ns,648,88,87,521,97,Walt Disney,0.983623,0.697266,613,35,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,609,582,66,-0.051283,0.479434,0.915427,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_month_day,"month,day",2,log1p_total_engagement,predicted_aggressive,-0.122427,0.027727,-4.4154,1e-05,***,28177,97,96,18999,45,Home Depot,0.917079,0.742605,19100,9077,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,19096,14263,13914,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.036803,0.046243,0.426135,ns,-0.161436,0.124086,0.193292,ns
batch1_human_coded,H2_2,firm_dummy_month_hour,"month,hour",2,log1p_total_engagement,aggressive,4.418841,2.046874,2.1588,0.097017,*,648,88,87,552,97,Walt Disney,0.998235,0.714432,644,4,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,640,632,16,0.808757,1.447359,0.606113,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_month_hour,"month,hour",2,log1p_total_engagement,predicted_aggressive,-0.14986,0.038558,-3.8866,0.000103,***,28177,97,96,24458,45,Home Depot,0.973801,0.795969,24559,3618,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,24555,22324,5853,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.033529,0.065857,0.610702,ns,-0.112033,0.197083,0.56976,ns
batch1_human_coded,H2_2,firm_dummy_week_day,"week,day",2,log1p_total_engagement,aggressive,0.495313,1.06543,0.4649,0.644886,ns,648,88,87,521,97,Walt Disney,0.983623,0.697266,613,35,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,609,582,66,-0.051283,0.479434,0.915427,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_week_day,"week,day",2,log1p_total_engagement,predicted_aggressive,-0.122427,0.027727,-4.4154,1e-05,***,28177,97,96,18999,45,Home Depot,0.917079,0.742605,19100,9077,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,19096,14263,13914,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.036803,0.046243,0.426135,ns,-0.161436,0.124086,0.193292,ns
batch1_human_coded,H2_2,firm_dummy_week_hour,"week,hour",2,log1p_total_engagement,aggressive,4.418841,2.046874,2.1588,0.097017,*,648,88,87,552,97,Walt Disney,0.998235,0.714432,644,4,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,640,632,16,0.808757,1.447359,0.606113,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_week_hour,"week,hour",2,log1p_total_engagement,predicted_aggressive,-0.14986,0.038558,-3.8866,0.000103,***,28177,97,96,24458,45,Home Depot,0.973801,0.795969,24559,3618,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,24555,22324,5853,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.033529,0.065857,0.610702,ns,-0.112033,0.197083,0.56976,ns
batch1_human_coded,H2_2,firm_dummy_day_hour,"day,hour",2,log1p_total_engagement,aggressive,4.418841,2.046874,2.1588,0.097017,*,648,88,87,552,97,Walt Disney,0.998235,0.714432,644,4,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,640,632,16,0.808757,1.447359,0.606113,ns,0.0,0.0,,ns,,,,,,,,,
