hypothesis,model_name,measurement_basis,dependent_variable,feature,coefficient,se,se_type,t_stat,p_value,p_stars,n_obs,k_params,r_squared,r_squared_adj,reference_category,n_aggressive,n_affiliative,n_self_enhancing,n_self_defeating,mean_log_eng_aggressive,mean_log_eng_affiliative,mean_log_eng_self_enhancing,mean_log_eng_self_defeating,sample_definition,controls,label_source,interpretation_level
H2_2,H2_2_batch1_simple,batch1_human_coded,log1p_total_engagement,intercept,4.255285,0.150845,OLS,28.2096,0.0,***,648,4,0.008926,0.004309,affiliative,44,321,259,24,5.104057,4.255285,4.492904,5.1257,batch1_fortune100 humor posts (648); HUMAN-CODED type,none,human_coded,preliminary_diagnostic
H2_2,H2_2_batch1_simple,batch1_human_coded,log1p_total_engagement,aggressive,0.848772,0.434462,OLS,1.9536,0.051179,*,648,4,0.008926,0.004309,affiliative,44,321,259,24,5.104057,4.255285,4.492904,5.1257,batch1_fortune100 humor posts (648); HUMAN-CODED type,none,human_coded,preliminary_diagnostic
H2_2,H2_2_batch1_simple,batch1_human_coded,log1p_total_engagement,self_enhancing,0.237619,0.225733,OLS,1.0527,0.292894,ns,648,4,0.008926,0.004309,affiliative,44,321,259,24,5.104057,4.255285,4.492904,5.1257,batch1_fortune100 humor posts (648); HUMAN-CODED type,none,human_coded,preliminary_diagnostic
H2_2,H2_2_batch1_simple,batch1_human_coded,log1p_total_engagement,self_defeating,0.870415,0.57192,OLS,1.5219,0.128521,ns,648,4,0.008926,0.004309,affiliative,44,321,259,24,5.104057,4.255285,4.492904,5.1257,batch1_fortune100 humor posts (648); HUMAN-CODED type,none,human_coded,preliminary_diagnostic
H2_2,H2_2_batch1_controls,batch1_human_coded,log1p_total_engagement,intercept,4.369325,0.202768,OLS,21.5484,0.0,***,648,7,0.025879,0.016761,affiliative,44,321,259,24,5.104057,4.255285,4.492904,5.1257,batch1_fortune100 humor posts (648); HUMAN-CODED type,"text_length, hashtag_count, mention_count",human_coded,preliminary_diagnostic
H2_2,H2_2_batch1_controls,batch1_human_coded,log1p_total_engagement,aggressive,0.76056,0.437943,OLS,1.7367,0.082927,*,648,7,0.025879,0.016761,affiliative,44,321,259,24,5.104057,4.255285,4.492904,5.1257,batch1_fortune100 humor posts (648); HUMAN-CODED type,"text_length, hashtag_count, mention_count",human_coded,preliminary_diagnostic
H2_2,H2_2_batch1_controls,batch1_human_coded,log1p_total_engagement,self_enhancing,0.165149,0.226519,OLS,0.7291,0.466222,ns,648,7,0.025879,0.016761,affiliative,44,321,259,24,5.104057,4.255285,4.492904,5.1257,batch1_fortune100 humor posts (648); HUMAN-CODED type,"text_length, hashtag_count, mention_count",human_coded,preliminary_diagnostic
H2_2,H2_2_batch1_controls,batch1_human_coded,log1p_total_engagement,self_defeating,0.692411,0.576103,OLS,1.2019,0.229851,ns,648,7,0.025879,0.016761,affiliative,44,321,259,24,5.104057,4.255285,4.492904,5.1257,batch1_fortune100 humor posts (648); HUMAN-CODED type,"text_length, hashtag_count, mention_count",human_coded,preliminary_diagnostic
H2_2,H2_2_batch1_controls,batch1_human_coded,log1p_total_engagement,text_length,0.000691,0.000468,OLS,1.4762,0.140385,ns,648,7,0.025879,0.016761,affiliative,44,321,259,24,5.104057,4.255285,4.492904,5.1257,batch1_fortune100 humor posts (648); HUMAN-CODED type,"text_length, hashtag_count, mention_count",human_coded,preliminary_diagnostic
H2_2,H2_2_batch1_controls,batch1_human_coded,log1p_total_engagement,hashtag_count,-0.386255,0.128118,OLS,-3.0148,0.002673,***,648,7,0.025879,0.016761,affiliative,44,321,259,24,5.104057,4.255285,4.492904,5.1257,batch1_fortune100 humor posts (648); HUMAN-CODED type,"text_length, hashtag_count, mention_count",human_coded,preliminary_diagnostic
H2_2,H2_2_batch1_controls,batch1_human_coded,log1p_total_engagement,mention_count,0.028756,0.123227,OLS,0.2334,0.815557,ns,648,7,0.025879,0.016761,affiliative,44,321,259,24,5.104057,4.255285,4.492904,5.1257,batch1_fortune100 humor posts (648); HUMAN-CODED type,"text_length, hashtag_count, mention_count",human_coded,preliminary_diagnostic
