항목,M1_Full_sample,M2_Full_sample,M3_Full_sample,M4_Full_sample,M1_Human_coded,M2_Human_coded,M3_Human_coded,M4_Human_coded
Aggressive humor (β),+1.9198***,+1.8556***,+1.8364***,+0.3225***,+2.8514***,+2.5903***,+2.2889***,+0.5096***
,(0.0420),(0.0428),(0.0412),(0.0278),(0.2156),(0.2138),(0.1965),(0.1174)
Affiliative humor (β),+0.8065***,+0.8213***,+0.7981***,+0.2032***,+0.8564***,+0.8946***,+0.7556***,+0.1942***
,(0.0210),(0.0213),(0.0205),(0.0141),(0.1232),(0.1214),(0.1112),(0.0672)
Self-enhancing humor (β),+1.4297***,+1.3922***,+1.2959***,+0.1980***,+1.1535***,+1.0926***,+0.7993***,+0.0945
,(0.0260),(0.0263),(0.0254),(0.0174),(0.1376),(0.1352),(0.1242),(0.0763)
Self-defeating humor (β),+2.1681***,+2.0924***,+2.1612***,+0.4691***,+2.0438***,+1.7384***,+1.8394***,+0.7269***
,(0.0888),(0.0888),(0.0854),(0.0556),(0.3874),(0.3813),(0.3480),(0.2040)
H2-1: Aggressive − Other (가중 평균),+0.8495***,+0.7920***,+0.8201***,+0.1140***,+1.8215***,+1.5778***,+1.4686***,+0.3335***
,(0.0434),(0.0436),(0.0419),(0.0275),(0.2219),(0.2192),(0.2009),(0.1186)
H2-1: Aggressive − Other (가중 평균) 지지 여부,지지,지지,지지,지지,지지,지지,지지,지지
H2-2: Aggressive − SELF (가중 평균),+0.4384***,+0.4144***,+0.4800***,+0.1056***,+1.6135***,+1.4365***,+1.3910***,+0.3552***
,(0.0471),(0.0471),(0.0453),(0.0296),(0.2383),(0.2350),(0.2155),(0.1272)
H2-2: Aggressive − SELF (가중 평균) 지지 여부,지지,지지,지지,지지,지지,지지,지지,지지
H2-3: Aggressive − Affiliative,+1.1133***,+1.0343***,+1.0384***,+0.1193***,+1.9950***,+1.6958***,+1.5333***,+0.3154**
,(0.0449),(0.0453),(0.0435),(0.0285),(0.2334),(0.2309),(0.2113),(0.1248)
H2-3: Aggressive − Affiliative 지지 여부,지지,지지,지지,지지,지지,지지,지지,지지
H2-3: Aggressive − Self-Enhancing,+0.4901***,+0.4634***,+0.5405***,+0.1246***,+1.6979***,+1.4977***,+1.4896***,+0.4151***
,(0.0475),(0.0475),(0.0457),(0.0300),(0.2414),(0.2381),(0.2185),(0.1293)
H2-3: Aggressive − Self-Enhancing 지지 여부,지지,지지,지지,지지,지지,지지,지지,지지
H2-3: Aggressive − Self-Defeating,-0.2483**,-0.2368**,-0.3247***,-0.1465**,+0.8076*,+0.8519**,+0.4495,-0.2173
,(0.0973),(0.0969),(0.0931),(0.0597),(0.4352),(0.4273),(0.3899),(0.2264)
H2-3: Aggressive − Self-Defeating 지지 여부,미지지,미지지,미지지,미지지,지지,지지,미지지,미지지
N,"68,039","68,039","68,039","68,039","3,574","3,574","3,574","3,574"
R²,0.0788,0.0860,0.1585,0.6557,0.0663,0.1013,0.2609,0.7634
Adjusted R²,0.0787,0.0859,0.1581,0.6550,0.0653,0.0995,0.2549,0.7547
통제변수,—,✓,✓,✓,—,✓,✓,✓
시간 더미,—,—,✓,✓,—,—,✓,✓
기업 더미,—,—,—,✓,—,—,—,✓
